contrast_id	page	locus	contrast_type	left_surface	right_surface	minimum_token_distance	adjacent	both_have_stable_token	both_have_adjacent_stable_tokens	section	surface_line
G628-C0001	f100r	f100r.15	ENDING_OL_OR	chol	chor	1	1	1	1	P	dcheor shol qokeeol chor chol qokeeody dareu
G628-C0002	f100r	f100r.23	ENDING_OL_OR	chol	chor	1	1	1	1	P	soiin chol cphol shol shol qockhol chor chol sho keey y ykeeam
G628-C0003	f102v2	f102v2.22	ENDING_OL_OR	ol	or	8	0	1	0	P	dain or aiin cheol s oiir chol sheey qockhy ol keo r okeody okeor cho
G628-C0004	f103v	f103v.45	ENDING_OL_OR	ol	or	6	0	0	0	S	okey ol cheey lcheey lkain shckhy sheckhy or ain otar oly
G628-C0005	f104v	f104v.33	ENDING_OL_OR	ol	or	1	1	1	1	S	yteeey cheeod ykeey kaiin qokaiin cheey or ol ar odar chedain etar ar air ary
G628-C0006	f106v	f106v.23	ENDING_OL_OR	chol	chor	3	0	1	0	S	ol kalol shar chor okal chdy chol chedy qotaiin or aiin okeedy qokain
G628-C0007	f106v	f106v.23	ENDING_OL_OR	ol	or	9	0	0	0	S	ol kalol shar chor okal chdy chol chedy qotaiin or aiin okeedy qokain
G628-C0008	f108r	f108r.14	ENDING_OL_OR	shol	shor	7	0	1	0	S	polchal shol qokar shedy pcholy qokal opchdy ofal shor qokaiin otalod
G628-C0009	f10r	f10r.8	ENDING_OL_OR	chol	chor	2	0	1	0	H	qotchor chor otol chol cholor chol daiin dar
G628-C0010	f111v	f111v.50	ENDING_OL_OR	ol	or	3	0	1	0	S	shaiin qoiiin okain chey qokeeey okain chees ar ol loeees otain or
G628-C0011	f113v	f113v.30	ENDING_OL_OR	ol	or	6	0	0	0	S	ysheey qoeey or aiiin okeeo l otain ar ol okaiiin aiin shody otcham
G628-C0012	f113v	f113v.42	ENDING_OL_OR	ol	or	7	0	0	0	S	pol keeo dy qoeees aiin or aiin oteol fchedy otchey dar otakeol ol
G628-C0013	f114r	f114r.37	ENDING_OL_OR	ol	or	6	0	1	0	S	odar or aiin otshedy okaiin yky ols ol kaiin chees air qotaiin chedaiiin
G628-C0014	f115r	f115r.24	ENDING_OL_OR	ol	or	3	0	1	0	S	dcheol qokeol or ar aiin cheey okeeeo or chl lor ol otlaiin cheeor ary
G628-C0015	f116r	f116r.49	ENDING_OL_OR	ol	or	4	0	1	0	S	sysor shey qokey okeolan chey qol or cheey qor arom ol lkan
G628-C0016	f13v	f13v.6	ENDING_OL_OR	shol	shor	3	0	1	0	H	foldaiin olcphy shol dy oty shor qotyd dairod
G628-C0017	f15v	f15v.12	ENDING_OL_OR	chol	chor	1	1	1	1	H	daiin cthor chol chor
G628-C0018	f16v	f16v.5	ENDING_OL_OR	chol	chor	1	1	1	1	H	ytchy chyty chor chol ytchy dan
G628-C0019	f16v	f16v.8	ENDING_OL_OR	chol	chor	6	0	1	0	H	daiin chol y daiin chcthy qot char chor sholo
G628-C0020	f16v	f16v.9	ENDING_OL_OR	chol	chor	1	1	1	1	H	dshy okaiin okaiin chol chor cthor ty chody
G628-C0021	f17r	f17r.3	ENDING_OL_OR	chol	chor	5	0	1	0	H	chol or chy qodam okor chor okchom
