a	b	same_observed_register	different_action	nonempty_register	status
f21r.9:2	f21r.9:4	1	1	0	SAME_EMPTY_REGISTER_NOT_FULL_CLINICAL_EQUIVALENCE
f21r.9:2	f21r.12:8	0	1	0	NO_SAME_REGISTER_CONFLICT
f21r.9:2	f32v.9:1	1	1	0	SAME_EMPTY_REGISTER_NOT_FULL_CLINICAL_EQUIVALENCE
f21r.9:2	f32v.10:1	1	0	0	SAME_EMPTY_REGISTER_NOT_FULL_CLINICAL_EQUIVALENCE
f21r.9:2	f32v.11:2	0	0	0	NO_SAME_REGISTER_CONFLICT
f21r.9:2	f29v.3:6	0	1	0	NO_SAME_REGISTER_CONFLICT
f21r.9:2	f29v.4:8	0	0	0	NO_SAME_REGISTER_CONFLICT
f21r.9:4	f21r.12:8	0	0	0	NO_SAME_REGISTER_CONFLICT
f21r.9:4	f32v.9:1	1	1	0	SAME_EMPTY_REGISTER_NOT_FULL_CLINICAL_EQUIVALENCE
f21r.9:4	f32v.10:1	1	1	0	SAME_EMPTY_REGISTER_NOT_FULL_CLINICAL_EQUIVALENCE
f21r.9:4	f32v.11:2	0	1	0	NO_SAME_REGISTER_CONFLICT
f21r.9:4	f29v.3:6	0	1	0	NO_SAME_REGISTER_CONFLICT
f21r.9:4	f29v.4:8	0	1	0	NO_SAME_REGISTER_CONFLICT
f21r.12:8	f32v.9:1	0	1	0	NO_SAME_REGISTER_CONFLICT
f21r.12:8	f32v.10:1	0	1	0	NO_SAME_REGISTER_CONFLICT
f21r.12:8	f32v.11:2	0	1	1	NO_SAME_REGISTER_CONFLICT
f21r.12:8	f29v.3:6	0	1	1	NO_SAME_REGISTER_CONFLICT
f21r.12:8	f29v.4:8	0	1	1	NO_SAME_REGISTER_CONFLICT
f32v.9:1	f32v.10:1	1	1	0	SAME_EMPTY_REGISTER_NOT_FULL_CLINICAL_EQUIVALENCE
f32v.9:1	f32v.11:2	0	1	0	NO_SAME_REGISTER_CONFLICT
f32v.9:1	f29v.3:6	0	0	0	NO_SAME_REGISTER_CONFLICT
f32v.9:1	f29v.4:8	0	1	0	NO_SAME_REGISTER_CONFLICT
f32v.10:1	f32v.11:2	0	0	0	NO_SAME_REGISTER_CONFLICT
f32v.10:1	f29v.3:6	0	1	0	NO_SAME_REGISTER_CONFLICT
f32v.10:1	f29v.4:8	0	0	0	NO_SAME_REGISTER_CONFLICT
f32v.11:2	f29v.3:6	0	1	1	NO_SAME_REGISTER_CONFLICT
f32v.11:2	f29v.4:8	0	0	1	NO_SAME_REGISTER_CONFLICT
f29v.3:6	f29v.4:8	1	1	1	SAME_NONEMPTY_REGISTER_DIFFERENT_ACTION
