record	locus	word	finding	status
f17r	f17r.4:2	shol	Feuchtigkeit	AUTHORED_MEANING
f17r	f17r.5:2	cthy	Schwellung	AUTHORED_MEANING
f17r	f17r.5:3	chor	Schmerz	AUTHORED_MEANING
f17r	f17r.5:4	shor	Absonderung	AUTHORED_MEANING
f21r	f21r.9:8	cthy	Schwellung	AUTHORED_MEANING
f21r	f21r.11:1	shol	Feuchtigkeit	AUTHORED_MEANING
f21r	f21r.11:2	chol	Trockenheit	AUTHORED_MEANING
f21r	f21r.11:3	shol	Feuchtigkeit	AUTHORED_MEANING
f21r	f21r.11:7	shey	Hitze	AUTHORED_MEANING
f21r	f21r.12:2	chor	Schmerz	AUTHORED_MEANING
f21r	f21r.12:5	chor	Schmerz	AUTHORED_MEANING
f21r	f21r.12:6	chol	Trockenheit	AUTHORED_MEANING
f32v	f32v.10:3	chor	Schmerz	AUTHORED_MEANING
f32v	f32v.10:4	chol	Trockenheit	AUTHORED_MEANING
f29v	f29v.1:2	shor	Absonderung	AUTHORED_MEANING
f29v	f29v.1:7	cthy	Schwellung	AUTHORED_MEANING
f29v	f29v.2:3	chol	Trockenheit	AUTHORED_MEANING
f29v	f29v.2:4	chol	Trockenheit	AUTHORED_MEANING
f29v	f29v.2:5	cthy	Schwellung	AUTHORED_MEANING
f29v	f29v.3:1	chol	Trockenheit	AUTHORED_MEANING
f29v	f29v.3:2	chol	Trockenheit	AUTHORED_MEANING
f29v	f29v.3:4	shey	Hitze	AUTHORED_MEANING
f29v	f29v.4:4	cthy	Schwellung	AUTHORED_MEANING
