audit_id	page	statement_id	locus_span	image_source	visible_station	owner_binding	image_observation	current_translation	optical_fit	supported_elements	unsupported_or_invisible_elements	repair	revised_translation
BATH-01	f75r	P1009-S075	f75r.2|f75r.3|f75r.4	YALE_CANVAS_1006208;SHA256=7c807221ad51b901ba8e572373e43317530779b6a7f054c2108545d23de254bc	obere vertikale grüne Figuren- und Beckenfolge mit seitlicher umgrenzter Tasche	BLOCK_ONLY_UNCERTAIN	Mehrere Figuren stehen in einer zusammenhängend wirkenden grünen Vertikalform; daneben liegt eine eigene umgrenzte Tasche. Pfeile, eindeutiger Quellpunkt und Zielbecken fehlen.	Am großen Stationsblatt eine Portion aus der markierten Quelle nehmen, in das Zielbecken geben, die Stufe einstellen, den Posten länger halten und über die angeschlossene Strecke weiterleiten; danach kurz ansetzen und länger einwirken lassen.	STRAINED	Portion oder Stufe ist als Textfunktion möglich; mehrere lokale Plätze, Behälterformen und ein zusammenhängender Weg sind sichtbar.	Markierte Quelle, gerichtetes Zielbecken, Reihenfolge und genaue Besitzerbindung des Textblocks sind nicht sichtbar.	Quelle und Ziel nicht aus dem Bild ergänzen; nur die lokale verbundene Stationsgruppe behalten.	An der oberen Stationsgruppe eine abgemessene Portion ansetzen, länger halten und innerhalb der sichtbaren verbundenen Geometrie weitergeben; den Folgegrad ausführen und schließen.
BATH-02	f75r	P1009-S109	f75r.19|f75r.20|f75r.21|f75r.22|f75r.23|f75r.24|f75r.25	YALE_CANVAS_1006208;SHA256=7c807221ad51b901ba8e572373e43317530779b6a7f054c2108545d23de254bc	mittlere große grüne Mehrfigurenstation mit mehreren lokalen Positionen	PAGE_CLUSTER_PLAUSIBLE	Das Bild zeigt viele Figurenpositionen, mehrere beckenartige Einfassungen und einige reale lokale Übergänge, aber keine nummerierte oder gerichtete Gesamtkette.	Auf dem großen Stationsblatt mehrere Teilposten nacheinander vom markierten Vorrat nehmen, nach Sollwert an den zugehörigen Zielstellen ansetzen, kurz oder länger halten, über die sichtbaren Durchlässe leiten und in den passenden Becken auffangen; den letzten Posten vollständig setzen und die Zelle schließen.	PLAUSIBLE	Mehrere Posten, lokale Stellen, unterschiedliche Aufenthaltsgrade und Becken passen gut zur repetitiven Bildanlage.	Ein einzelner Vorrat, paarweise zugehörige Ziele, Flussrichtung und eine letzte Zelle sind optisch nicht ausgewiesen.	Pluralität und Gradfolge behalten, aber jede Verbindung nur lokal und ungerichtet lesen.	Auf dem Blatt mehrere Teilposten nacheinander bemessen, an den jeweils lokalen Stationen ansetzen, in unterschiedlichen Graden halten und nur dort über sichtbare Verbindungen weitergeben; den letzten lokalen Gang schließen.
BATH-03	f75r	P1009-S112	f75r.25|f75r.26|f75r.27	YALE_CANVAS_1006208;SHA256=7c807221ad51b901ba8e572373e43317530779b6a7f054c2108545d23de254bc	kleine mittlere Becherfigur zwischen oberem Figurenfeld und unterem Textfeld	BLOCK_ONLY_UNCERTAIN	Eine Figur sitzt in einem kleinen Gefäß; eine sichere gezeichnete Verbindung von diesem Gefäß zum unteren Gruppenbecken ist nicht erkennbar.	Den inneren Posten portionsweise weiterführen, an der markierten Zielstelle einsetzen, kurz halten und danach aus der Quellstation in den nächsten Gang geben; absetzen lassen und schließen.	STRAINED	Lokales Gefäß, ein einzelner Benutzer und ein kurzer lokaler Arbeitsgang sind sichtbar.	Quellstation, markierte Zielstelle, nächster Gang und deren Richtung sind nicht sichtbar; die Zeilen lassen sich der kleinen Figur nicht sicher allein zuweisen.	Auf den kleinen lokalen Gefäßgang reduzieren und keinen Übergang zum unteren Pool erfinden.	Am mittleren lokalen Gefäß eine Portion des aktiven Postens weiterbehandeln, kurz halten, absetzen und den lokalen Gang schließen.
BATH-04	f75r	P1009-S153	f75r.39	YALE_CANVAS_1006208;SHA256=7c807221ad51b901ba8e572373e43317530779b6a7f054c2108545d23de254bc	unteres rechtes gemeinsames grünes Mehrfigurenbecken	ADJACENT_ZONE_PLAUSIBLE	Ein klar umgrenztes grünes Becken enthält mehrere Figuren; ein eindeutiger Einlauf oder eine Flussrichtung ist nicht gezeichnet.	Auf dem großen Bad- und Stationsblatt im Empfangsbecken auffangen und den Teilgang schließen.	PLAUSIBLE	Ein gemeinsames aufnehmendes Becken und ein abgeschlossener lokaler Vorgang passen zur sichtbaren Einheit.	Die technische Funktion als Empfangsbecken und die Richtung des Auffangens bleiben unsichtbar.	Auffangen als neutrales Aufnehmen oder Halten im unteren Becken lesen.	Im unteren gemeinsamen Becken den aktiven Posten aufnehmen oder halten und den Teilgang schließen.
BATH-05	f77r	P1009-S301	f77r.9	YALE_CANVAS_1006212;SHA256=f0c6536d5890e14b5ee30ffd5d58113b0028848cea883f0ed0b3915759007488	oberer durchgehender grüner Bogen mit wiederholten Hängeauslässen und zwei Randfiguren	ADJACENT_ZONE_PLAUSIBLE	Ein realer bogenförmiger Verteiler trägt mehrere verschiedene Auslässe; Figuren berühren die beiden Randstellen. Keine Pfeile legen Quelle und Ziel fest.	An der bezeichneten Körper-/Beckenstation: einsetzen damit fortfahren vom bezeichneten Teil aus der Quelle am bezeichneten Ort auf die Stufe auswählen; mit demselben Ansatz fortfahren; ansetzen damit fortfahren; diesen Posten weiterführen; einen neuen Gang beginnen ausführen einsetzen umsetzen diesen Posten; einen neuen Gang beginnen ausführen einsetzen umsetzen diesen Posten; vom bezeichneten Teil diesen Posten weiterleiten entnehmen kurz auswählen; auffangen kurz. Dann den Teilgang schließen.	STRAINED	Auswahl eines Anschlussplatzes, wiederholte Teilgänge und lokale Weitergabe passen zum Mehrfachverteiler.	Die vielen einzelnen Operationen, zwei Neustarts, Quelle, Stufe und Auffangrichtung sind für diese sichtbare Station überbestimmt.	Auf Anschlusswahl, Fortsetzung und lokalen Abschluss verdichten.	Am oberen Verteiler einen der sichtbaren Anschlussplätze wählen, den laufenden Posten dort fortsetzen und nach dem lokalen Gang schließen.
BATH-06	f77r	P1009-S347	f77r.23|f77r.24|f77r.25	YALE_CANVAS_1006212;SHA256=f0c6536d5890e14b5ee30ffd5d58113b0028848cea883f0ed0b3915759007488	mittlere linke gelappte Behälterstation mit zwei sichtbaren Mündungen	ADJACENT_ZONE_PLAUSIBLE	Eine Figur arbeitet an einem großen gelappten Behälter; mindestens zwei röhrenartige Mündungen oder Arme sind sichtbar.	An der bezeichneten Körper-/Beckenstation: diesen Posten umsetzen; ansetzen zur Zielstelle; nach dem vorgeschriebenen Maß arbeiten; vom bezeichneten Teil damit fortfahren; halten den Ansatz; umleiten kurz diesen Posten; weiterleiten über den Nebenweg entnehmen kurz zur Zielstelle; halten kurz aus der Quelle; damit fortfahren entnehmen diesen Posten; danach kurz halten. Dann den Teilgang schließen.	PLAUSIBLE	Lokales Umsetzen, Halten und die Wahl eines Seitenzweigs passen zur mehrmündigen Form.	Quelle, Ziel, Flussrichtung und die genaue Identität eines Nebenwegs sind nicht markiert; der Textblock gehört nicht sicher nur diesem Gerät.	Nur einen ungerichteten lokalen Zweig und einen Arbeitsgrad behaupten.	An der mittleren mehrmündigen Station den Posten nach Maß halten und über einen sichtbaren lokalen Zweig umsetzen; anschließend schließen.
BATH-07	f77r	P1009-S358	f77r.29|f77r.30|f77r.31	YALE_CANVAS_1006212;SHA256=f0c6536d5890e14b5ee30ffd5d58113b0028848cea883f0ed0b3915759007488	untere linke blau gefasste Becherstation mit angeschlossenem Schuppenbehälter und sichtbarem Auslass	ADJACENT_ZONE_PLAUSIBLE	Eine Figur steht in einem blauen Becher; daran schließt eine schuppenartig gezeichnete Behälterform mit herabhängenden Linien oder Tropfen an.	An der bezeichneten Körper-/Beckenstation: danach zur Zielstelle; den Posten nach Maß ansetzen; entnehmen durch den Durchlass kurz diesen Posten; auswählen am bezeichneten Ort; auf die Stufe; auffangen eine Portion; behandeln länger diesen Posten; weiterleiten damit fortfahren; eine Portion ansetzen; durch den Durchlass diesen Posten; ansetzen länger diesen Posten; danach kurz halten. Dann den Teilgang schließen.	PLAUSIBLE	Maßportion, lokaler Behälter, Passage und Halten sind mit der komplexen Station vereinbar.	Zweimalige Passage, Zielrichtung, Arbeitsstufe und genaue zeitliche Folge sind optisch nicht ablesbar.	Die sichtbaren Teile als eine lokale Behälter-und-Auslass-Station lesen, ohne doppelte gerichtete Passage.	An der unteren blau gefassten Station eine Portion nach Maß einsetzen, im angeschlossenen Behälter halten und am sichtbaren Auslass weiterbehandeln; schließen.
BATH-08	f77r	P1009-S373	f77r.39|f77r.40	YALE_CANVAS_1006212;SHA256=f0c6536d5890e14b5ee30ffd5d58113b0028848cea883f0ed0b3915759007488	untere Becher- und Auslassgruppe unterhalb der großen Textblöcke	BLOCK_ONLY_UNCERTAIN	Die untere Zeichnung zeigt einen Behälter, eine Benutzerfigur und einen strukturierten Auslass, aber keine nummerierte zweite Stufe.	An der bezeichneten Körper-/Beckenstation: weiterleiten nach Maß; als zweiten Gang auf die Stufe; mit demselben Ansatz fortfahren; vollständig. Dann den Teilgang schließen.	PLAUSIBLE	Maß, Fortsetzung und ein vollständig abgeschlossener lokaler Gang passen zu einer wiederholbaren Station.	Eine zweite Stufe und die Richtung des Weiterleitens sind nicht sichtbar; die Zeilenbindung bleibt blockweise.	Grad oder Stufe aus dem Text behalten, aber nicht an eine gezeichnete zweite Kammer binden.	An der unteren Station nach Maß weiterarbeiten, einen zweiten Arbeitsgrad einstellen, mit demselben Posten fortfahren und den lokalen Gang vollständig schließen.
BATH-09	f81v	P1009-S386	f81v.2|f81v.3	YALE_CANVAS_1006221;SHA256=5065b13388c0307510ce5c27bc6df76996791e6fc51a705a5b0a6be228a88d44	linker gebogener Randanschluss zum großen zweireihigen Gemeinschaftsbad	PAGE_CLUSTER_PLAUSIBLE	Eine lange gebogene Linie erreicht die linke obere Ecke des großen grünen Bades; dort sitzt eine Figur an einer kleinen blauen Kontaktstelle.	Nach Sollwert den Beckenlauf zur Zielstelle öffnen, eine Portion aus der Quelle zugeben, den Ansatz warm weiterführen und länger im Empfangsbecken halten; schließen.	STRAINED	Sollmenge, Randanschluss, großes aufnehmendes Bad und längeres Halten passen zur Anlage.	Wärme, Quelle, Ziel, Öffnungsrichtung und die Funktion als Empfangsbecken sind nicht sichtbar.	Wärme und gerichtete Quelle-Ziel-Lesung entfernen; nur Randanschluss plus gemeinsames Feld nutzen.	Nach Sollwert eine Portion am sichtbaren Randanschluss in das gemeinsame Badfeld geben, dort im höheren Grad halten und schließen.
BATH-10	f81v	P1009-S400	f81v.10|f81v.11|f81v.12	YALE_CANVAS_1006221;SHA256=5065b13388c0307510ce5c27bc6df76996791e6fc51a705a5b0a6be228a88d44	großes einziges grünes Gehäuse mit zwei Reihen von Figuren	PAGE_CLUSTER_SECURE	Die Figuren stehen in zwei Reihen innerhalb einer durchgehenden gemeinsamen Umrandung. Getrennte, seriell verbundene Becken sind nicht gezeichnet.	Im zweireihigen Bad den Posten in den inneren Beckenlauf geben, länger halten, von Becken zu Becken weiterführen und schließlich absetzen; den Teilgang schließen.	IMAGE_CONTRADICTION	Zweireihiges Bad, längeres Halten und mehrere Benutzungspositionen passen sichtbar.	Die Formulierung von Becken zu Becken erfindet mehrere Becken und eine serielle Verbindung innerhalb eines einzigen umrandeten Feldes.	Mehrere Positionen desselben Bades statt serieller Becken lesen.	Im gemeinsamen zweireihigen Badfeld den Posten innerhalb derselben Anlage länger halten, an einer weiteren Position fortsetzen und schließlich absetzen; den Teilgang schließen.
