audit_id	page	image_object_id	statement_id	locus_span	image_observation	current_translation	optical_fit	supported_elements	unsupported_or_invisible_elements	repair	revised_translation
HA01	f10r	1006094	P1009-S001	f10r.1|f10r.2|f10r.3|f10r.4	Eine ganze aufrechte Pflanze mit gezähnten Blattpaaren, offenem blauem Blütenkopf, Knospe und waagerechtem Wurzelstock mit zwei großen roten Endschwellungen; der Textgang liegt oben, weit vom Wurzelstock entfernt; kein Gefäß, Durchlass oder Flüssigkeitslauf.	Vom gezeigten Speicherwurzelstock einen Teil entnehmen, im Gefäß nach Sollmaß ansetzen, den ersten Zug auffangen, durch den Durchlass führen und bis zur Gebrauchsbereitschaft bearbeiten; den Teilgang schließen.	STRAINED	Wurzelstock; klar abtrennbare Wurzelteile; großer zusammenhängender Pflanzenartikel; geschlossener Textgang	Gefäß; erster Zug; Auffangstelle; Durchlass; Gebrauchsbereitschaft	Die sichtbare Wurzel als Besitzer behalten, aber die gesamte ungemalte Apparaturkette auf neutrale Arbeitsverben zurücknehmen.	Vom gezeigten Wurzelstock einen Teil nehmen, nach Maß ansetzen und weiterbearbeiten; den Teilgang schließen.
HA02	f10r	1006094	P1009-S002	f10r.5|f10r.6|f10r.7|f10r.8|f10r.9|f10r.10|f10r.11|f10r.12	Derselbe Artikel zeigt drei leicht unterscheidbare Materialzonen: zwei rote Wurzelschwellungen, mehrere Blattpaare und Blütenkopf samt Knospe; der Text füllt den nach der Zeichnung verbliebenen oberen Raum und läuft um die Blüte, ohne Teilzeiger.	Danach einen weiteren Wurzel-, Blatt- oder Kopfanteil nehmen, anwärmen, pressen und portionsweise in den Topf geben; den Ansatz nach Sollmaß weiterführen, einen Teil trennen und die Fortsetzung offenlassen.	PLAUSIBLE	Wurzel-, Blatt- und Kopfanteil; Portionierung eines Pflanzenartikels; offene Fortsetzung am Seitenende	Anwärmen; Pressen; Topf; direkte Zuordnung einzelner Textzeilen zu Pflanzenteilen	Die sichtbare Dreiteilung als mögliche Teileliste nutzen, aber Topf und spezielle Behandlung nicht aus dem Bild ableiten.	Danach einen weiteren Wurzel-, Blatt- oder Blütenanteil nehmen, nach Maß portionsweise zugeben, den Ansatz weiterführen und einen Teil abtrennen; die Fortsetzung bleibt offen.
HA03	f11r	1006096	P1009-S003	f11r.1	Eine dicht geschlossene, vielköpfige Blütenkrone sitzt auf drei hellen Stängeln über einer breiten faserigen Wurzelkrone; die kurze Passage beginnt im oberen Textblock; nirgends sind Wasser, Gefäß, Sieb oder Kühlstelle gezeichnet.	Vom Blütenkraut einen Sudansatz bilden, auswringen, die vorgeschriebene Stehzeit abwarten, nachseihen, den Klarlauf abnehmen und kalt stellen; den Teilgang schließen.	STRAINED	Blütenkraut als stummer Besitzer; reichlich abtrennbares Pflanzenmaterial; kurzer abgeschlossener Arbeitsgang	Sud; Auswringen; vorgeschriebene Stehzeit; Sieben; Klarlauf; Kaltstellen	Die ganze Flüssigkeits- und Temperaturgeschichte entfernen; die Folge nur als Trennen, Halten und Weiterführen eines Bildteils lesen.	Vom gezeigten Blütenkraut einen Teil abtrennen, nach Maß halten und weiterführen; den Teilgang schließen.
HA04	f11r	1006096	P1009-S004	f11r.1|f11r.2|f11r.3|f11r.4|f11r.5|f11r.6|f11r.7	Viele kleine blaue Köpfe und drei kräftige Stängel machen eine Mehrfachentnahme oder getrennte Vorratshaltung anschaulich möglich; der gesamte Text steht oberhalb der Pflanzenkrone und hat keine Verbindungslinien zu einem bestimmten Teil.	Einen Blütenanteil als Reserve zurücklegen, vom vorigen Ansatz die Sollmenge nehmen, weitere Teile zugeben und den Folgezug halten; einen Teil als Trank oder Gebrauchsauszug weiterleiten, der Artikelzug bleibt offen.	PLAUSIBLE	zahlreiche Blütenanteile; mehrere Stängel; wiederholbare Teilentnahme; offener Artikelgang	Reserve als besondere Lagerklasse; voriger Ansatz; Trank; Gebrauchsauszug; sichtbarer Leitweg	Blütenportion und Wiederaufnahme dürfen stehen; die zwei erfundenen Produktarten zu einem neutralen weiteren Gebrauch zusammenziehen.	Einen Blütenanteil zurücklegen, eine Sollmenge weiterer Teile zugeben und den Folgegang halten; einen Teil zur weiteren Verwendung geben, der Artikelgang bleibt offen.
HA05	f13r	1006098	P1009-S005	f13r.1|f13r.2|f13r.3|f13r.4|f13r.5	Das Bild gliedert sich ungewöhnlich deutlich in einen sehr großen rotbraunen Speicherwurzelkörper, einen Ring heller runder Kronenstücke, breite Blätter und einen endständigen Blütenstand; die Passage steht darüber, nicht als beschriftete Teileliste.	Die Wurzelkrone aktivieren, ein Brutknöllchen und den ersten Teil abnehmen, im Ansatz halten, nach Sollmaß zugeben und den Blütenanteil mitführen; auspressen und den Teilgang schließen.	STRONG_FIT	Wurzelkrone; mehrere runde Kronenstücke; getrennte Blatt- und Blütenzone; Entnahme mehrerer sichtbarer Teile	botanisch bestimmtes Brutknöllchen; Aktivieren; Ansatzgefäß; Auspressen	Die starke Bildgliederung behalten, aber aus Brutknöllchen ein beschreibendes Kronenstück machen und den unsichtbaren Pressvorgang neutralisieren.	Von der großen Wurzelkrone ein rundes Kronenstück und einen weiteren Teil abnehmen, nach Maß halten und den Blütenanteil mitführen; weiterbearbeiten und den Teilgang schließen.
HA06	f13r	1006098	P1009-S009	f13r.10	Die letzte kurze Textzeile liegt unmittelbar oberhalb des Blütenstands, ohne Zeiger; Wurzel, Blatt und Blüte bleiben als mögliche nächste Pflanzenteile sichtbar.	Den nächsten Pflanzenteil auswählen, zugeben und mit dem vorhandenen Ansatz vereinigen; die Fortsetzung bleibt offen.	PLAUSIBLE	nächster Pflanzenteil; Auswahl aus mehreren deutlich verschiedenen Organen; offene Fortsetzung	vorhandener Ansatz; tatsächliches Vereinigen zweier Stoffe	Die kurze Auswahlform beibehalten, aber den vorhandenen Ansatz nur als Werkstattkontext und nicht als Bildobjekt behandeln.	Den nächsten sichtbaren Pflanzenteil auswählen und dem laufenden Posten zugeben; die Fortsetzung bleibt offen.
HA07	f17r	1006106	P1009-S010	f17r.1	Eine einzige hochgewachsene Pflanze zeigt drei dunkle Blütenköpfe, viele schmale Blattpaare und einen freiliegenden verzweigten Wurzelstock; das Einzelwort beginnt den oberen Textblock; kein Seitenweg ist markiert.	Bei der abgebildeten Pflanze: über den Nebenweg halten ausführen. Dann den Teilgang schließen.	STRAINED	abgebildete Pflanze als Besitzer; sehr kurzer geschlossener Eintrag	Nebenweg; dessen Richtung oder Ziel; die unflüssige Doppelhandlung halten ausführen	Den angeblichen Weg als bloßen Seiten- oder Nebenanteil der Pflanze lesen und die Verben zu einer einfachen Behandlung zusammenziehen.	Bei der abgebildeten Pflanze einen Nebenanteil kurz behandeln; den Teilgang schließen.
HA08	f17r	1006106	P1009-S017	f17r.8|f17r.9|f17r.10|f17r.11|f17r.12	Die lange Schlussfolge steht links vom Stängel und unterhalb der beiden oberen Textblöcke; zu sehen sind nur Pflanze, Blattreihen, drei Köpfe und Wurzeln, ohne Rohr, Innenraum, Behälter oder Zielmarken.	Bei der abgebildeten Pflanze: vom bezeichneten Teil entnehmen diesen Posten; vom bezeichneten Teil diesen Posten entnehmen kurz aus der Quelle; auswählen aus der Quelle; diesen Posten zugeben diesen Posten; auswählen ausführen diesen Posten; durch den Durchlass ausführen; ausführen; als zweiten Gang auswählen; entnehmen diesen Posten einsetzen entnehmen im Inneren; vom bezeichneten Teil aus der Quelle; entnehmen kurz aus der Quelle; vom bezeichneten Teil den Auszug merken; auswählen eine Portion; diesen Posten weiterführen; in der Mitte damit fortfahren; danach entnehmen damit fortfahren; bis bereit aus der Quelle; den Posten nach Maß ansetzen; mit demselben Ansatz fortfahren; als zweiten Gang auf die Stufe; diesen Posten entnehmen ausführen vom bezeichneten Teil; diesen Posten weiterführen; entnehmen danach ausführen in der Mitte. Der Pflanzenartikel endet nach einer Fortsetzungsform ohne Schlusskarte; kein Folgesatz wird erfunden.	STRAINED	wiederholte Teilentnahme; Portion; zweite Arbeitsfolge; offenes Artikelende	bezeichnete Quelle; Durchlass; Innenraum; Auszug; Mitte und Stufe als konkrete Bildorte; Wiederholungen ergeben noch keinen flüssigen Werkstattsatz	Die lange Kartenfolge zu einer Teile-, Mengen- und Folgeanweisung verdichten; keine unsichtbare Anlage in das Pflanzenbild legen.	Mehrere bezeichnete Pflanzenanteile nacheinander entnehmen, eine Portion nach Maß ansetzen und im zweiten Arbeitsgang weiterbearbeiten; der Pflanzenartikel endet offen.
HA09	f18r	1006108	P1009-S018	f18r.1	Eine große aufrechte Pflanze trägt breite gegenständige Blätter, mehrere kleine Knospen und einen großen farbigen Blütenkopf über einer verzweigten Wurzel; das erste Einzelwort steht am linken Anfang des Textblocks; kein Lauf, Durchlass oder Zielzeichen ist sichtbar.	große abgebildete Blütenpflanze: den Posten aus der Quelle über den Lauf oder Durchlass zur Zielstelle führen. Den Teilgang schließen.	STRAINED	große Blütenpflanze als Besitzer; geschlossener Kurzgang	Quelle; Lauf; Durchlass; Zielstelle; sichtbare Bewegungsrichtung	Die vier räumlichen Fachwörter nicht als dargestellte Infrastruktur ausgeben; auf die Weitergabe eines bezeichneten Pflanzenteils kürzen.	Bei der großen Blütenpflanze einen bezeichneten Teil zum nächsten Arbeitsort weitergeben; den Teilgang schließen.
HA10	f18r	1006108	P1009-S020	f18r.5|f18r.6|f18r.7	Die Passage liegt links vom oberen Stängel und endet an dessen Bildkante; Blatt, Knospe, offene Blüte und Wurzel sind als mögliche Posten vorhanden, doch es gibt keine Teilezeiger.	große abgebildete Blütenpflanze: die eingetragene Folge aus Posten, Maß oder Ansatz, Handlung, Weg und Ziel vollständig abarbeiten. Den Teilgang schließen.	PLAUSIBLE	Bildbesitzer; mehrere mögliche Pflanzenposten; längere geschlossene Arbeitsfolge	konkretes Maß; Ansatz; Weg; Ziel; vollständige Abarbeitung ist eine Metabeschreibung statt einer eigentlichen Übersetzung	Die abstrakte Schablonenbeschreibung in eine kurze Werkstattanweisung mit Bildteilen umformen, ohne einen unsichtbaren Apparat zu benennen.	Von der großen Blütenpflanze den bezeichneten Teil nach Maß nehmen, im laufenden Ansatz weiterbearbeiten und den Teilgang schließen.
