page	section	visible_groups	prose_events	astro_groups	astro_loci	astro_namespaces	case_ids	learning_instruction_de
f10r	PROSE_WORKSHOP	38	38	0	0	0	C1|C2	KARTENBEDEUTUNG LESEN UND OBERFLAECHE SCHREIBEN
f11r	PROSE_WORKSHOP	17	17	0	0	0	C3	KARTENBEDEUTUNG LESEN UND OBERFLAECHE SCHREIBEN
f55v	PROSE_WORKSHOP	18	18	0	0	0	C4	KARTENBEDEUTUNG LESEN UND OBERFLAECHE SCHREIBEN
f56r	PROSE_WORKSHOP	27	27	0	0	0	C5	KARTENBEDEUTUNG LESEN UND OBERFLAECHE SCHREIBEN
f81v	PROSE_WORKSHOP	66	66	0	0	0	C1	KARTENBEDEUTUNG LESEN UND OBERFLAECHE SCHREIBEN
f82r	PROSE_WORKSHOP	62	62	0	0	0	C2	KARTENBEDEUTUNG LESEN UND OBERFLAECHE SCHREIBEN
f83r	PROSE_WORKSHOP	153	153	0	0	0	C3|C4|C5|C6	KARTENBEDEUTUNG LESEN UND OBERFLAECHE SCHREIBEN
f67r2	ASTRO_COPIED_LOOKUP	190	0	190	74	3	NONE	BILDPLATZ UND GANZE LOKALE ETIKETTE KOPIEREN
f68r1	ASTRO_COPIED_LOOKUP	65	0	65	37	7	NONE	BILDPLATZ UND GANZE LOKALE ETIKETTE KOPIEREN
f69v	ASTRO_COPIED_LOOKUP	140	0	140	31	3	NONE	BILDPLATZ UND GANZE LOKALE ETIKETTE KOPIEREN
