lesson_no	namespace_id	page	loci	groups	instrument_reading_de	apprentice_action_de	possible_case_use_de	required_for_case	orientation	cross_page_key	prose_word_import
1	F67_RIGHT_WHEEL_NS	f67r2	23	56	rechtes Sektor- und Bedingungsrad	Bildplatz zeigen; vollstaendige lokale Marke in ihrer Reihenfolge kopieren; nur innerhalb dieses Namensraums wiederfinden	einen groben Himmelsabschnitt oder sichtbaren Bedingungsplatz waehlen und nur die zugehoerige Radlegende konsultieren	NO	NONE	NONE	NONE
2	F67_LEFT_WHEEL_NS	f67r2	50	121	linkes Stern-, Strahl- oder Aspektfeldrad	Bildplatz zeigen; vollstaendige lokale Marke in ihrer Reihenfolge kopieren; nur innerhalb dieses Namensraums wiederfinden	eine feinere Stern- oder Aspektlage nach ihrem Bildort nachschlagen	NO	NONE	NONE	NONE
3	F67_PAIRED_LEGEND_QUARANTINE_NS	f67r2	1	13	ungeloeste Seitenlegende zwischen beiden Raedern	Bildplatz zeigen; vollstaendige lokale Marke in ihrer Reihenfolge kopieren; nur innerhalb dieses Namensraums wiederfinden	nur als gemeinsame Ueberschrift oder Gebrauchshinweis abschreiben	NO	NONE	NONE	NONE
4	F68_LEFT_PANEL_HEADER_NS	f68r1	1	9	linke Sternfeld-Ueberschrift	Bildplatz zeigen; vollstaendige lokale Marke in ihrer Reihenfolge kopieren; nur innerhalb dieses Namensraums wiederfinden	das linke Sternfeld als eigene Nachschlageeinheit aufrufen	NO	NONE	NONE	NONE
5	F68_MIDDLE_PANEL_HEADER_NS	f68r1	1	9	mittlere Sternfeld-Ueberschrift	Bildplatz zeigen; vollstaendige lokale Marke in ihrer Reihenfolge kopieren; nur innerhalb dieses Namensraums wiederfinden	das mittlere Sternfeld als eigene Nachschlageeinheit aufrufen	NO	NONE	NONE	NONE
6	F68_RIGHT_PANEL_HEADER_NS	f68r1	1	8	rechte Sternfeld-Ueberschrift	Bildplatz zeigen; vollstaendige lokale Marke in ihrer Reihenfolge kopieren; nur innerhalb dieses Namensraums wiederfinden	das rechte gegliederte Sternfeld als eigene Nachschlageeinheit aufrufen	NO	NONE	NONE	NONE
7	F68_LOCAL_STAR_SLOT_NS	f68r1	28	28	achtundzwanzig raeumliche Stern- oder Asterismusplaetze	Bildplatz zeigen; vollstaendige lokale Marke in ihrer Reihenfolge kopieren; nur innerhalb dieses Namensraums wiederfinden	den beim Bild gezeigten Sternplatz nachschlagen; keine Kreisfolge voraussetzen	NO	NONE	NONE	NONE
8	F68_MULTIPANEL_HEADER_QUARANTINE_NS	f68r1	4	5	ungeloeste mehrpaneelige Kopfstuecke	Bildplatz zeigen; vollstaendige lokale Marke in ihrer Reihenfolge kopieren; nur innerhalb dieses Namensraums wiederfinden	sichtbaren Kopftext bewahren, aber keinem einzelnen Sternplatz zwingen	NO	NONE	NONE	NONE
9	F68_CENTRAL_LEGEND_QUARANTINE_NS	f68r1	1	5	ungeloeste Zentrallegende	Bildplatz zeigen; vollstaendige lokale Marke in ihrer Reihenfolge kopieren; nur innerhalb dieses Namensraums wiederfinden	als lokalen Schluesselbereich behandeln, ohne ein einziges Seitenzentrum zu erfinden	NO	NONE	NONE	NONE
10	F68_CENTRE_KEY_QUARANTINE_NS	f68r1	1	1	ungeloestes Gesichts- oder Zentrumszeichen	Bildplatz zeigen; vollstaendige lokale Marke in ihrer Reihenfolge kopieren; nur innerhalb dieses Namensraums wiederfinden	nur als moeglichen lokalen Schluesselhalter behandeln	NO	NONE	NONE	NONE
11	F69_LEFT_WHEEL_NS	f69v	29	73	linkes Rad mit lokalem Achtundzwanziger-Inventar	Bildplatz zeigen; vollstaendige lokale Marke in ihrer Reihenfolge kopieren; nur innerhalb dieses Namensraums wiederfinden	einen der 28 Bildplaetze lokal waehlen und die Ringrubrik desselben Rades konsultieren; keine Reihenfolge erfinden	NO	NONE	NONE	NONE
12	F69_MIDDLE_WHEEL_NS	f69v	1	38	mittleres Wolken-, Wellen- oder Himmelszustandsrad	Bildplatz zeigen; vollstaendige lokale Marke in ihrer Reihenfolge kopieren; nur innerhalb dieses Namensraums wiederfinden	einen Wetter- oder Himmelszustand als eigene Bedingung nachschlagen	NO	NONE	NONE	NONE
13	F69_RIGHT_WHEEL_NS	f69v	1	29	rechtes Gesichts-, Licht- oder Planetenrad	Bildplatz zeigen; vollstaendige lokale Marke in ihrer Reihenfolge kopieren; nur innerhalb dieses Namensraums wiederfinden	einen Licht-, Gestirn- oder Komplexionszustand als eigene Bedingung nachschlagen	NO	NONE	NONE	NONE
