neighbor_id	source_recipe	source_catalog_tier	mutation_family	mutation_positions	source_atom_or_pair	target_atom_or_pair	substitution_class	target_recipe	target_is_exact_catalog_key	target_identity_route	target_identity_status	target_factor_gate_status	target_execution_route	target_execution_decision	target_blocked_factor_rules	source_identity_retained_without_exact_target	fuzzy_identity_matching_used	meaning_revision	surface_prediction
G447-N00002	AIIN	T0_EXACT_OBSERVED	SAME_CLASS_SUBSTITUTION	1	AIIN	AIN	ARGUMENT	AIN	YES	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00003	AIIN	T0_EXACT_OBSERVED	SAME_CLASS_SUBSTITUTION	1	AIIN	OR	ARGUMENT	OR	YES	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00004	AIIN	T0_EXACT_OBSERVED	SAME_CLASS_SUBSTITUTION	1	AIIN	Y	ARGUMENT	Y	YES	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00006	AIIN+AIIN	T4_NARROW_APPENDIX	SAME_CLASS_SUBSTITUTION	2	AIIN	AIN	ARGUMENT	AIIN+AIN	YES	IDENTITY_EXACT_FUTURE_STRONG	PREDICTED_STRONG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00007	AIIN+AIIN	T4_NARROW_APPENDIX	SAME_CLASS_SUBSTITUTION	2	AIIN	OR	ARGUMENT	AIIN+OR	YES	IDENTITY_EXACT_NARROW_APPENDIX	NARROW_LOOKUP_ONLY	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00008	AIIN+AIIN	T4_NARROW_APPENDIX	SAME_CLASS_SUBSTITUTION	2	AIIN	Y	ARGUMENT	AIIN+Y	YES	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00009	AIIN+AIIN	T4_NARROW_APPENDIX	SAME_CLASS_SUBSTITUTION	1	AIIN	AIN	ARGUMENT	AIN+AIIN	NO	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00010	AIIN+AIIN	T4_NARROW_APPENDIX	SAME_CLASS_SUBSTITUTION	1	AIIN	OR	ARGUMENT	OR+AIIN	YES	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00011	AIIN+AIIN	T4_NARROW_APPENDIX	SAME_CLASS_SUBSTITUTION	1	AIIN	Y	ARGUMENT	Y+AIIN	YES	IDENTITY_EXACT_FUTURE_STRONG	PREDICTED_STRONG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00015	AIIN+AIN	T2_FUTURE_STRONG	SAME_CLASS_SUBSTITUTION	2	AIN	AIIN	ARGUMENT	AIIN+AIIN	YES	IDENTITY_EXACT_NARROW_APPENDIX	NARROW_LOOKUP_ONLY	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00016	AIIN+AIN	T2_FUTURE_STRONG	SAME_CLASS_SUBSTITUTION	2	AIN	OR	ARGUMENT	AIIN+OR	YES	IDENTITY_EXACT_NARROW_APPENDIX	NARROW_LOOKUP_ONLY	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00017	AIIN+AIN	T2_FUTURE_STRONG	SAME_CLASS_SUBSTITUTION	2	AIN	Y	ARGUMENT	AIIN+Y	YES	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00018	AIIN+AIN	T2_FUTURE_STRONG	SAME_CLASS_SUBSTITUTION	1	AIIN	AIN	ARGUMENT	AIN+AIN	YES	IDENTITY_EXACT_NARROW_APPENDIX	NARROW_LOOKUP_ONLY	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00019	AIIN+AIN	T2_FUTURE_STRONG	SAME_CLASS_SUBSTITUTION	1	AIIN	OR	ARGUMENT	OR+AIN	YES	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00020	AIIN+AIN	T2_FUTURE_STRONG	SAME_CLASS_SUBSTITUTION	1	AIIN	Y	ARGUMENT	Y+AIN	YES	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
