neighbor_id	source_recipe	source_catalog_tier	mutation_family	mutation_positions	source_atom_or_pair	target_atom_or_pair	substitution_class	target_recipe	target_is_exact_catalog_key	target_identity_route	target_identity_status	target_factor_gate_status	target_execution_route	target_execution_decision	target_blocked_factor_rules	source_identity_retained_without_exact_target	fuzzy_identity_matching_used	meaning_revision	surface_prediction
G447-N00012	AIIN+AIN	T2_FUTURE_STRONG	ADJACENT_SWAP	1-2	AIIN>AIN	AIN>AIIN	ORDER	AIN+AIIN	NO	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00021	AIIN+AL	T4_NARROW_APPENDIX	ADJACENT_SWAP	1-2	AIIN>AL	AL>AIIN	ORDER	AL+AIIN	YES	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00030	AIIN+OR	T4_NARROW_APPENDIX	ADJACENT_SWAP	1-2	AIIN>OR	OR>AIIN	ORDER	OR+AIIN	YES	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00039	AIIN+Y	T0_EXACT_OBSERVED	ADJACENT_SWAP	1-2	AIIN>Y	Y>AIIN	ORDER	Y+AIIN	YES	IDENTITY_EXACT_FUTURE_STRONG	PREDICTED_STRONG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00059	AIN+AL	T4_NARROW_APPENDIX	ADJACENT_SWAP	1-2	AIN>AL	AL>AIN	ORDER	AL+AIN	YES	IDENTITY_EXACT_FUTURE_HIGH	PREDICTED_HIGH	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00068	AIN+D_ADDR	T0_EXACT_OBSERVED	ADJACENT_SWAP	1-2	AIN>D_ADDR	D_ADDR>AIN	ORDER	D_ADDR+AIN	YES	IDENTITY_EXACT_NARROW_APPENDIX	NARROW_LOOKUP_ONLY	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00074	AIN+Y	T2_FUTURE_STRONG	ADJACENT_SWAP	1-2	AIN>Y	Y>AIN	ORDER	Y+AIN	YES	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00087	AIR+AIIN	T2_FUTURE_STRONG	ADJACENT_SWAP	1-2	AIR>AIIN	AIIN>AIR	ORDER	AIIN+AIR	NO	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_AMBER_LOCAL_APPENDIX	EXECUTE_KNOWN_FACTORS_AMBER	READ_AMBER	NONE	NO	NO	NO	NO
G447-N00096	AIR+AIN	T3_SECOND_RING_AMBER	ADJACENT_SWAP	1-2	AIR>AIN	AIN>AIR	ORDER	AIN+AIR	NO	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_AMBER_LOCAL_APPENDIX	EXECUTE_KNOWN_FACTORS_AMBER	READ_AMBER	NONE	NO	NO	NO	NO
G447-N00105	AIR+AL	T4_NARROW_APPENDIX	ADJACENT_SWAP	1-2	AIR>AL	AL>AIR	ORDER	AL+AIR	NO	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_AMBER_LOCAL_APPENDIX	EXECUTE_KNOWN_FACTORS_AMBER	READ_AMBER	NONE	NO	NO	NO	NO
