neighbor_id	source_recipe	source_catalog_tier	mutation_family	mutation_positions	source_atom_or_pair	target_atom_or_pair	substitution_class	target_recipe	target_is_exact_catalog_key	target_identity_route	target_identity_status	target_factor_gate_status	target_execution_route	target_execution_decision	target_blocked_factor_rules	source_identity_retained_without_exact_target	fuzzy_identity_matching_used	meaning_revision	surface_prediction
G447-N00001	AIIN	T0_EXACT_OBSERVED	ATOM_DELETION	1	AIIN	NONE	ARGUMENT	EMPTY_RECIPE	NO	IDENTITY_NEW_VISIBLE_RECIPE	NO_VISIBLE_RECIPE_AFTER_DELETION	STOP__EMPTY_RECIPE	EXECUTION_STOP_EMPTY_RECIPE	STOP	EMPTY_RECIPE	NO	NO	NO	NO
G447-N00005	AIIN+AIIN	T4_NARROW_APPENDIX	ATOM_DELETION	1|2	AIIN	NONE	ARGUMENT	AIIN	YES	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00013	AIIN+AIN	T2_FUTURE_STRONG	ATOM_DELETION	2	AIN	NONE	ARGUMENT	AIIN	YES	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00014	AIIN+AIN	T2_FUTURE_STRONG	ATOM_DELETION	1	AIIN	NONE	ARGUMENT	AIN	YES	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00022	AIIN+AL	T4_NARROW_APPENDIX	ATOM_DELETION	2	AL	NONE	RELATION	AIIN	YES	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00023	AIIN+AL	T4_NARROW_APPENDIX	ATOM_DELETION	1	AIIN	NONE	ARGUMENT	AL	YES	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00031	AIIN+OR	T4_NARROW_APPENDIX	ATOM_DELETION	2	OR	NONE	ARGUMENT	AIIN	YES	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00032	AIIN+OR	T4_NARROW_APPENDIX	ATOM_DELETION	1	AIIN	NONE	ARGUMENT	OR	YES	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00040	AIIN+Y	T0_EXACT_OBSERVED	ATOM_DELETION	2	Y	NONE	ARGUMENT	AIIN	YES	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00041	AIIN+Y	T0_EXACT_OBSERVED	ATOM_DELETION	1	AIIN	NONE	ARGUMENT	Y	YES	IDENTITY_EXACT_OBSERVED	OBSERVED	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NO	NO	NO	NO
G447-N00048	AIN	T0_EXACT_OBSERVED	ATOM_DELETION	1	AIN	NONE	ARGUMENT	EMPTY_RECIPE	NO	IDENTITY_NEW_VISIBLE_RECIPE	NO_VISIBLE_RECIPE_AFTER_DELETION	STOP__EMPTY_RECIPE	EXECUTION_STOP_EMPTY_RECIPE	STOP	EMPTY_RECIPE	NO	NO	NO	NO
