target_recipe	neighbor_row_count	distinct_source_recipe_count	mutation_families	target_is_exact_catalog_key	target_identity_route	target_execution_decision	target_blocked_factor_rules	source_recipes	fuzzy_identity_matching_used
AIIN	27	27	ATOM_DELETION|SAME_CLASS_SUBSTITUTION	YES	IDENTITY_EXACT_OBSERVED	READ	NONE	AIIN+AIIN|AIIN+AIN|AIIN+AL|AIIN+OR|AIIN+Y|AIN|AIR+AIIN|AL+AIIN|AR+AIIN|CH+AIIN|CHD+AIIN|D_ADDR+AIIN|K+AIIN|L+AIIN|O+AIIN|OK+AIIN|OL+AIIN|OR|OR+AIIN|OT+AIIN|P+AIIN|R+AIIN|S+AIIN|SH+AIIN|T+AIIN|Y|Y+AIIN	NO
AIIN+AIIN	5	5	SAME_CLASS_SUBSTITUTION	YES	IDENTITY_EXACT_NARROW_APPENDIX	READ	NONE	AIIN+AIN|AIIN+OR|AIIN+Y|OR+AIIN|Y+AIIN	NO
AIIN+AIN	6	6	SAME_CLASS_SUBSTITUTION	YES	IDENTITY_EXACT_FUTURE_STRONG	READ	NONE	AIIN+AIIN|AIIN+OR|AIIN+Y|AIN+AIN|OR+AIN|Y+AIN	NO
AIIN+AIN+S+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	OR+AIN+S+Y	NO
AIIN+AIR	3	3	ADJACENT_SWAP|SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ_AMBER	NONE	AIIN+AL|AIR+AIIN|Y+AIR	NO
AIIN+AL	4	4	ADJACENT_SWAP|SAME_CLASS_SUBSTITUTION	YES	IDENTITY_EXACT_NARROW_APPENDIX	READ	NONE	AIN+AL|AL+AIIN|OR+AL|Y+AL	NO
AIIN+AL+LOCAL_CHAR_I	1	1	ADJACENT_SWAP	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	AL+AIIN+LOCAL_CHAR_I	NO
AIIN+AL+S	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+AL+S	NO
AIIN+AL+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	OR+AL+Y	NO
AIIN+AR	4	4	ADJACENT_SWAP|SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	AIIN+AL|AR+AIIN|OR+AR|Y+AR	NO
AIIN+CH	1	1	ADJACENT_SWAP	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	CH+AIIN	NO
AIIN+CH+AIR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+CH+AIR	NO
AIIN+CH+E+O	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+CH+E+O	NO
AIIN+CH+E+O+D_ADDR+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+CH+E+O+D_ADDR+Y	NO
AIIN+CH+E+O+L	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+CH+E+O+L	NO
AIIN+CH+E+O+R	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+CH+E+O+R	NO
AIIN+CH+K	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+CH+K	NO
AIIN+CH+K+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+CH+K+Y	NO
AIIN+CH+O	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+CH+O	NO
AIIN+CH+O+CH+P+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+CH+O+CH+P+Y	NO
AIIN+CH+O+D_ADDR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+CH+O+D_ADDR	NO
AIIN+CH+OR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	OR+CH+OR	NO
AIIN+CHD	1	1	ADJACENT_SWAP	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	CHD+AIIN	NO
AIIN+CHD+OR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+CHD+OR	NO
AIIN+CHD+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+CHD+Y	NO
AIIN+DA+AM_ADDR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+DA+AM_ADDR	NO
AIIN+DY	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	STOP	CLOSE:NO_ACTIVE_ACTION	Y+DY	NO
AIIN+DY+D_LABEL	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	STOP	CLOSE:NO_ACTIVE_ACTION	Y+DY+D_LABEL	NO
AIIN+D_ADDR	2	2	ADJACENT_SWAP|SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	AIN+D_ADDR|D_ADDR+AIIN	NO
AIIN+D_ADDR+AIIN	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+D_ADDR+AIIN	NO
AIIN+D_ADDR+AIR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ_AMBER	NONE	Y+D_ADDR+AIR	NO
AIIN+D_ADDR+AL	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+D_ADDR+AL	NO
AIIN+D_ADDR+AR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+D_ADDR+AR	NO
AIIN+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	NO
AIIN+D_ADDR+CH+O+S	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+D_ADDR+CH+O+S	NO
AIIN+D_ADDR+L	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+D_ADDR+L	NO
AIIN+D_ADDR+O+IIN	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+D_ADDR+O+IIN	NO
AIIN+D_ADDR+OL+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+D_ADDR+OL+Y	NO
AIIN+D_ADDR+Y	1	1	ADJACENT_SWAP	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	D_ADDR+AIIN+Y	NO
AIIN+E+K+EE+S	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+E+K+EE+S	NO
AIIN+K	2	2	ADJACENT_SWAP|SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	K+AIIN|Y+K	NO
AIIN+K+AIIN	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+AIIN	NO
AIIN+K+AIN	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+AIN	NO
AIIN+K+AIR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+AIR	NO
AIIN+K+AL	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+AL	NO
AIIN+K+AL+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+AL+Y	NO
AIIN+K+AN	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+AN	NO
AIIN+K+AR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+AR	NO
AIIN+K+A_ADDR+K+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+A_ADDR+K+Y	NO
AIIN+K+CH+AIIN	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+CH+AIIN	NO
AIIN+K+CH+AIN	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+CH+AIN	NO
AIIN+K+CH+E+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+CH+E+Y	NO
AIIN+K+CH+O	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+CH+O	NO
AIIN+K+CH+OR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+CH+OR	NO
AIIN+K+CH+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+CH+Y	NO
AIIN+K+CHD+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+CHD+Y	NO
AIIN+K+E+DA+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+E+DA+Y	NO
AIIN+K+E+DY	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+E+DY	NO
AIIN+K+E+O	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+E+O	NO
AIIN+K+E+O+DY	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+E+O+DY	NO
AIIN+K+E+O+D_ADDR+AIN	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+E+O+D_ADDR+AIN	NO
AIIN+K+E+O+D_ADDR+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+E+O+D_ADDR+Y	NO
AIIN+K+E+OL+OL	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+E+OL+OL	NO
AIIN+K+E+OR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+E+OR	NO
AIIN+K+E+SH+E+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+E+SH+E+Y	NO
AIIN+K+EE+AIIN	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+EE+AIIN	NO
