unified_serial	job_id	phase	page	local_unit	source_group_id	visible_owner	visible_surface	portable_card_value_de	owner_argument_de	controlled_local_expansion_de	meaning_provenance	menu_status	orientation	crosspage_key
U001	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E001	Bildpflanze; örtlicher Wurzel-/Materialansatz	dchey	Wurzel · Posten	Bildpflanze; örtlicher Wurzel-/Materialansatz	Besitzer: Bildpflanze; örtlicher Wurzel-/Materialansatz. Karten: Wurzel · Posten; bereitstellen · Ansatz; davon; Anteil; Gefäß; Flüssigkeitslauf; danach · Teil · weiter; einsetzen; Sollmaß; kurz · Teil.	PROSE_CARD_PLUS_OWNER	ACTIVE_PROSE	PROSE_ORDER	NONE
U002	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E002	Bildpflanze; örtlicher Wurzel-/Materialansatz	cthoor	bereitstellen · Ansatz	Bildpflanze; örtlicher Wurzel-/Materialansatz	Besitzer: Bildpflanze; örtlicher Wurzel-/Materialansatz. Karten: Wurzel · Posten; bereitstellen · Ansatz; davon; Anteil; Gefäß; Flüssigkeitslauf; danach · Teil · weiter; einsetzen; Sollmaß; kurz · Teil.	PROSE_CARD_PLUS_OWNER	ACTIVE_PROSE	PROSE_ORDER	NONE
U003	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E003	Bildpflanze; örtlicher Wurzel-/Materialansatz	char	davon	Bildpflanze; örtlicher Wurzel-/Materialansatz	Besitzer: Bildpflanze; örtlicher Wurzel-/Materialansatz. Karten: Wurzel · Posten; bereitstellen · Ansatz; davon; Anteil; Gefäß; Flüssigkeitslauf; danach · Teil · weiter; einsetzen; Sollmaß; kurz · Teil.	PROSE_CARD_PLUS_OWNER	ACTIVE_PROSE	PROSE_ORDER	NONE
U004	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E004	Bildpflanze; örtlicher Wurzel-/Materialansatz	chty	Anteil	Bildpflanze; örtlicher Wurzel-/Materialansatz	Besitzer: Bildpflanze; örtlicher Wurzel-/Materialansatz. Karten: Wurzel · Posten; bereitstellen · Ansatz; davon; Anteil; Gefäß; Flüssigkeitslauf; danach · Teil · weiter; einsetzen; Sollmaß; kurz · Teil.	PROSE_CARD_PLUS_OWNER	ACTIVE_PROSE	PROSE_ORDER	NONE
U005	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E005	Bildpflanze; örtlicher Wurzel-/Materialansatz	os	Gefäß	Bildpflanze; örtlicher Wurzel-/Materialansatz	Besitzer: Bildpflanze; örtlicher Wurzel-/Materialansatz. Karten: Wurzel · Posten; bereitstellen · Ansatz; davon; Anteil; Gefäß; Flüssigkeitslauf; danach · Teil · weiter; einsetzen; Sollmaß; kurz · Teil.	PROSE_CARD_PLUS_OWNER	ACTIVE_PROSE	PROSE_ORDER	NONE
U006	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E006	Bildpflanze; örtlicher Wurzel-/Materialansatz	chair	Flüssigkeitslauf	Bildpflanze; örtlicher Wurzel-/Materialansatz	Besitzer: Bildpflanze; örtlicher Wurzel-/Materialansatz. Karten: Wurzel · Posten; bereitstellen · Ansatz; davon; Anteil; Gefäß; Flüssigkeitslauf; danach · Teil · weiter; einsetzen; Sollmaß; kurz · Teil.	PROSE_CARD_PLUS_OWNER	ACTIVE_PROSE	PROSE_ORDER	NONE
U007	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E007	Bildpflanze; örtlicher Wurzel-/Materialansatz	otytchol	danach · Teil · weiter	Bildpflanze; örtlicher Wurzel-/Materialansatz	Besitzer: Bildpflanze; örtlicher Wurzel-/Materialansatz. Karten: Wurzel · Posten; bereitstellen · Ansatz; davon; Anteil; Gefäß; Flüssigkeitslauf; danach · Teil · weiter; einsetzen; Sollmaß; kurz · Teil.	PROSE_CARD_PLUS_OWNER	ACTIVE_PROSE	PROSE_ORDER	NONE
U008	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E008	Bildpflanze; örtlicher Wurzel-/Materialansatz	oky	einsetzen	Bildpflanze; örtlicher Wurzel-/Materialansatz	Besitzer: Bildpflanze; örtlicher Wurzel-/Materialansatz. Karten: Wurzel · Posten; bereitstellen · Ansatz; davon; Anteil; Gefäß; Flüssigkeitslauf; danach · Teil · weiter; einsetzen; Sollmaß; kurz · Teil.	PROSE_CARD_PLUS_OWNER	ACTIVE_PROSE	PROSE_ORDER	NONE
U009	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E009	Bildpflanze; örtlicher Wurzel-/Materialansatz	daiin	Sollmaß	Bildpflanze; örtlicher Wurzel-/Materialansatz	Besitzer: Bildpflanze; örtlicher Wurzel-/Materialansatz. Karten: Wurzel · Posten; bereitstellen · Ansatz; davon; Anteil; Gefäß; Flüssigkeitslauf; danach · Teil · weiter; einsetzen; Sollmaß; kurz · Teil.	PROSE_CARD_PLUS_OWNER	ACTIVE_PROSE	PROSE_ORDER	NONE
U010	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E010	Bildpflanze; örtlicher Wurzel-/Materialansatz	etyd	kurz · Teil	Bildpflanze; örtlicher Wurzel-/Materialansatz	Besitzer: Bildpflanze; örtlicher Wurzel-/Materialansatz. Karten: Wurzel · Posten; bereitstellen · Ansatz; davon; Anteil; Gefäß; Flüssigkeitslauf; danach · Teil · weiter; einsetzen; Sollmaß; kurz · Teil.	PROSE_CARD_PLUS_OWNER	ACTIVE_PROSE	PROSE_ORDER	NONE
U011	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S002	E011	Bildpflanze; örtlicher Wurzel-/Materialansatz	qokchy	weiterbearbeiten	Bildpflanze; örtlicher Wurzel-/Materialansatz	Besitzer: Bildpflanze; örtlicher Wurzel-/Materialansatz. Karten: weiterbearbeiten; danach · weiter; weiter; bereit.	PROSE_CARD_PLUS_OWNER	ACTIVE_PROSE	PROSE_ORDER	NONE
U012	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S002	E012	Bildpflanze; örtlicher Wurzel-/Materialansatz	qotchol	danach · weiter	Bildpflanze; örtlicher Wurzel-/Materialansatz	Besitzer: Bildpflanze; örtlicher Wurzel-/Materialansatz. Karten: weiterbearbeiten; danach · weiter; weiter; bereit.	PROSE_CARD_PLUS_OWNER	ACTIVE_PROSE	PROSE_ORDER	NONE
U013	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S002	E013	Bildpflanze; örtlicher Wurzel-/Materialansatz	chol	weiter	Bildpflanze; örtlicher Wurzel-/Materialansatz	Besitzer: Bildpflanze; örtlicher Wurzel-/Materialansatz. Karten: weiterbearbeiten; danach · weiter; weiter; bereit.	PROSE_CARD_PLUS_OWNER	ACTIVE_PROSE	PROSE_ORDER	NONE
