source_entity_id	source_reading_id	surface	original_working_meaning_de	occurrence_count	page_count	issue_cluster	repair_queue_rank	repair_queue	exact_normalized_master_card_links	master_card_automatic_score_credit	disposition	repair_mode	resolved_debt_atom	v97_reading_id	v97_lexical_core_de	v97_context_realization_de	old_score	old_level	new_lexical_score	new_lexical_level	new_context_score	new_context_level	historical_confirmation	positive_evidence_de	counterevidence_de	v97_audit_decision	v97_evidence_class	v97_open_semantic_slots	v97_lineage_class
AR003	aiijy#1	aiijy	in drei Bündel abfüllen und schließen	1	1	CURRENT_DEBT_PLUS_LOW	11	LOW_STRUCTURAL_OR_MANUAL_HARDCAP	0	0	HELD_FOR_LATER_REPAIR	NONE	NONE	aiijy#1	in drei Bündel abfüllen und schließen	in drei Bündel abfüllen und schließen	23	W1_WEAK_WORKING	23	W1_WEAK_WORKING	23	W1_WEAK_WORKING	H0_NONE	1 aktive exakte Positionen auf 1 Seiten und 1 Zeilen; letzte semantische Entscheidung GDT684: V57-Positionsaudit des geerbten Wortwerts; 1 aktionslizenzierte und 0 identitaetssignalisierte Positionen	historisch unbestaetigt; Score bewertet nur die interne Arbeitstheorie; aktuelle GDT684-Schuld: NONE; LOW/EXPLORATORY-Provenienz bleibt sichtbar	HELD_FOR_LATER_REPAIR	INHERITED_V96	NOT_EVALUATED	INHERITED_V96
AR007	airoy#1	airoy	Grundansatz aus Drogenanteil II	1	1	LIVE_RIVAL	10	CLOSED_AR_SHARE_ROUTE	0	0	REVISED_IN_V97	UNSUPPORTED_DRUG_PATIENT_MOVED_TO_CONTEXT	UNSUPPORTED_DRUG_PATIENT_MOVED_TO_CONTEXT	airoy#1	Grundansatz aus Anteil II	Grundansatz aus Anteil II der vorstehenden getrockneten Masse	30	W1_WEAK_WORKING	30	W1_WEAK_WORKING	30	W1_WEAK_WORKING	H0_NONE	GDT694 bindet AIR als Anteil II und OY als Grundansatz; die exakte Position folgt unmittelbar auf die getrocknete Masse.	Die Stoffidentitaet des Anteils und die genaue Funktion von OY bleiben unbestaetigt; Grundform bleibt Rivale.	REVISE_CORE_AND_CONTEXT_SCOPE	EXACT_INDEXED_SHARE_WITH_LOCAL_REFERENT	SHARE_MATERIAL_IDENTITY|OY_RESULT_TYPE|HISTORICAL_SHARE_UNIT	GDT694_EXACT_COMPOSED_SHARE
AR012	araram#1	araram	Drogenanteil I; davon ein Maß	1	1	LIVE_RIVAL	10	CLOSED_AR_SHARE_ROUTE	0	0	REVISED_IN_V97	UNSUPPORTED_DRUG_PATIENT_MOVED_TO_CONTEXT	UNSUPPORTED_DRUG_PATIENT_MOVED_TO_CONTEXT	araram#1	Anteil I; davon ein Maß	Anteil I der vorstehenden heißen, fertig getrockneten Blütenmasse; davon ein Maß	30	W1_WEAK_WORKING	30	W1_WEAK_WORKING	30	W1_WEAK_WORKING	H0_NONE	RF1b schreibt AR und ARAM getrennt; GDT694 waehlt die appositionale Lesung und die Fundstelle folgt auf fertige Blütenmasse und Hitzegrad III.	Die rekursive Unteranteilslesung bleibt offen; die lokalen Blüten- und Hitzeangaben sind keine Bestandteile des portablen Kerns.	REVISE_CORE_AND_CONTEXT_SCOPE	BOUNDARY_APPOSITIONAL_INDEXED_SHARE	ARAM_INTERNAL_BRACKET|SHARE_MATERIAL_IDENTITY|HISTORICAL_SHARE_UNIT	GDT694_BOUNDARY_APPOSITION
AR013	arl#1	arl	Anteil I der Holzdroge	1	1	LIVE_RIVAL	10	CLOSED_AR_SHARE_ROUTE	1	0	REVISED_IN_V97	GENERIC_DRUG_HEAD_LOCAL_ONLY	GENERIC_DRUG_HEAD_LOCAL_ONLY	arl#1	Holzanteil I	Anteil I der Holzdroge	30	W1_WEAK_WORKING	30	W1_WEAK_WORKING	30	W1_WEAK_WORKING	H0_NONE	GDT694 haelt ARL unsegmentiert; GDT690 und das aktive IDENTITY_WOOD-Signal tragen den Holzanteil an dieser exakten Karte.	L kann lokal Holz oder Gewicht tragen; Pfund und ein freies AR+L bleiben Rivalen und werden nicht exportiert.	REVISE_CORE_AND_CONTEXT_SCOPE	EXACT_WHOLE_WITH_WOOD_IDENTITY	WOOD_PRODUCT_TYPE|ARL_INTERNAL_BOUNDARY|HISTORICAL_SHARE_UNIT	GDT694_LEARNED_WHOLE_SHARE
AR024	chear#1	chear	trockener Drogenanteil I	1	1	LIVE_RIVAL	10	CLOSED_AR_SHARE_ROUTE	1	0	REVISED_IN_V97	GENERIC_DRUG_PATIENT_MOVED_TO_CONTEXT	GENERIC_DRUG_PATIENT_MOVED_TO_CONTEXT	chear#1	trockener Anteil I	trockener Drogenanteil I	30	W1_WEAK_WORKING	30	W1_WEAK_WORKING	30	W1_WEAK_WORKING	H0_NONE	GDT639 bindet CH+E nur als trockene Schale innerhalb CHEAR; GDT694 traegt Anteil I als exakten Ganzwortwert.	Keine Stoffidentitaet ist aktiv; Sortierklasse bleibt Rivale und weder E-Stufe noch freie CH/E-Zerlegung wird exportiert.	REVISE_CORE_AND_CONTEXT_SCOPE	BOUND_DRY_SHARE_WHOLE	SHARE_MATERIAL_IDENTITY|CHEAR_INTERNAL_BOUNDARY|CLASS_RIVAL|HISTORICAL_SHARE_UNIT	GDT694_LEARNED_WHOLE_SHARE
AR050	chotar#1	chotar	Anteil I des abgekühlten Trockenansatzes	1	1	LIVE_RIVAL	10	CLOSED_AR_SHARE_ROUTE	0	0	REVISED_IN_V97	PREPARATION_HEAD_LOCAL_ONLY	PREPARATION_HEAD_LOCAL_ONLY	chotar#1	abgekühlter trockener Anteil I	Anteil I des abgekühlten Trockenansatzes	30	W1_WEAK_WORKING	30	W1_WEAK_WORKING	30	W1_WEAK_WORKING	H0_NONE	GDT678 trennt CHOT als kalten Trockenrahmen von CHOTAR als dessen ausgewaehltem Anteil I; die aktiven Signale sind kalt, trocken und Menge.	Ansatz und Trockenextrakt konkurrieren als Produktkopf; CHOT oder AR werden nicht als freie Woerter exportiert.	REVISE_CORE_AND_CONTEXT_SCOPE	BOUND_COLD_DRY_INDEXED_SHARE	PREPARATION_PRODUCT_TYPE|COLD_STATE_OR_PROCESS|HISTORICAL_SHARE_UNIT	GDT694_COMPOSED_AROUND_LEARNED_BODY
AR051	chpcheey#1	chpcheey	nachgetrocknetes Pulver, Form II	1	1	CURRENT_DEBT_PLUS_LOW	11	LOW_STRUCTURAL_OR_MANUAL_HARDCAP	0	0	HELD_FOR_LATER_REPAIR	NONE	NONE	chpcheey#1	nachgetrocknetes Pulver, Form II	nachgetrocknetes Pulver, Form II	31	W1_WEAK_WORKING	31	W1_WEAK_WORKING	31	W1_WEAK_WORKING	H0_NONE	1 aktive exakte Positionen auf 1 Seiten und 1 Zeilen; letzte semantische Entscheidung GDT684: V57-Positionsaudit des geerbten Wortwerts; 0 aktionslizenzierte und 1 identitaetssignalisierte Positionen	historisch unbestaetigt; Score bewertet nur die interne Arbeitstheorie; aktuelle GDT684-Schuld: NONE; LOW/EXPLORATORY-Provenienz bleibt sichtbar	HELD_FOR_LATER_REPAIR	INHERITED_V96	NOT_EVALUATED	INHERITED_V96
AR059	cpheesy#1	cpheesy	vollständig bereitetes und abgeschlossenes Arzneikompositum	1	1	CURRENT_DEBT_PLUS_LOW	11	LOW_STRUCTURAL_OR_MANUAL_HARDCAP	0	0	HELD_FOR_LATER_REPAIR	NONE	NONE	cpheesy#1	vollständig bereitetes und abgeschlossenes Arzneikompositum	vollständig bereitetes und abgeschlossenes Arzneikompositum	21	W1_WEAK_WORKING	21	W1_WEAK_WORKING	21	W1_WEAK_WORKING	H0_NONE	1 aktive exakte Positionen auf 1 Seiten und 1 Zeilen; letzte semantische Entscheidung GDT684: V57-Positionsaudit des geerbten Wortwerts; 0 aktionslizenzierte und 0 identitaetssignalisierte Positionen	historisch unbestaetigt; Score bewertet nur die interne Arbeitstheorie; aktuelle GDT684-Schuld: MAJOR; LOW/EXPLORATORY-Provenienz bleibt sichtbar	HELD_FOR_LATER_REPAIR	INHERITED_V96	NOT_EVALUATED	INHERITED_V96
AR064	da#1	da	eine Teilmenge abmessen	1	1	CURRENT_DEBT_PLUS_LOW	11	LOW_STRUCTURAL_OR_MANUAL_HARDCAP	0	0	HELD_FOR_LATER_REPAIR	NONE	NONE	da#1	eine Teilmenge abmessen	eine Teilmenge abmessen	31	W1_WEAK_WORKING	31	W1_WEAK_WORKING	31	W1_WEAK_WORKING	H0_NONE	1 aktive exakte Positionen auf 1 Seiten und 1 Zeilen; letzte semantische Entscheidung GDT684: V57-Positionsaudit des geerbten Wortwerts; 1 aktionslizenzierte und 0 identitaetssignalisierte Positionen	historisch unbestaetigt; Score bewertet nur die interne Arbeitstheorie; aktuelle GDT684-Schuld: NONE; LOW/EXPLORATORY-Provenienz bleibt sichtbar	HELD_FOR_LATER_REPAIR	INHERITED_V96	NOT_EVALUATED	INHERITED_V96
AR066	daiiiry#1	daiiiry	abgemessener Drogenanteil IV, leicht getrocknet	1	1	LIVE_RIVAL	10	CLOSED_AR_SHARE_ROUTE	0	0	REVISED_IN_V97	UNSUPPORTED_DRUG_PATIENT_REMOVED	UNSUPPORTED_DRUG_PATIENT_REMOVED	daiiiry#1	abgemessener Anteil IV; leicht getrocknet	abgemessener Anteil IV; leicht getrocknet	30	W1_WEAK_WORKING	30	W1_WEAK_WORKING	30	W1_WEAK_WORKING	H0_NONE	GDT679 und GDT694 erhalten Abmessung, Index IV und die bevorzugte leichte Trocknung der exakten Ganzform.	Der alternative Leser kann Y nur als Abschluss tragen; leicht getrocknet ist Arbeitshypothese und keine freie Suffixregel.	REVISE_CORE_AND_CONTEXT_SCOPE	ALTERNATE_READER_INDEXED_SHARE	SHARE_MATERIAL_IDENTITY|Y_VS_CHY_BOUNDARY|DRY_VS_FINISHED_STATE|HISTORICAL_SHARE_UNIT	GDT694_ALTERNATE_READER_SHARE
