position_id	page	locus	token_ordinal	surface	decision	left_surface	right_surface	portable_lexical_core_de	local_context_realization_de	action_license	lineage_class	decomposition	exact_whole_surface_default_allowed	component_global_export_allowed	score	level	historical_confirmation
P150	f114r	f114r.26	9	airoy	REVISE	cheody	olam	Grundansatz aus Anteil II	Grundansatz aus Anteil II der vorstehenden getrockneten Masse	NOT_ACTION_LICENSED	GDT694_EXACT_COMPOSED_SHARE	AIR+OY	1	0	30	W1_WEAK_WORKING	H0_NONE
P414	f86v6	f86v6.25	10	araram	REVISE	qokaiin	<EOS>	Anteil I; davon ein Maß	Anteil I der vorstehenden heißen, fertig getrockneten Blütenmasse; davon ein Maß	NOT_ACTION_LICENSED	GDT694_BOUNDARY_APPOSITION	AR|ARAM	1	0	30	W1_WEAK_WORKING	H0_NONE
P112	f113v	f113v.12	3	arl	REVISE	otsheody	olchey	Holzanteil I	Anteil I der Holzdroge	NOT_ACTION_LICENSED	GDT694_LEARNED_WHOLE_SHARE	[ARL]	1	0	30	W1_WEAK_WORKING	H0_NONE
P444	f86v6	f86v6.5	6	chear	REVISE	daiin	or	trockener Anteil I	trockener Drogenanteil I	NOT_ACTION_LICENSED	GDT694_LEARNED_WHOLE_SHARE	[CHEAR]	1	0	30	W1_WEAK_WORKING	H0_NONE
P124	f113v	f113v.3	3	chotar	REVISE	aiin	okeeodar	abgekühlter trockener Anteil I	Anteil I des abgekühlten Trockenansatzes	NOT_ACTION_LICENSED	GDT694_COMPOSED_AROUND_LEARNED_BODY	CHOT+AR	1	0	30	W1_WEAK_WORKING	H0_NONE
P467	f8r	f8r.15	9	daiiiry	REVISE	dol	ckhy	abgemessener Anteil IV; leicht getrocknet	abgemessener Anteil IV; leicht getrocknet	NOT_ACTION_LICENSED	GDT694_ALTERNATE_READER_SHARE	D+AIIIR+Y~D+AIIIR+CHY	1	0	30	W1_WEAK_WORKING	H0_NONE
P044	f105v	f105v.1	7	dairody	REVISE	opchedaiin	ypcheddy	abgemessener Anteil II; fertig	abgemessener Anteil II des vorstehenden bis zur Mittelstufe getrockneten Pulvers; fertig	NOT_ACTION_LICENSED	GDT694_COMPOSED_SHARE_RESULT	DAIR+O+DY	1	0	30	W1_WEAK_WORKING	H0_NONE
P163	f115r	f115r.1	1	fdar	REVISE	<BOS>	qopchol	Blütenanteil I	Blütenanteil I abmessen	GDT689_V62_ACTION_ORDINAL	GDT694_COMPOSED_LOCAL_HEAD_ACTION	F+D+AR	1	0	30	W1_WEAK_WORKING	H0_NONE
P436	f86v6	f86v6.4	11	karchees	REVISE	l	olkar	vollständig getrocknete Charge aus heißem Anteil I	vollständig getrocknete Charge aus heißem Anteil I	NOT_ACTION_LICENSED	GDT694_BOUND_SPAN_SHARE_CHARGE	K+AR+CHEES	1	0	30	W1_WEAK_WORKING	H0_NONE
P033	f105r	f105r.31	9	lkar	REVISE	lkedy	chedy	erhitzter Holzanteil I	Anteil I des vorstehenden bis zur Mittelstufe erhitzten Holzes	NOT_ACTION_LICENSED	GDT694_EXACT_WOOD_SHARE	L+K+AR	1	0	30	W1_WEAK_WORKING	H0_NONE
P334	f83v	f83v.12	4	lldar	REVISE	qoeeo	cheey	Holzanteil I	Holzanteil I abmessen	GDT689_V62_ACTION_ORDINAL	GDT694_LEARNED_WHOLE_ACTION	[LLDAR]	1	0	30	W1_WEAK_WORKING	H0_NONE
P373	f86v5	f86v5.2	1	losair	REVISE	<BOS>	yteody	Holzanteil II	Anteil II des Holzpostens	NOT_ACTION_LICENSED	GDT694_ALTERNATE_BOUNDARY_WOOD_SHARE	LOS+AIR	1	0	30	W1_WEAK_WORKING	H0_NONE
P342	f85r2	f85r2.5	1	ockhdar	REVISE	<BOS>	olkar	abgemessener Zubereitungsanteil I	abgemessener Anteil I der Arzneizubereitung	NOT_ACTION_LICENSED	GDT694_ALTERNATE_READING_PREPARATION_SHARE	O+CKH+D+AR~O+CKH+D+OR	1	0	26	W1_WEAK_WORKING	H0_NONE
P125	f113v	f113v.3	4	okeeodar	REVISE	chotar	qokain	vollständig erhitzter Anteil I	Anteil I des vollständig erhitzten Auszugs	NOT_ACTION_LICENSED	GDT694_DOUBLE_SPEND_CORRECTION	O+KEEOD+AR~O+KEEO+D+AR	1	0	30	W1_WEAK_WORKING	H0_NONE
P143	f114r	f114r.26	2	olkaiir	REVISE	ycheeodaiin	qokaiin	heißer Holzanteil III	Anteil III des heißen Holzansatzes	NOT_ACTION_LICENSED	GDT693_R_N_PAIR_WOOD_SHARE	OLK+AII+R	1	0	30	W1_WEAK_WORKING	H0_NONE
P170	f115r	f115r.1	8	oroiir	REVISE	teeedy	oechedy	eine Portion des Zubereitungsanteils III	eine Portion des vorstehenden fertigen Zubereitungsanteils III	NOT_ACTION_LICENSED	GDT693_PORTION_OVER_SHARE	OR+O+IIR	1	0	36	W1_WEAK_WORKING	H0_NONE
P038	f105v	f105v.1	1	polairy	RETAIN	<BOS>	oair	Pulveranteil II, abgeschlossen	Pulveranteil II, abgeschlossen	NOT_ACTION_LICENSED	GDT694_REVIEWED_RETAINED_SHARE	POL+AIR+Y	1	0	30	W1_WEAK_WORKING	H0_NONE
P046	f105v	f105v.1	9	sairy	RETAIN	ypcheddy	<EOS>	Samenanteil II, abgeschlossen	Samenanteil II, abgeschlossen	NOT_ACTION_LICENSED	GDT694_REVIEWED_RETAINED_SHARE	S+AIR+Y	1	0	30	W1_WEAK_WORKING	H0_NONE
P115	f113v	f113v.17	1	saraiin	RETAIN	<BOS>	shedy	drei Teile des Samenanteils I	drei Teile des Samenanteils I	NOT_ACTION_LICENSED	GDT694_REVIEWED_RETAINED_SHARE	S+AR+AIIN	1	0	30	W1_WEAK_WORKING	H0_NONE
