source_reading_id	surface	decision	position_id	position_is_action_licensed	portable_lexical_core_de	local_context_realization_de	local_only_words_or_heads	portable_action_export_allowed	portable_product_head_export_allowed	component_global_export_allowed	audit_status	historical_confirmation
airoy#1	airoy	REVISE	P150	0	Grundansatz aus Anteil II	Grundansatz aus Anteil II der vorstehenden getrockneten Masse	Masse|getrocknet	0	0	0	PASS_NOMINAL_NO_HIDDEN_ACTION	H0_NONE
araram#1	araram	REVISE	P414	0	Anteil I; davon ein Maß	Anteil I der vorstehenden heißen, fertig getrockneten Blütenmasse; davon ein Maß	Blütenmasse|heißen|fertig|getrocknet	0	0	0	PASS_NOMINAL_NO_HIDDEN_ACTION	H0_NONE
arl#1	arl	REVISE	P112	0	Holzanteil I	Anteil I der Holzdroge	Droge	0	0	0	PASS_NOMINAL_NO_HIDDEN_ACTION	H0_NONE
chear#1	chear	REVISE	P444	0	trockener Anteil I	trockener Drogenanteil I	Droge	0	0	0	PASS_NOMINAL_NO_HIDDEN_ACTION	H0_NONE
chotar#1	chotar	REVISE	P124	0	abgekühlter trockener Anteil I	Anteil I des abgekühlten Trockenansatzes	Ansatz	0	0	0	PASS_NOMINAL_NO_HIDDEN_ACTION	H0_NONE
daiiiry#1	daiiiry	REVISE	P467	0	abgemessener Anteil IV; leicht getrocknet	abgemessener Anteil IV; leicht getrocknet	NONE	0	0	0	PASS_NOMINAL_NO_HIDDEN_ACTION	H0_NONE
dairody#1	dairody	REVISE	P044	0	abgemessener Anteil II; fertig	abgemessener Anteil II des vorstehenden bis zur Mittelstufe getrockneten Pulvers; fertig	Pulver|bis zur Mittelstufe getrocknet	0	0	0	PASS_NOMINAL_NO_HIDDEN_ACTION	H0_NONE
fdar#1	fdar	REVISE	P163	1	Blütenanteil I	Blütenanteil I abmessen	abmessen	0	0	0	PASS_LOCAL_ACTION_SEPARATED	H0_NONE
karchees#1	karchees	REVISE	P436	0	vollständig getrocknete Charge aus heißem Anteil I	vollständig getrocknete Charge aus heißem Anteil I	NONE	0	0	0	PASS_NOMINAL_NO_HIDDEN_ACTION	H0_NONE
lkar#1	lkar	REVISE	P033	0	erhitzter Holzanteil I	Anteil I des vorstehenden bis zur Mittelstufe erhitzten Holzes	Mittelstufe	0	0	0	PASS_NOMINAL_NO_HIDDEN_ACTION	H0_NONE
lldar#1	lldar	REVISE	P334	1	Holzanteil I	Holzanteil I abmessen	abmessen	0	0	0	PASS_LOCAL_ACTION_SEPARATED	H0_NONE
losair#1	losair	REVISE	P373	0	Holzanteil II	Anteil II des Holzpostens	Posten	0	0	0	PASS_NOMINAL_NO_HIDDEN_ACTION	H0_NONE
ockhdar#1	ockhdar	REVISE	P342	0	abgemessener Zubereitungsanteil I	abgemessener Anteil I der Arzneizubereitung	Arznei	0	0	0	PASS_NOMINAL_NO_HIDDEN_ACTION	H0_NONE
okeeodar#1	okeeodar	REVISE	P125	0	vollständig erhitzter Anteil I	Anteil I des vollständig erhitzten Auszugs	Auszug	0	0	0	PASS_NOMINAL_NO_HIDDEN_ACTION	H0_NONE
olkaiir#1	olkaiir	REVISE	P143	0	heißer Holzanteil III	Anteil III des heißen Holzansatzes	Ansatz	0	0	0	PASS_NOMINAL_NO_HIDDEN_ACTION	H0_NONE
oroiir#1	oroiir	REVISE	P170	0	eine Portion des Zubereitungsanteils III	eine Portion des vorstehenden fertigen Zubereitungsanteils III	vorstehenden|fertigen	0	0	0	PASS_NOMINAL_NO_HIDDEN_ACTION	H0_NONE
polairy#1	polairy	RETAIN	P038	0	Pulveranteil II, abgeschlossen	Pulveranteil II, abgeschlossen	NONE	0	0	0	PASS_NOMINAL_NO_HIDDEN_ACTION	H0_NONE
sairy#1	sairy	RETAIN	P046	0	Samenanteil II, abgeschlossen	Samenanteil II, abgeschlossen	NONE	0	0	0	PASS_NOMINAL_NO_HIDDEN_ACTION	H0_NONE
saraiin#1	saraiin	RETAIN	P115	0	drei Teile des Samenanteils I	drei Teile des Samenanteils I	NONE	0	0	0	PASS_NOMINAL_NO_HIDDEN_ACTION	H0_NONE
