source_reading_id	surface	position_id	page	locus	token_ordinal	share_source_gdt	share_source_rule_id	share_source_class	share_source_visible_parse	share_source_index	share_source_preserved_heads	share_source_local_rival_de	share_source_exact_card_only	share_source_learned_whole_renderer	active_signals	active_identity_signals	active_action_signals	v97_decision	v97_lineage_class	v97_selected_portable_core_de	v97_selected_local_renderer_de	exact_whole_surface_default_allowed	component_global_export_allowed	score_credit	historical_confirmation
airoy#1	airoy	P150	f114r	f114r.26	9	GDT694	M012	COMPOSED_R_SHARE	AIR+OY	II	AIR=Anteil II;OY=Grundansatz	Drogenanteil II als Grundansatz	1	0	MATERIAL_ROLE|VALUE_QUANTITY	NONE	NONE	REVISE	GDT694_EXACT_COMPOSED_SHARE	Grundansatz aus Anteil II	Grundansatz aus Anteil II der vorstehenden getrockneten Masse	1	0	0	H0_NONE
araram#1	araram	P414	f86v6	f86v6.25	10	GDT694	M018	COMPOSED_BOUNDARY_APPOSITION	AR|ARAM	I	AR=Drogenanteil I;ARAM=davon ein Maß	ein Maß des Unteranteils I des Drogenanteils I	1	0	MATERIAL_ROLE|VALUE_QUANTITY	NONE	NONE	REVISE	GDT694_BOUNDARY_APPOSITION	Anteil I; davon ein Maß	Anteil I der vorstehenden heißen, fertig getrockneten Blütenmasse; davon ein Maß	1	0	0	H0_NONE
arl#1	arl	P112	f113v	f113v.12	3	GDT694	M008	LEARNED_WHOLE_WITH_SHARE_RENDERER	[ARL]; AR+L unexported	I	whole ARL=Holzdrogenanteil	Drogenanteil I; ein Pfund	1	1	IDENTITY_WOOD|MATERIAL_ROLE|VALUE_QUANTITY	IDENTITY_WOOD	NONE	REVISE	GDT694_LEARNED_WHOLE_SHARE	Holzanteil I	Anteil I der Holzdroge	1	0	0	H0_NONE
chear#1	chear	P444	f86v6	f86v6.5	6	GDT694	M021	LEARNED_WHOLE_WITH_SHARE_RENDERER	[CHEAR]; CH+E is one bound dry shell	I	whole CHEAR=trockener Drogenanteil I	trocken gebundene Sortierklasse I	1	1	MATERIAL_ROLE|STATE_DRY|VALUE_QUANTITY	NONE	NONE	REVISE	GDT694_LEARNED_WHOLE_SHARE	trockener Anteil I	trockener Drogenanteil I	1	0	0	H0_NONE
chotar#1	chotar	P124	f113v	f113v.3	3	GDT694	M010	COMPOSED_AROUND_LEARNED_BODY	CHOT+AR	I	CHOT=abgekühlter Trockenansatz	abgekühlter Trockenextrakt I	1	0	MATERIAL_ROLE|STATE_COLD|STATE_DRY|VALUE_QUANTITY	NONE	NONE	REVISE	GDT694_COMPOSED_AROUND_LEARNED_BODY	abgekühlter trockener Anteil I	Anteil I des abgekühlten Trockenansatzes	1	0	0	H0_NONE
daiiiry#1	daiiiry	P467	f8r	f8r.15	9	GDT694	M022	COMPOSED_ALTERNATE_READING	D+AIIIR+Y ~ D+AIIIR+CHY	IV	D=abmessen;AIIIR=Anteil IV;CHY=leichte Trocknung	abgemessener Anteil IV, lediglich abgeschlossen	1	0	MATERIAL_ROLE|STATE_DRY|VALUE_GRADE|VALUE_QUANTITY	NONE	NONE	REVISE	GDT694_ALTERNATE_READER_SHARE	abgemessener Anteil IV; leicht getrocknet	abgemessener Anteil IV; leicht getrocknet	1	0	0	H0_NONE
dairody#1	dairody	P044	f105v	f105v.1	7	GDT694	M003	COMPOSED_R_SHARE	DAIR+O+DY	II	D=abmessen;O=Ansatz;DY=fertig	Anteil II abmessen und als Ansatz fertigstellen	1	0	MATERIAL_ROLE|STATE_FINISHED|VALUE_QUANTITY	NONE	NONE	REVISE	GDT694_COMPOSED_SHARE_RESULT	abgemessener Anteil II; fertig	abgemessener Anteil II des vorstehenden bis zur Mittelstufe getrockneten Pulvers; fertig	1	0	0	H0_NONE
fdar#1	fdar	P163	f115r	f115r.1	1	GDT694	M013	COMPOSED_AROUND_LOCAL_HEAD	F+D+AR	I	F=Blüte;D=abmessen	Blütenauszug I abmessen	1	0	ACT_MEASURE|IDENTITY_FLOWER_FRUIT|MATERIAL_ROLE|VALUE_QUANTITY	IDENTITY_FLOWER_FRUIT	ACT_MEASURE	REVISE	GDT694_COMPOSED_LOCAL_HEAD_ACTION	Blütenanteil I	Blütenanteil I abmessen	1	0	0	H0_NONE
karchees#1	karchees	P436	f86v6	f86v6.4	11	GDT694	M020	COMPOSED_AROUND_LEARNED_BODY	K+AR+CHEES	I	K=heiß;AR=Drogenanteil I;CHEES=vollständig getrocknete Charge	vollständig getrocknete Charge des heißen Auszugs I	1	0	MATERIAL_ROLE|STATE_DRY|STATE_HOT|VALUE_QUANTITY	NONE	NONE	REVISE	GDT694_BOUND_SPAN_SHARE_CHARGE	vollständig getrocknete Charge aus heißem Anteil I	vollständig getrocknete Charge aus heißem Anteil I	1	0	0	H0_NONE
lkar#1	lkar	P033	f105r	f105r.31	9	GDT694	M001	COMPOSED_R_SHARE	L+K+AR	I	L=Holz;K=erhitzt	heißes Drogenholz	1	0	IDENTITY_WOOD|MATERIAL_ROLE|STATE_HOT|VALUE_QUANTITY	IDENTITY_WOOD	NONE	REVISE	GDT694_EXACT_WOOD_SHARE	erhitzter Holzanteil I	Anteil I des vorstehenden bis zur Mittelstufe erhitzten Holzes	1	0	0	H0_NONE
