family_id	family_code	family_head_de	allowed_free_synonyms_de	drift_boundary_de	controlled_phrases	source_events	slot_codes	member_values_de
A01	READY	Bereit	bereit|fertig|einsatzbereit	kein Qualitätsurteil darüber hinaus	2	8	S6_BEREIT_ABSCHLUSS	Bereit|Bereitansatz
A02	FASTEN	Festmachen	befestigen|binden|festsetzen	Ziel bleibt lokal	4	4	S6_BEREIT_ABSCHLUSS	Bindeposten|Bindestufe|Kurzbindeposten|befestigen
A03	STORE	Verwahren	verwahren|beiseitestellen	keine Lagerdauer	1	1	S6_BEREIT_ABSCHLUSS	Verwahren
A04	REMAINDER	Rest	Rest|Endposten|Rückstand	nicht automatisch Abfall	3	3	S6_BEREIT_ABSCHLUSS	Auftragsschluss|Endposten|Kurzrest
B01	MATERIAL	Material	Stoff|Teil|Zutat	niemals Pflanzenart oder Heilwirkung	6	9	S1_BEZUG_FOLGE	Blütenkraut|Pflanzenteil|Wurzelteil|Zutat|Zutatfolgeteil|Zutatposten
B02	SOURCE	Quelle	Quelle|Vorrat|daraus	niemals konkrete Herkunft erfinden	3	7	S1_BEZUG_FOLGE	Folgequelle|Quelle|Quellposten
B03	PREPARATION	Ansatz	Ansatz|Zubereitung|Vorbereitung	nicht mit fertigem Produkt gleichsetzen	8	16	S1_BEZUG_FOLGE	Ansatz|Auszugsansatz|Folgeansatz|Folgevorbereitung|Fortsetzungsansatz|Fortsetzungszubereitung|Gefäßansatz|Zutatenansatz
B04	CONTINUE	Fortsetzung	weiter|danach|fortsetzen	keine neue Operation hinzudichten	18	46	S1_BEZUG_FOLGE	Anschluss|Folgefortsetzung|Folgefortsetzungsposten|Folgeklarlauf|Folgeposten|Folgeteilfortsetzung|Fortschluss|Fortsetzung|Kurzfolge|Kurzfortgang|Langfolge|Langfolgestufe|Langfortsetzung|Vorfortsetzung|Weiterlauf|Weiterposten|Weiterweg|weiterführen
B05	CURRENT	Diesposten	dies|es|laufender Posten	nur recordlokaler Referent	1	18	S1_BEZUG_FOLGE	Diesposten
B06	VESSEL	Gefäß	Gefäß|Behälter	keine Gefäßart ohne Bild	1	1	S1_BEZUG_FOLGE	Gefäß
B07	BIND_THREAD	Bindefortsetzung	weiter binden|Bindegang	nicht automatisch Körperverband	3	3	S1_BEZUG_FOLGE	Bindefortsetzung|Kurzbindefortsetzung|Quellenzutatbindung
D01	SHORT_PROCESS	Kurzprozess	kurz|direkt|einmal	keine genaue Zeitdauer	2	4	S4_DAUER_ZUSTAND	Kurzbearbeitung|Kurzvorbereitung
D02	LONG_HOLD	Langhalten	länger|anhalten|halten	keine genaue Zeitdauer	4	4	S4_DAUER_ZUSTAND	Kurzhalt|Langhalt|Zielkurzhalt|Ziellanghalt
D03	LONG_CONTACT	Langkontakt	länger anlegen|einwirken	Anwendungsobjekt bleibt lokal	2	27	S4_DAUER_ZUSTAND	Kurzkontakt|Langkontakt
D04	HEAT	Wärmen	wärmen|warm halten	keine Temperaturzahl	3	7	S4_DAUER_ZUSTAND	Kurzwärme|Langwärme|Langwärmen
