statement_id	record_unit_id	free_fluent_german	family_chain	family_heads_de	fixed_formula_chain	recovered_values_de	source_event_ids	reverse_status
H1-S001	H1	Nimm einen Wurzelteil der abgebildeten Pflanze. Richte daraus mit Material aus der bezeichneten Quelle einen Ansatz her, zerkleinere ihn, gib ihn ins Gefäß und führe Wasser zu. Führe den folgenden Teil weiter, setze ihn ein, prüfe das Sollmaß und behalte den kleinen Rest.	B01 → A01 → B02 → M05 → B06 → T09 → B04 → Z02 → M01 → A04	Material → Bereit → Quelle → Teilen → Gefäß → Waschgang → Fortsetzung → Einsetzen → Sollmaß → Rest	B01::BEZUG[Wurzelteil] · A01::SCHLUSS[Bereitansatz] · B02::BEZUG[Quelle] · M05::MASS[Zerkleinern] · B06::BEZUG[Gefäß] · T09::TRANSFER[Wasserzulauf] · B04::BEZUG[Folgeteilfortsetzung] · Z02::ZIEL[Einsetzen] · M01::MASS[Sollmaß] · A04::SCHLUSS[Kurzrest]	Wurzelteil → Bereitansatz → Quelle → Zerkleinern → Gefäß → Wasserzulauf → Folgeteilfortsetzung → Einsetzen → Sollmaß → Kurzrest	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	EXACT
H1-S002	H1	Setze den zurückbehaltenen Posten ein, führe ihn im folgenden Gang weiter und halte ihn bereit.	Z02 → B04 → B04 → A01	Einsetzen → Fortsetzung → Fortsetzung → Bereit	Z02::ZIEL[Einsetzen] · B04::BEZUG[Folgefortsetzung] · B04::BEZUG[Fortsetzung] · A01::SCHLUSS[Bereit]	Einsetzen → Folgefortsetzung → Fortsetzung → Bereit	E011|E012|E013|E014	EXACT
H2-S001	H2	Nimm den laufenden Auszugsansatz und halte ihn bereit. Stelle den Ansatz auf sein Sollmaß; führe den Folgeposten weiter und behalte dabei denselben Posten um die Maßangabe aktiv.	B03 → A01 → B03 → M01 → B04 → B05 → B05 → M01 → B05	Ansatz → Bereit → Ansatz → Sollmaß → Fortsetzung → Diesposten → Diesposten → Sollmaß → Diesposten	B03::BEZUG[Auszugsansatz] · A01::SCHLUSS[Bereit] · B03::BEZUG[Ansatz] · M01::MASS[Bereitsollmaß] · B04::BEZUG[Folgefortsetzungsposten] · B05::BEZUG[Diesposten] · B05::BEZUG[Diesposten] · M01::MASS[Sollmaß] · B05::BEZUG[Diesposten]	Auszugsansatz → Bereit → Ansatz → Bereitsollmaß → Folgefortsetzungsposten → Diesposten → Diesposten → Sollmaß → Diesposten	E015|E016|E017|E018|E019|E020|E021|E022|E023	EXACT
H2-S002	H2	Eröffne den Folgeansatz, führe denselben Ansatz als Fortsetzungsansatz weiter und nimm das Sollmaß aus der bezeichneten Quelle.	B03 → B03 → B04 → B04 → B03 → B04 → M01 → B02	Ansatz → Ansatz → Fortsetzung → Fortsetzung → Ansatz → Fortsetzung → Sollmaß → Quelle	B03::BEZUG[Folgeansatz] · B03::BEZUG[Ansatz] · B04::BEZUG[Folgefortsetzung] · B04::BEZUG[Fortsetzung] · B03::BEZUG[Fortsetzungsansatz] · B04::BEZUG[Fortsetzung] · M01::MASS[Sollmaß] · B02::BEZUG[Quelle]	Folgeansatz → Ansatz → Folgefortsetzung → Fortsetzung → Fortsetzungsansatz → Fortsetzung → Sollmaß → Quelle	E024|E025|E026|E027|E028|E029|E030|E031	EXACT
H2-S003	H2	Richte den Ansatz im Gefäß her, halte ihn als laufenden Posten aktiv, setze die gebundene Arbeitsstufe und füge die Zutat im Sollmaß hinzu.	B03 → B03 → B03 → B05 → A02 → B05 → M01	Ansatz → Ansatz → Ansatz → Diesposten → Festmachen → Diesposten → Sollmaß	B03::BEZUG[Gefäßansatz] · B03::BEZUG[Ansatz] · B03::BEZUG[Ansatz] · B05::BEZUG[Diesposten] · A02::SCHLUSS[Bindestufe] · B05::BEZUG[Diesposten] · M01::MASS[Zutatsollmaß]	Gefäßansatz → Ansatz → Ansatz → Diesposten → Bindestufe → Diesposten → Zutatsollmaß	E032|E033|E034|E035|E036|E037|E038	EXACT
H3-S001	H3	Bringe das Blütenkraut an die Arbeitsstelle, wringe es aus, lasse es die vorgeschriebene Zeit stehen und seihe es nochmals. Nimm nur den Klarauszug ab und schließe den Schritt.	B01 → Z01 → T08 → T05 → T07 → T07 → T06	Material → Zielstelle → Auswringen → Absetzen → Klären → Klären → Sammeln	B01::BEZUG[Blütenkraut] · Z01::ZIEL[Zieleingabe] · T08::TRANSFER[Auswringen] · T05::TRANSFER[Standzeit] · T07::TRANSFER[Nachseihen] · T07::TRANSFER[Klarauszug] · T06::TRANSFER[Rücknahmeschluss]	Blütenkraut → Zieleingabe → Auswringen → Standzeit → Nachseihen → Klarauszug → Rücknahmeschluss	E039|E040|E041|E042|E043|E044|E045	EXACT
H3-S002	H3	Halte einen weiteren Zutatteil für den folgenden Gang bereit.	B01	Material	B01::BEZUG[Zutatfolgeteil]	Zutatfolgeteil	E046	EXACT
H3-S003	H3	Nimm die Fortsetzung des vorigen Gangs, halte den aktuellen Posten gebunden und miss sein Sollmaß.	B04 → B05 → A02 → B05 → M01	Fortsetzung → Diesposten → Festmachen → Diesposten → Sollmaß	B04::BEZUG[Vorfortsetzung] · B05::BEZUG[Diesposten] · A02::SCHLUSS[Bindeposten] · B05::BEZUG[Diesposten] · M01::MASS[Sollmaß]	Vorfortsetzung → Diesposten → Bindeposten → Diesposten → Sollmaß	E047|E048|E049|E050|E051	EXACT
H3-S004	H3	Wechsle zum Folgeposten, setze die Fortsetzung ein und halte diesen Posten bereit.	B04 → Z02 → A01 → B05	Fortsetzung → Einsetzen → Bereit → Diesposten	B04::BEZUG[Folgeposten] · Z02::ZIEL[Fortsetzungseinsatz] · A01::SCHLUSS[Bereit] · B05::BEZUG[Diesposten]	Folgeposten → Fortsetzungseinsatz → Bereit → Diesposten	E052|E053|E054|E055	EXACT
H4-S001	H4	Stelle das Sollmaß ein, prüfe es und teile den Posten in eine erste und eine zweite Portion. Nimm beide aus diesem Arbeitsschritt und schließe ihn.	M01 → M01 → M02 → M02 → T06	Sollmaß → Sollmaß → Portion → Portion → Sammeln	M01::MASS[Sollstellung] · M01::MASS[Sollmaß] · M02::MASS[Postenportion] · M02::MASS[Postenzweitportion] · T06::TRANSFER[Rücknahmeschluss]	Sollstellung → Sollmaß → Postenportion → Postenzweitportion → Rücknahmeschluss	E056|E057|E058|E059|E060	EXACT
