terminal_card_id	surfaces	deck_origin	occurrence_count	pages	statement_ids	action_de	composition_status	component_parse	component_ids	action_core_de	order_direction_de	grade_de	close_construction	ignored_surface_elements	composed_reading_de	composition_rationale_de	exception_note_de
03626ca94cb17800d767	sheedy	OTHER_TERMINAL_9	1	f83r	B3-S014	länger absetzen	PRODUCTIVE_COMPOSITION	SHED + EE + CLOSE_EXACT	CORE_SHED|GRADE_EE|CLOSE_EXACT	absetzen	KEIN	länger	EXACT_CARD_CLOSE	KEINE	länger absetzen; schließen	Lange Stufe der selbständigen SHED-Reihe.	Nur ein langer Beleg, aber die Grundkarte ist zwölfmal vorhanden.
04a3877f0fc81b7597c9	ldy	VARIANT_PROGRAM_28	2	f82r|f83r	B2-S005|B3-S033	abziehen	LICENSED_PARTIAL	L + [ABZIEHEN] + CLOSE_EXACT	DIR_L|CLOSE_EXACT	gelernter Abziehbefehl	nach außen	KEIN	EXACT_CARD_CLOSE	KEINE	nach außen abziehen; schließen	L liefert nur die Auswärtsrichtung; die eigentliche Abziehhandlung bleibt gelernt.	Kein sichtbarer CHED- oder CKHE-Kern.
07913ef9b1fb773cd325	okchedy|qokchedy	OTHER_TERMINAL_9	2	f81v|f83r	B1-S015|B3-S016	umsetzen	PRODUCTIVE_COMPOSITION	[Q renderer] + OK + CHED + CLOSE_EXACT	CORE_OK|CORE_CHED|CLOSE_EXACT	umsetzen	Arbeitsgang ansetzen	KEIN	EXACT_CARD_CLOSE	RENDERER/FRAME AS MARKED IN PARSE	Umsetzgang ansetzen; schließen	Zweite exakte OK+CHED-Karte mit derselben knappen Lesung.	Nicht mit einer Temperaturbedeutung des sichtbaren E überladen.
1b1ffdd869fb1429ad03	oldy	VARIANT_PROGRAM_28	2	f55v|f83r	H4-S003|B4-S010	fortsetzen	PRODUCTIVE_COMPOSITION	OL + CLOSE_EXACT	ORDER_OL|CLOSE_EXACT	fortsetzen	weiter	KEIN	EXACT_CARD_CLOSE	KEINE	fortsetzen; schließen	OL trägt den Fortsetzungswert auch außerhalb dieser Karte.	Die Handlung ist im Ordnungsoperator selbst enthalten.
259b2b3b0bf859882e2c	schedy|dchedy|tchedy	VARIANT_PROGRAM_28	4	f81v|f82r|f83r	B1-S002|B2-S001|B3-S005|B3-S024	umsetzen	PRODUCTIVE_COMPOSITION	[S/D/T renderer] + CHED + CLOSE_EXACT	CORE_CHED|CLOSE_EXACT	umsetzen	KEIN	KEIN	EXACT_CARD_CLOSE	RENDERER/FRAME AS MARKED IN PARSE	umsetzen; schließen	Drei sichtbare Anlaute gehören derselben exakten Karte; CHED ist der gemeinsame Arbeitskern.	S/D/T erhalten hier keinen eigenen Wert.
28ffbc88b97772a75f1e	qolchedy|olchedy	VARIANT_PROGRAM_28	3	f81v|f82r|f83r	B1-S005|B2-S002|B3-S006	fortsetzen	PRODUCTIVE_COMPOSITION	[Q renderer] + OL + CHED + CLOSE_EXACT	ORDER_OL|CORE_CHED|CLOSE_EXACT	umsetzen	weiter	KEIN	EXACT_CARD_CLOSE	RENDERER/FRAME AS MARKED IN PARSE	weiter umsetzen; schließen	OL und CHED sind unabhängig wiederkehrende Beiträge.	Q ist innerhalb derselben exakten Karte wechselnd.
2bc2ed2630dbdaaa6b59	dalchdy	VARIANT_PROGRAM_28	1	f83r	B3-S021	dorthin umsetzen	PRODUCTIVE_COMPOSITION	[D frame] + AL + CHD + CLOSE_EXACT	TARGET_AL|CORE_CHED|CLOSE_EXACT	umsetzen	zur Zielstelle	KEIN	EXACT_CARD_CLOSE	RENDERER/FRAME AS MARKED IN PARSE	zur Zielstelle umsetzen; schließen	AL bindet die Zielstelle, CHD den Transfer.	Der sichtbare D-Rahmen bekommt keinen Zusatzwert.
2e2027b1951d79911e24	tchody	OTHER_TERMINAL_9	1	f11r	H3-S001	abkühlen	MEMORIZED_WHOLE_CARD	[ABKÜHLEN-GANZKARTE] + CLOSE_EXACT	CLOSE_EXACT	abkühlen	KEIN	KEIN	EXACT_CARD_CLOSE	KEINE	abkühlen; schließen	Herbal-Spezialkarte am Ende einer Auszugsfolge.	TCHO besitzt in diesem Deck keinen unabhängigen zweiten Beleg.
2e7e89e0bd12b999c280	lshedy	OTHER_TERMINAL_9	2	f81v	B1-S012|B1-S013	waschen	PRODUCTIVE_COMPOSITION	LSH + CLOSE_EXACT	CORE_LSH|CLOSE_EXACT	waschen	KEIN	KEIN	EXACT_CARD_CLOSE	KEINE	waschen; schließen	Zwei terminale Belege plus die offene Grundkarte lsho ergeben eine kleine Waschreihe.	LSH bleibt ein ganzer Kern und wird nicht L+SHED zerlegt.
3b70942557b3a40e8030	olkeedy	VARIANT_PROGRAM_28	3	f81v|f83r	B1-S018|B3-S001|B3-S026	länger sammeln	PRODUCTIVE_COMPOSITION	OLK + EE + CLOSE_EXACT	CORE_OLK|GRADE_EE|CLOSE_EXACT	sammeln	KEIN	länger	EXACT_CARD_CLOSE	KEINE	länger sammeln; schließen	OLK ist die Sammelstellenkarte, EE der lange Grad.	OLK wird hier als ganzer Kern behandelt, nicht OL+K.
