statement_id	record_unit_id	page	terminal_card_id	surface	composition_status	component_parse	command_de	surface_sequence	complete_instruction_de
H3-S001	H3	f11r	2e2027b1951d79911e24	tchody	MEMORIZED_WHOLE_CARD	[ABKÜHLEN-GANZKARTE] + CLOSE_EXACT	abkühlen; schließen	tshol · schoal · cfhy · shfydaiin · cphy · shey · tchody	Bereite aus dem Blütenkraut einen Weinsud, wringe ihn aus, lass ihn bis zum Standmaß stehen, seih nach, nimm die Klarflüssigkeit und kühle sie ab
H4-S001	H4	f55v	97cc9ac109148723c472	ody	MEMORIZED_WHOLE_CARD	[KÜHL-GANZKARTE] + CLOSE_EXACT	kühlen; schließen	qokaiin · chaiin · ykain · ykan · ody	Stelle das Sollmaß ein, nimm eine Postenportion und kühle diesen Anteil ab
H5-S002	H5	f56r	95987d6f198d6d247511	cheeckhody	MEMORIZED_WHOLE_CARD	[AUFTRAGEN-GANZKARTE] + CLOSE_EXACT	auftragen; schließen	schol · choy · choky · cheeckhody	Wasche die bezeichnete Stelle, setze den vorbereiteten Zutatenansatz an und trage ihn auf
B1-S012	B1	f81v	2e7e89e0bd12b999c280	lshedy	PRODUCTIVE_COMPOSITION	LSH + CLOSE_EXACT	waschen; schließen	lsho · qokey · lshedy	Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe
B1-S013	B1	f81v	2e7e89e0bd12b999c280	lshedy	PRODUCTIVE_COMPOSITION	LSH + CLOSE_EXACT	waschen; schließen	lshedy	Wasche und schließe
B1-S015	B1	f81v	07913ef9b1fb773cd325	okchedy	PRODUCTIVE_COMPOSITION	[Q renderer] + OK + CHED + CLOSE_EXACT	Umsetzgang ansetzen; schließen	ytey · okchedy	Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe
B1-S017	B1	f81v	d225b7a7b95da7aee437	dchdy	PRODUCTIVE_COMPOSITION	[D renderer] + CHD + CLOSE_EXACT	umsetzen; schließen	sal · teol · dchdy	Führe ihn dorthin, öffne den Hahn, setze um und schließe
B2-S007	B2	f82r	cbb42a4fe68068325d6b	dshedy	MEMORIZED_WHOLE_CARD	[FRISCHWASSER-GANZKARTE] + CLOSE_EXACT	Frischwasser zugeben; schließen	dshedy	Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe
B2-S012	B2	f82r	d25110e0d8488927278f	qokeeedy	PRODUCTIVE_COMPOSITION	[Q renderer] + OK + EEE + CLOSE_EXACT	vollständig ansetzen; schließen	lchy · cheey · qcthey · qokeey · lcheey · daiin · chey · qokeeedy	Ziehe den Posten ab, nimm die Klarflüssigkeit, halte sie kurz bereit, setze sie länger an der Nassstelle nach Sollmaß an, führe sie vollständig aus und schließe
B3-S014	B3	f83r	03626ca94cb17800d767	sheedy	PRODUCTIVE_COMPOSITION	SHED + EE + CLOSE_EXACT	länger absetzen; schließen	okair · sheedy	Lass Wasser ein, lass länger absetzen und schließe
B3-S016	B3	f83r	07913ef9b1fb773cd325	qokchedy	PRODUCTIVE_COMPOSITION	[Q renderer] + OK + CHED + CLOSE_EXACT	Umsetzgang ansetzen; schließen	lo · qokchedy	Schließe den Bodenablauf, setze den Posten um und schließe
