exact_card_id	registered_surfaces	component_recipe	rebuilt_reading_de	events	access_mode	model_only_components	reading_changed
PROC001	dchey	CH+E+Y	ENTNEHMEN · KURZ · DIES	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC002	cthoor	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC003	char|dar|sar	AR	QUELLE	5	WALL_STRIP_COMPOSITION	NONE	NO
PROC004	chety|chty	T+Y	ANWENDEN · DIES	2	WALL_STRIP_COMPOSITION	NONE	NO
PROC005	os	OS	FACH	1	REGISTERED_WHOLE_CARD_MODEL_LOOKUP	OS	NO
PROC006	chair	CH+AIR	ENTNEHMEN · WASSER	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC007	otytchol	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC008	choky|oky|qoky	OK+Y	ANSETZEN · DIES	10	FAST_ORAL_COMPOSITION	NONE	NO
PROC011	chokchy|okchy|qokchy	OK+Y	ANSETZEN · DIES	3	FAST_ORAL_COMPOSITION	NONE	NO
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	SOLLMASS	20	FAST_ORAL_COMPOSITION	NONE	NO
PROC010	etyd	E+T+Y	KURZ · ANWENDEN · DIES	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC012	qotchol	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC013	cheol|chol|ol|qol|sol|tol	OL	WEITER	19	FAST_ORAL_COMPOSITION	NONE	NO
PROC115	ls	OL	WEITER	1	FAST_ORAL_COMPOSITION	NONE	NO
PROC014	checthy|cthy|shcthy	CTH+Y	BEREITEN · DIES	7	WALL_STRIP_COMPOSITION	NONE	NO
PROC015	ycheor	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC016	chor|or|shor|sor	OR	ANSATZ	7	WALL_STRIP_COMPOSITION	NONE	NO
PROC017	cthaiin	CTH+AIIN	BEREITEN · SOLLMASS	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC018	qoctholy	O+CTH+OL+Y	ARBEITSGANG · BEREITEN · WEITER · DIES	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC019	chey|chy|dy|shy|sy|y	Y	DIES	18	FAST_ORAL_COMPOSITION	NONE	NO
PROC020	otchor|qotchor	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	2	WALL_STRIP_COMPOSITION	NONE	NO
PROC021	otol	OT+OL	DANACH · WEITER	1	FAST_ORAL_COMPOSITION	NONE	NO
PROC022	cholor|olor	OL+OR	WEITER · ANSATZ	2	WALL_STRIP_COMPOSITION	NONE	NO
PROC023	oykchor	O+Y+K+OR	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC024	kaiiin	K+IIN	ZUGEBEN · ARBEITSSTUFE	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC025	chodaiin	CH+O+AIIN	ENTNEHMEN · ARBEITSGANG · SOLLMASS	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC026	tshol	T+SH+OL	ANWENDEN · HALTEN · WEITER	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC027	schoal	SH+O+AL	HALTEN · ARBEITSGANG · ZIELSTELLE	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC028	cfhy	CFH+Y	AUSWRINGEN · DIES	1	REGISTERED_WHOLE_CARD_MODEL_LOOKUP	CFH	NO
PROC029	shfydaiin	SH+Y+AIIN	HALTEN · DIES · SOLLMASS	1	FAST_ORAL_COMPOSITION	NONE	NO
PROC030	cphy	P+Y	FUELLEN · DIES	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC031	cheey|shey	SH+EE+Y	HALTEN · LANG · DIES	4	FAST_ORAL_COMPOSITION	NONE	NO
PROC157	sheey	SH+EE+Y	HALTEN · LANG · DIES	1	FAST_ORAL_COMPOSITION	NONE	NO
PROC032	tchody	T+CH+O+DY	ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC033	shoyty	SH+O+Y+T+Y	HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC034	dchol|schol	RESUME_CARD	WIEDERAUFNEHMEN	2	WALL_STRIP_COMPOSITION	NONE	NO
PROC035	kchy	K+Y	ZUGEBEN · DIES	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC036	qotchy	OT+Y	DANACH · DIES	1	FAST_ORAL_COMPOSITION	NONE	NO
PROC065	otchey	OT+Y	DANACH · DIES	2	FAST_ORAL_COMPOSITION	NONE	NO
PROC037	okchol	OK+OL	ANSETZEN · WEITER	1	FAST_ORAL_COMPOSITION	NONE	NO
PROC160	qokol	OK+OL	ANSETZEN · WEITER	1	FAST_ORAL_COMPOSITION	NONE	NO
PROC038	okaiin|qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	9	FAST_ORAL_COMPOSITION	NONE	NO
PROC039	ykain	Y+K+AIN	DIES · ZUGEBEN · PORTION	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC040	ykan	Y+K+AN	DIES · ZUGEBEN · NACHGABE	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC041	ody	O+DY	ARBEITSGANG · SCHLUSS	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC042	chdy|chedy	CHD+Y	UMSETZEN · DIES	11	FAST_ORAL_COMPOSITION	NONE	NO
PROC133	chedchy	CHD+Y	UMSETZEN · DIES	1	FAST_ORAL_COMPOSITION	NONE	NO
PROC043	talam	TALAM	VERWAHREN	1	REGISTERED_WHOLE_CARD_MODEL_LOOKUP	TALAM	NO
PROC044	ykaiin	Y+K+AIIN	DIES · ZUGEBEN · SOLLMASS	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC045	cheoar	CH+E+O+AR	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC046	cheeky	CHK+EE+Y	WAERMEN · LANG · DIES	2	WALL_STRIP_COMPOSITION	NONE	NO
PROC107	chkeey	CHK+EE+Y	WAERMEN · LANG · DIES	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC047	oldy	OL+DY	WEITER · SCHLUSS	2	FAST_ORAL_COMPOSITION	NONE	NO
PROC048	okal|qokal	OK+AL	ANSETZEN · ZIELSTELLE	6	FAST_ORAL_COMPOSITION	NONE	NO
PROC049	oltchy	OL+T+Y	WEITER · ANWENDEN · DIES	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC050	orain	OR+AIN	ANSATZ · PORTION	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC051	chochor	HO+CH+OR	ZUTAT · ENTNEHMEN · ANSATZ	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC052	cho|sho	HO	ZUTAT	4	WALL_STRIP_COMPOSITION	NONE	NO
PROC053	chodaly	HO+AL+Y	ZUTAT · ZIELSTELLE · DIES	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC054	kchol	K+OL	ZUGEBEN · WEITER	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC055	al|chal|cheal|dal|sal|tal	AL	ZIELSTELLE	10	FAST_ORAL_COMPOSITION	NONE	NO
PROC056	choy	HO+Y	ZUTAT · DIES	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC057	cheeckhody	CH+EE+CKH+O+DY	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC058	sh	SH	HALTEN	1	FAST_ORAL_COMPOSITION	NONE	NO
PROC059	kchey	K+E+Y	ZUGEBEN · KURZ · DIES	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC060	qokokchy	OK+OK+Y	ANSETZEN · ANSETZEN · DIES	1	FAST_ORAL_COMPOSITION	NONE	NO
PROC061	chokcheo	OK+CH+E+O	ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC062	kchal	K+AL	ZUGEBEN · ZIELSTELLE	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC063	kchoar	K+HO+AR	ZUGEBEN · ZUTAT · QUELLE	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC064	sotodan	OT+O+AIN	DANACH · ARBEITSGANG · PORTION	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC066	keol	K+E+OL	ZUGEBEN · KURZ · WEITER	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	8	FAST_ORAL_COMPOSITION	NONE	NO
PROC068	kair	K+AIR	ZUGEBEN · WASSER	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC069	chkain|kain	K+AIN	ZUGEBEN · PORTION	3	WALL_STRIP_COMPOSITION	NONE	NO
PROC070	olkain|qolkain	OL+K+AIN	WEITER · ZUGEBEN · PORTION	2	WALL_STRIP_COMPOSITION	NONE	NO
PROC071	rol	R+OL	KUEHLEN · WEITER	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC072	dl	L	LEITEN	2	FAST_ORAL_COMPOSITION	NONE	NO
PROC073	sheckhal	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC074	qokeedal	OK+EE+AL	ANSETZEN · LANG · ZIELSTELLE	1	FAST_ORAL_COMPOSITION	NONE	NO
PROC075	chckhy|shckhy	CKH+Y	DURCHLASS · DIES	4	WALL_STRIP_COMPOSITION	NONE	NO
PROC076	dchedy|schedy|tchedy	CHD+DY	UMSETZEN · SCHLUSS	4	FAST_ORAL_COMPOSITION	NONE	NO
PROC094	dchdy	CHD+DY	UMSETZEN · SCHLUSS	1	FAST_ORAL_COMPOSITION	NONE	NO
PROC077	sshkchdy	SH+K+CHD+DY	HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	1	WALL_STRIP_COMPOSITION	NONE	NO
PROC078	cheedy|shedy|tedy	SHED+DY	ABSETZEN · SCHLUSS	12	WALL_STRIP_COMPOSITION	NONE	NO
