rank	component	short_value_de	events	exact_cards	new_tier	learning_method	needed_by_parameterized_rules
1	Y	DIES	125	61	FAST_12_ORAL_CORE	memorize and answer without looking	9
2	DY	SCHLUSS	89	37	FAST_12_ORAL_CORE	memorize and answer without looking	9
3	OK	ANSETZEN	80	24	FAST_12_ORAL_CORE	memorize and answer without looking	8
4	E	KURZ	50	35	FAST_12_ORAL_CORE	memorize and answer without looking	7
5	CHD	UMSETZEN	48	22	FAST_12_ORAL_CORE	memorize and answer without looking	5
6	OL	WEITER	48	25	FAST_12_ORAL_CORE	memorize and answer without looking	6
7	EE	LANG	40	17	FAST_12_ORAL_CORE	memorize and answer without looking	4
8	AIIN	SOLLMASS	39	10	FAST_12_ORAL_CORE	memorize and answer without looking	6
9	AL	ZIELSTELLE	39	22	FAST_12_ORAL_CORE	memorize and answer without looking	4
10	L	LEITEN	27	18	FAST_12_ORAL_CORE	memorize and answer without looking	5
11	OT	DANACH	26	16	FAST_12_ORAL_CORE	memorize and answer without looking	6
12	SH	HALTEN	25	20	FAST_12_ORAL_CORE	memorize and answer without looking	3
13	K	ZUGEBEN	21	18	WALL_21_RULE_STRIP	point to wall strip while composing a licensed rule	4
14	O	ARBEITSGANG	19	18	WALL_21_RULE_STRIP	point to wall strip while composing a licensed rule	4
15	AIN	PORTION	18	8	WALL_21_RULE_STRIP	point to wall strip while composing a licensed rule	5
16	OR	ANSATZ	18	10	WALL_21_RULE_STRIP	point to wall strip while composing a licensed rule	2
17	CH	ENTNEHMEN	16	15	WALL_21_RULE_STRIP	point to wall strip while composing a licensed rule	3
18	CTH	BEREITEN	15	8	WALL_21_RULE_STRIP	point to wall strip while composing a licensed rule	3
19	SHED	ABSETZEN	15	3	WALL_21_RULE_STRIP	point to wall strip while composing a licensed rule	3
20	AR	QUELLE	14	10	WALL_21_RULE_STRIP	point to wall strip while composing a licensed rule	2
21	CKH	DURCHLASS	14	9	WALL_21_RULE_STRIP	point to wall strip while composing a licensed rule	4
22	T	ANWENDEN	10	9	WALL_21_RULE_STRIP	point to wall strip while composing a licensed rule	2
23	HO	ZUTAT	8	5	WALL_21_RULE_STRIP	point to wall strip while composing a licensed rule	2
24	CHK	WAERMEN	7	4	WALL_21_RULE_STRIP	point to wall strip while composing a licensed rule	2
25	SOLK	SAMMELSTELLE	7	5	WALL_21_RULE_STRIP	point to wall strip while composing a licensed rule	1
26	R	KUEHLEN	6	6	WALL_21_RULE_STRIP	point to wall strip while composing a licensed rule	1
27	AIR	WASSER	5	5	WALL_21_RULE_STRIP	point to wall strip while composing a licensed rule	2
28	IIN	ARBEITSSTUFE	4	3	WALL_21_RULE_STRIP	point to wall strip while composing a licensed rule	1
29	LSH	WASCHEN	3	2	MODEL_ONLY_6_RARE_VALUES	copy only inside its registered whole-card model	0
30	P	FUELLEN	3	3	WALL_21_RULE_STRIP	point to wall strip while composing a licensed rule	1
31	EEE	VOLL	2	2	WALL_21_RULE_STRIP	point to wall strip while composing a licensed rule	1
32	RESUME_CARD	WIEDERAUFNEHMEN	2	1	WALL_21_RULE_STRIP	point to wall strip while composing a licensed rule	2
33	AN	NACHGABE	1	1	WALL_21_RULE_STRIP	point to wall strip while composing a licensed rule	1
34	CFH	AUSWRINGEN	1	1	MODEL_ONLY_6_RARE_VALUES	copy only inside its registered whole-card model	0
35	DA	ZWEIT	1	1	MODEL_ONLY_6_RARE_VALUES	copy only inside its registered whole-card model	0
36	LD	BEFESTIGEN	1	1	MODEL_ONLY_6_RARE_VALUES	copy only inside its registered whole-card model	0
37	OS	FACH	1	1	MODEL_ONLY_6_RARE_VALUES	copy only inside its registered whole-card model	0
38	S	TEIL	1	1	WALL_21_RULE_STRIP	point to wall strip while composing a licensed rule	1
39	TALAM	VERWAHREN	1	1	MODEL_ONLY_6_RARE_VALUES	copy only inside its registered whole-card model	0
