statement_id	page	record	events	access_mode	fast_cards	wall_cards	model_cards
H1-S001	f10r	H1	10	USES_RARE_MODEL_CARD	2	7	1
H1-S002	f10r	H1	4	FAST_PLUS_WALL_STRIP	2	2	0
H2-S001	f10r	H2	9	FAST_PLUS_WALL_STRIP	4	5	0
H2-S002	f10r	H2	8	FAST_PLUS_WALL_STRIP	4	4	0
H2-S003	f10r	H2	7	FAST_PLUS_WALL_STRIP	2	5	0
H3-S001	f11r	H3	7	USES_RARE_MODEL_CARD	2	4	1
H3-S002	f11r	H3	1	FAST_PLUS_WALL_STRIP	0	1	0
H3-S003	f11r	H3	5	FAST_PLUS_WALL_STRIP	3	2	0
H3-S004	f11r	H3	4	FAST_PLUS_WALL_STRIP	3	1	0
H4-S001	f55v	H4	5	FAST_PLUS_WALL_STRIP	2	3	0
H4-S002	f55v	H4	3	USES_RARE_MODEL_CARD	2	0	1
H4-S003	f55v	H4	4	FAST_PLUS_WALL_STRIP	1	3	0
H4-S004	f55v	H4	6	FAST_PLUS_WALL_STRIP	3	3	0
H5-S001	f56r	H5	9	FAST_PLUS_WALL_STRIP	3	6	0
H5-S002	f56r	H5	4	FAST_PLUS_WALL_STRIP	1	3	0
H5-S003	f56r	H5	4	FAST_PLUS_WALL_STRIP	2	2	0
H5-S004	f56r	H5	3	FAST_PLUS_WALL_STRIP	1	2	0
H5-S005	f56r	H5	4	FAST_PLUS_WALL_STRIP	1	3	0
H5-S006	f56r	H5	3	FAST_PLUS_WALL_STRIP	2	1	0
B1-S001	f81v	B1	1	FAST_ONLY	1	0	0
B1-S002	f81v	B1	19	FAST_PLUS_WALL_STRIP	11	8	0
B1-S003	f81v	B1	2	FAST_PLUS_WALL_STRIP	1	1	0
B1-S004	f81v	B1	3	FAST_PLUS_WALL_STRIP	2	1	0
B1-S005	f81v	B1	1	FAST_ONLY	1	0	0
B1-S006	f81v	B1	4	FAST_PLUS_WALL_STRIP	1	3	0
B1-S007	f81v	B1	1	FAST_ONLY	1	0	0
B1-S008	f81v	B1	5	FAST_PLUS_WALL_STRIP	3	2	0
B1-S009	f81v	B1	1	FAST_ONLY	1	0	0
B1-S010	f81v	B1	1	FAST_ONLY	1	0	0
B1-S011	f81v	B1	2	FAST_PLUS_WALL_STRIP	1	1	0
B1-S012	f81v	B1	3	USES_RARE_MODEL_CARD	1	0	2
B1-S013	f81v	B1	1	USES_RARE_MODEL_CARD	0	0	1
B1-S014	f81v	B1	5	FAST_PLUS_WALL_STRIP	3	2	0
B1-S015	f81v	B1	2	FAST_PLUS_WALL_STRIP	1	1	0
B1-S016	f81v	B1	4	FAST_PLUS_WALL_STRIP	3	1	0
B1-S017	f81v	B1	3	FAST_ONLY	3	0	0
B1-S018	f81v	B1	4	FAST_PLUS_WALL_STRIP	2	2	0
B1-S019	f81v	B1	1	FAST_PLUS_WALL_STRIP	0	1	0
B1-S020	f81v	B1	2	FAST_PLUS_WALL_STRIP	0	2	0
B1-S021	f81v	B1	1	FAST_ONLY	1	0	0
B2-S001	f82r	B2	1	FAST_ONLY	1	0	0
B2-S002	f82r	B2	1	FAST_ONLY	1	0	0
B2-S003	f82r	B2	3	FAST_PLUS_WALL_STRIP	2	1	0
B2-S004	f82r	B2	5	FAST_PLUS_WALL_STRIP	3	2	0
B2-S005	f82r	B2	8	FAST_PLUS_WALL_STRIP	4	4	0
B2-S006	f82r	B2	4	FAST_PLUS_WALL_STRIP	3	1	0
B2-S007	f82r	B2	1	FAST_ONLY	1	0	0
B2-S008	f82r	B2	3	FAST_PLUS_WALL_STRIP	1	2	0
B2-S009	f82r	B2	1	FAST_ONLY	1	0	0
B2-S010	f82r	B2	4	FAST_ONLY	4	0	0
B2-S011	f82r	B2	4	FAST_PLUS_WALL_STRIP	1	3	0
B2-S012	f82r	B2	8	FAST_PLUS_WALL_STRIP	5	3	0
B2-S013	f82r	B2	1	FAST_ONLY	1	0	0
B2-S014	f82r	B2	1	FAST_PLUS_WALL_STRIP	0	1	0
B2-S015	f82r	B2	2	FAST_ONLY	2	0	0
B2-S016	f82r	B2	8	FAST_PLUS_WALL_STRIP	5	3	0
