component	pass955_value_de	portable_core_de	herbal_expansion_de	bath_station_expansion_de	celestial_expansion_de	revision	one_word_core
Y	DIES	DIES	DIES	DIES	DIES	UNCHANGED	YES
OK	ANSETZEN	SETZEN	ANSETZEN	AN STATION SETZEN	STELLE AKTIVIEREN	BROADENED_FOR_REGISTER_INVARIANCE	YES
E	KURZ	KURZ	KURZ	KURZ	KURZ	UNCHANGED	YES
DY	SCHLIESSEN	SCHLIESSEN	SCHLIESSEN	SCHLIESSEN	SCHLIESSEN	UNCHANGED	YES
O	AUSFÜHREN	AUSFÜHREN	AUSFÜHREN	AUSFÜHREN	AUSFÜHREN	UNCHANGED	YES
OL	FORTSETZEN	FORTSETZEN	FORTSETZEN	FORTSETZEN	FORTSETZEN	UNCHANGED	YES
EE	LÄNGER	LÄNGER	LÄNGER	LÄNGER	LÄNGER	UNCHANGED	YES
OT	DANACH	DANACH	DANACH	DANACH	DANACH	UNCHANGED	YES
AL	ZIEL	ZIEL	ZIELSTELLE	ZIELSTATION	ZIELPLATZ	UNCHANGED	YES
CH	ENTNEHMEN	NEHMEN	ENTNEHMEN	AUS STATION NEHMEN	WERT NEHMEN	BROADENED_FOR_REGISTER_INVARIANCE	YES
D_ADDR	TEIL	TEIL	TEIL	TEIL	TEIL	UNCHANGED	YES
SH	HALTEN	HALTEN	HALTEN	HALTEN	HALTEN	UNCHANGED	YES
AR	QUELLE	QUELLE	VORRAT	QUELLSTATION	BEZUGSPLATZ	UNCHANGED	YES
K	ZUGEBEN	GEBEN	ZUGEBEN	IN STATION GEBEN	WERT ZUORDNEN	BROADENED_FOR_REGISTER_INVARIANCE	YES
AIIN	SOLLMASS	SOLLWERT	SOLLMASS	STATIONSWERT	TAFELWERT	BROADENED_FOR_REGISTER_INVARIANCE	YES
S	AUSWÄHLEN	AUSWÄHLEN	AUSWÄHLEN	AUSWÄHLEN	AUSWÄHLEN	UNCHANGED	YES
CHD	UMSETZEN	UMSETZEN	UMSETZEN	UMSETZEN	UMSETZEN	UNCHANGED	YES
OR	ANSATZ	SATZ	ANSATZ	ARBEITSSATZ	EINTRAGSSATZ	BROADENED_FOR_REGISTER_INVARIANCE	YES
L	LEITEN	LEITEN	LEITEN	LEITEN	LEITEN	UNCHANGED	YES
T	EINSTELLEN	EINSTELLEN	EINSTELLEN	EINSTELLEN	EINSTELLEN	UNCHANGED	YES
AIN	PORTION	EINHEIT	PORTION	TEILMENGE	INDEX	BROADENED_FOR_REGISTER_INVARIANCE	YES
R	MARKIEREN	MARKIEREN	MARKIEREN	MARKIEREN	MARKIEREN	UNCHANGED	YES
P	EINSETZEN	EINSETZEN	EINSETZEN	EINSETZEN	EINSETZEN	UNCHANGED	YES
CTH	BEREIT	BEREIT	BEREIT	BEREIT	BEREIT	UNCHANGED	YES
SHED	ABSETZEN	ABSETZEN	ABSETZEN	ABSETZEN	ABSETZEN	UNCHANGED	YES
CKH	DURCHLASS	DURCHLASS	DURCHLASS	DURCHLASS	DURCHLASS	UNCHANGED	YES
AM_ADDR	INNEN	INNEN	INNEN	INNEN	INNEN	UNCHANGED	YES
CHEO	AUSZUG	AUSZUG	AUSZUG	AUSZUG	AUSZUG	UNCHANGED	YES
DA	ZWEIT	ZWEIT	ZWEIT	ZWEIT	ZWEIT	UNCHANGED	YES
CARRIER_Q	BEGINNEN	BEGINNEN	BEGINNEN	BEGINNEN	BEGINNEN	UNCHANGED	YES
A_ADDR	ORT	ORT	ORT	ORT	ORT	UNCHANGED	YES
AIR	LAUF	LAUF	FLÜSSIGKEITSLAUF	BECKENLAUF	RINGLAUF	UNCHANGED	YES
