formula_card_id	component_recipe	portable_atomic_core_de	herbal_expansion_de	bath_station_expansion_de	celestial_expansion_de	former_workshop_formula_de	attested_registers	surface_variants
F001	CHD+Y	UMSETZEN · DIES	UMSETZEN · DIES	UMSETZEN · DIES	UMSETZEN · DIES	DIESEN POSTEN UMSETZEN	BIOLOGICAL|HERBAL|ZODIAC	chedy|chdy|chedchy
F002	SHED+DY	ABSETZEN · SCHLIESSEN	ABSETZEN · SCHLIESSEN	ABSETZEN · SCHLIESSEN	ABSETZEN · SCHLIESSEN	ABSETZEN; ENDE	BIOLOGICAL	shedy
F003	OK+E+DY	SETZEN · KURZ · SCHLIESSEN	ANSETZEN · KURZ · SCHLIESSEN	AN STATION SETZEN · KURZ · SCHLIESSEN	STELLE AKTIVIEREN · KURZ · SCHLIESSEN	KURZ ANSETZEN; ENDE	BIOLOGICAL|ZODIAC	qokedy|okedy
F004	OK+EE+DY	SETZEN · LÄNGER · SCHLIESSEN	ANSETZEN · LÄNGER · SCHLIESSEN	AN STATION SETZEN · LÄNGER · SCHLIESSEN	STELLE AKTIVIEREN · LÄNGER · SCHLIESSEN	LAENGER ANSETZEN; ENDE	BIOLOGICAL|HERBAL	qokeedy|okeedy
F005	OK+Y	SETZEN · DIES	ANSETZEN · DIES	AN STATION SETZEN · DIES	STELLE AKTIVIEREN · DIES	DIESEN POSTEN ANSETZEN	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	qoky|oky|qokchy|choky|okchy|okchey
F006	OK+AIN	SETZEN · EINHEIT	ANSETZEN · PORTION	AN STATION SETZEN · TEILMENGE	STELLE AKTIVIEREN · INDEX	EINE PORTION ANSETZEN	BIOLOGICAL|HERBAL|ZODIAC	qokain|okain|chokain
F007	OK+EE+Y	SETZEN · LÄNGER · DIES	ANSETZEN · LÄNGER · DIES	AN STATION SETZEN · LÄNGER · DIES	STELLE AKTIVIEREN · LÄNGER · DIES	LAENGER ANSETZEN	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	qokeey|okeey|chokeey
F008	OK+AIIN	SETZEN · SOLLWERT	ANSETZEN · SOLLMASS	AN STATION SETZEN · STATIONSWERT	STELLE AKTIVIEREN · TAFELWERT	NACH SOLLMASS ANSETZEN	BIOLOGICAL|HERBAL|PHARMA	qokaiin|okaiin
F009	OK+AL	SETZEN · ZIEL	ANSETZEN · ZIELSTELLE	AN STATION SETZEN · ZIELSTATION	STELLE AKTIVIEREN · ZIELPLATZ	AN DER ZIELSTELLE ANSETZEN	BIOLOGICAL|HERBAL|ZODIAC	qokal|okal|chokal
F010	SH+E+Y	HALTEN · KURZ · DIES	HALTEN · KURZ · DIES	HALTEN · KURZ · DIES	HALTEN · KURZ · DIES	KURZ HALTEN	BIOLOGICAL|HERBAL|ZODIAC	shey|tshey
