edition	model	paragraph	mention	role	left	material_uses	raw_line	row_status
ZL3b	U	f93r|f93r.1-f93r.32	f93r.8:2	OPEN	lor		lor sheeody chodaiin s odar	recorded
ZL3b	T	f93r|f93r.1-f93r.32	f93r.8:2	TOOL	lor		lor sheeody chodaiin s odar	recorded
ZL3b	P	f93r|f93r.1-f93r.32	f93r.8:2	MATERIAL	lor		lor sheeody chodaiin s odar	recorded
ZL3b	U	f102v2|f102v2.30-f102v2.39	f102v2.31:3	OPEN	ckhy		oldeey ckhy sheeody eeos sheshe<!corr?> oeeor ykeear chekeey ykory	recorded
ZL3b	T	f102v2|f102v2.30-f102v2.39	f102v2.31:3	TOOL	ckhy		oldeey ckhy sheeody eeos sheshe<!corr?> oeeor ykeear chekeey ykory	recorded
ZL3b	P	f102v2|f102v2.30-f102v2.39	f102v2.31:3	MATERIAL	ckhy	B:f102v2.31:2;J:f102v2.31:2;M:f102v2.31:2	oldeey ckhy sheeody eeos sheshe<!corr?> oeeor ykeear chekeey ykory	recorded
IT2a	U	f93r|f93r.1-f93r.32	f93r.8:2	OPEN	lor		lor sheeody chodaiin sodar	recorded
IT2a	T	f93r|f93r.1-f93r.32	f93r.8:2	TOOL	lor		lor sheeody chodaiin sodar	recorded
IT2a	P	f93r|f93r.1-f93r.32	f93r.8:2	MATERIAL	lor		lor sheeody chodaiin sodar	recorded
IT2a	U	f102v2|f102v2.30-f102v2.39	f102v2.31:3	OPEN	ckhy		oldeey ckhy sheeody eeos shesee oeor ykoear chekeey ykory	recorded
IT2a	T	f102v2|f102v2.30-f102v2.39	f102v2.31:3	TOOL	ckhy		oldeey ckhy sheeody eeos shesee oeor ykoear chekeey ykory	recorded
IT2a	P	f102v2|f102v2.30-f102v2.39	f102v2.31:3	MATERIAL	ckhy	B:f102v2.31:2;J:f102v2.31:2;M:f102v2.31:2	oldeey ckhy sheeody eeos shesee oeor ykoear chekeey ykory	recorded
RF1b	U	f93r|f93r.1-f93r.32	f93r.8:2	OPEN	lor		lor sheeody chodaiin s odar	recorded
RF1b	T	f93r|f93r.1-f93r.32	f93r.8:2	TOOL	lor		lor sheeody chodaiin s odar	recorded
RF1b	P	f93r|f93r.1-f93r.32	f93r.8:2	MATERIAL	lor		lor sheeody chodaiin s odar	recorded
RF1b	U	f102v2|f102v2.30-f102v2.39	f102v2.31:3	OPEN	ckhy		oldeey ckhy sheeody eeos sheshe oee@221;r ykeear chekeey ykory	recorded
RF1b	T	f102v2|f102v2.30-f102v2.39	f102v2.31:3	TOOL	ckhy		oldeey ckhy sheeody eeos sheshe oee@221;r ykeear chekeey ykory	recorded
RF1b	P	f102v2|f102v2.30-f102v2.39	f102v2.31:3	MATERIAL	ckhy	B:f102v2.31:2;J:f102v2.31:2;M:f102v2.31:2	oldeey ckhy sheeody eeos sheshe oee@221;r ykeear chekeey ykory	recorded
