occurrence_id	surface	occurrence_class	gdt781_span_id	page	physical_folio	locus	line_number	section	language	hand	target_ordinal	token_index	line_token_count	line_position	surface_rank_in_zl3b_line	zl3b_surface_count	it2a_surface_count	rf1b_surface_count	all_three_present	all_present_exact_line	zl3b_line	it2a_line	rf1b_line	written_line_eva	reader_exact	reader_exact_method	target_mask_applied	selector_credit	component_export_credit
G782-O002	keeor	EXTERNAL	NONE	f17v	f17	f17v.22	22	H	A	1	4	4	7	MIDDLE	1	1	1	1	1	1	qokeee dar chey keeor cheeol ctheey cthy	qokeee dar chey keeor cheeol ctheey cthy	qokeee dar chey keeor cheeol ctheey cthy	qokeee dar chey keeor cheeol ctheey cthy	1	GDT634_OCCURRENCE_RANK_LE_MIN_ZL3B_IT2A_RF1B_SURFACE_COUNTS	0	0	0
G782-O004	chedor	TARGET_MASKED	G781-S013	f76r	f76	f76r.53	53	T	B	2	5	5	11	MIDDLE	1	1	1	1	1	0	saiin qol shedy ol chedor chal shed qoteedy dshdy okal chedyl	saiin qol shedy ol chedor chal shed qoteedy dshedy okal chedyl	saiin qol edy ol chedor chal shed qoteedy dshedy okal chedyl	saiin qol shedy ol chedor chal shed qoteedy dshdy okal chedyl	1	GDT634_OCCURRENCE_RANK_LE_MIN_ZL3B_IT2A_RF1B_SURFACE_COUNTS	1	0	0
G782-O005	sheckhal	TARGET_MASKED	G781-S017	f81v	f81	f81v.7	7	B	B	2	3	3	9	MIDDLE	1	1	1	1	1	0	olor ol sheckhal daiin qokeedal daiin chckhy schedy qol	olor ol sheckhal daiin qokeedal daiin chckhy schedy qol	olor ol sheckhal daiin qokeedal aiin chckhy sche y qol	olor ol sheckhal daiin qokeedal daiin chckhy schedy qol	1	GDT634_OCCURRENCE_RANK_LE_MIN_ZL3B_IT2A_RF1B_SURFACE_COUNTS	1	0	0
G782-O006	sheckhal	EXTERNAL	NONE	f83v	f83	f83v.20	20	B	B	2	6	6	8	MIDDLE	1	1	1	1	1	0	tocthey cheor olol cheol tedy sheckhal sheeckhy cheal	tocthey cheor olol cheol tedy sheckhal sheeckhy cheal	tocthey cheor olol cheol te y sheckhal sheeckhy cheal	tocthey cheor olol cheol tedy sheckhal sheeckhy cheal	1	GDT634_OCCURRENCE_RANK_LE_MIN_ZL3B_IT2A_RF1B_SURFACE_COUNTS	0	0	0
G782-O007	shdair	TARGET_MASKED	G781-S018	f85r1	f85	f85r1.11	11	T	B	2	3	3	12	MIDDLE	1	1	1	1	1	0	pdar ol shdair qopcheedy dal chdal chor shefshoro raiin dolor aiin opakam	pdar ol shdair qopcheedy dal chdal chor shefshoro raiin dalor aiin opakam	pdar ol shdair qopchee y dal chdal chor shefshoro raiin dolor aiin opakam	pdar ol shdair qopcheedy dal chdal chor shefshoro raiin dolor aiin opakam	1	GDT634_OCCURRENCE_RANK_LE_MIN_ZL3B_IT2A_RF1B_SURFACE_COUNTS	1	0	0
G782-O008	cheedaiin	EXTERNAL	NONE	f86v3	f86	f86v3.27	27	C	B	2	8	8	8	LAST	1	1	1	1	1	0	teeos aiin yteey qoteey otchey qoteeody cheeor cheedaiin	teeos aiin yteey qoteey otchey qoteeody cheeor cheedaiin	teeos aiin yteey qoteey otchey qoteeod cheeor cheedaiin	teeos aiin yteey qoteey otchey qoteeody cheeor cheedaiin	1	GDT634_OCCURRENCE_RANK_LE_MIN_ZL3B_IT2A_RF1B_SURFACE_COUNTS	0	0	0
G782-O009	chockhar	TARGET_MASKED	G781-S001	f100v	f100	f100v.20	20	P	A	1	8	8	8	LAST	1	1	1	1	1	0	ycheoky shokeesy qokeey chokeol saraloaly cheor ol chockhar	ycheoky shokeesy qokeey chokeol soraloaly cheor ol chockhar	ycheoky shokeesy qokeey chokeol s raloaly cheor ol chockhar	ycheoky shokeesy qokeey chokeol saraloaly cheor ol chockhar	1	GDT634_OCCURRENCE_RANK_LE_MIN_ZL3B_IT2A_RF1B_SURFACE_COUNTS	1	0	0
G782-O011	chockhar	EXTERNAL	NONE	f104r	f104	f104r.18	18	S	B	3	5	5	6	MIDDLE	1	1	1	1	1	0	dcheeokeody qokain qolar or chockhar otalkshedy	dcheeokeody qokain qolar or chockhar otal kshedy	dcheeokeody qokain qolar or chockhar otalkshedy	dcheeokeody qokain qolar or chockhar otalkshedy	1	GDT634_OCCURRENCE_RANK_LE_MIN_ZL3B_IT2A_RF1B_SURFACE_COUNTS	0	0	0
G782-O012	chedor	EXTERNAL	NONE	f105v	f105	f105v.26	26	S	B	3	8	8	12	MIDDLE	1	1	1	1	1	0	lkl sheeodees otaiin otar otal or aiin chedor alkaiin chs alkaiin ry	lkl sheeodees otaiin otar otal or aiin chedor alkaiin chs alkaiin ry	lkl sheeo ees otaiin otar otal or aiin chedor alkaiin chs alkaiin ry	lkl sheeodees otaiin otar otal or aiin chedor alkaiin chs alkaiin ry	1	GDT634_OCCURRENCE_RANK_LE_MIN_ZL3B_IT2A_RF1B_SURFACE_COUNTS	0	0	0
G782-O013	shdair	EXTERNAL	NONE	f106v	f106	f106v.32	32	S	B	3	2	2	11	MIDDLE	1	1	1	1	1	0	polos shdair sheky keedy qoeedy qofchedy sair al pchedy ypodaiin saram	tolos shdair sheky keedy qoeedy qofchedy sair al pchedy ypodaiin saram	polos shdair sheky keedy qoeedy qofchedy sair al pchedy ypo aiin sarag	polos shdair sheky keedy qoeedy qofchedy sair al pchedy ypodaiin saram	1	GDT634_OCCURRENCE_RANK_LE_MIN_ZL3B_IT2A_RF1B_SURFACE_COUNTS	0	0	0
