assessment_id	reader_id	reader_background	surface	decision	selected_candidate_id	proposed_default_de	confidence	positive_evidence	counterevidence	assessed_external_loci	substring_used	retired_literal_used	default_is_translation	assessment_is_proof	component_export_credit
G782-M001	FIELD_GRAMMAR_READER	Lokale Feldgrammatik: Reihenfolge, Slotfunktion und Vermeidung doppelter Rollen; keine historische Wortidentifikation.	cheedaiin	REVISE	C1_GDT781_RIVAL_1	Trockenmenge, Endstufe	MEDIUM	MIDDLE und END erscheinen jeweils in zwei Außenfeldern; f86v3.27 ist zeilenfinal nach DRY|AMOUNT|MATERIAL|END und liefert zusammen mit GDT748 nur den manuellen Tiebreak zum Abschluss.	Die Außenfelder selbst stehen 2:2; f107r.10 trägt DRY/MOIST|MATERIAL|MIDDLE und hält Mittelstufe als gleichwertigen Rivalen offen.	f86v3.27|f107r.10|f112v.24	0	0	0	0	0
G782-M002	FIELD_GRAMMAR_READER	Lokale Feldgrammatik: Reihenfolge, Slotfunktion und Vermeidung doppelter Rollen; keine historische Wortidentifikation.	chedor	REVISE	C3_EXTERNAL_REFINEMENT	getrockneter Arzneistoff	MEDIUM	Das Ziel folgt direkt auf die registrierte Konstruktion or aiin = drei Portionen; ein Materialkopf ergänzt dieses Mengenfeld ohne Wiederholung.	Nur eine Außenstelle; DRY stammt weiterhin hauptsächlich aus der Ganzwortanalogie und dem folgenden Trockenfeld.	f105v.26	0	0	0	0	0
G782-M003	FIELD_GRAMMAR_READER	Lokale Feldgrammatik: Reihenfolge, Slotfunktion und Vermeidung doppelter Rollen; keine historische Wortidentifikation.	chockhar	REVISE	C3_EXTERNAL_REFINEMENT	erhitzter Ansatz	LOW_MEDIUM	Der einzige Außenrahmen enthält das saubere HOT|LEVEL_II-Feld qokain und unmittelbar davor or; Ansatz passt, Fraktion würde or wiederholen.	Nur eine Außenstelle und kein sauberer direkter PREPARATION-Spender; DRY bleibt Formanalogierivale.	f104r.18	0	0	0	0	0
G782-M004	FIELD_GRAMMAR_READER	Lokale Feldgrammatik: Reihenfolge, Slotfunktion und Vermeidung doppelter Rollen; keine historische Wortidentifikation.	keeor	REVISE	C3_EXTERNAL_REFINEMENT	getrockneter Arzneistoff	LOW_MEDIUM	Der Außenrahmen enthält direkt DRY|MIDDLE links, direkt DRY|MATERIAL|END rechts und zwei weitere MATERIAL-Ganzwörter; kein Außenfeld trägt HOT.	Nur eine Außenstelle; DRY kann Feldqualität statt Zielinhalt sein, und die alte vollständige Ganzwortanalogie trägt weiterhin HOT|MATERIAL als Gegenmodell.	f17v.22	0	0	0	0	0
G782-M005	FIELD_GRAMMAR_READER	Lokale Feldgrammatik: Reihenfolge, Slotfunktion und Vermeidung doppelter Rollen; keine historische Wortidentifikation.	shdair	KEEP	C0_GDT781_DEFAULT	Arzneistoff	MEDIUM	Früher nominaler Slot vor MOIST/HOT/PROCESS/MIDDLE und HOT/CLOSE/END; die unspezifische MATERIAL-Karte braucht keine ungestützte Menge oder Feuchte.	Nur eine Außenstelle; MATERIAL kommt primär aus der unabhängigen Ganzwortanalogie, nicht aus einem direkten Materialspender.	f106v.32	0	0	0	0	0
G782-M006	FIELD_GRAMMAR_READER	Lokale Feldgrammatik: Reihenfolge, Slotfunktion und Vermeidung doppelter Rollen; keine historische Wortidentifikation.	sheckhal	REVISE	C3_EXTERNAL_REFINEMENT	trockene Arzneimischung	LOW_MEDIUM	Genau ein sauberer R2-Spender, cheal, trägt DRY|MATERIAL|MIDDLE; die trockene Mischung bewahrt die frühere Material-plus-Zubereitungs-Hypothese unter neuer Trockenrichtung.	Nur eine Außenstelle; cheor liegt bei Abstand vier, und MOIST|PREPARATION stammt weiterhin aus der früheren Distanz-2-Analogie.	f83v.20	0	0	0	0	0
G782-M007	APOTHECARY_READER	Historische Apothekenpraxis: Stoff-, Qualitäts-, Stufen- und Mengenfelder als gemischtes Register; keine Voynich-Wortgleichsetzung.	cheedaiin	REVISE	C1_GDT781_RIVAL_1	Trockenmenge, Endstufe	MEDIUM	Zwei Außenfelder enthalten END und zwei MIDDLE; die zeilenfinale Trockenmengenposition plus die ältere END-Serie geben nur einen praktischen Abschluss-Tiebreak.	Es gibt keine Achsenmehrheit für Endstufe; Mittelstufe bleibt ein gleichwertiger Rivale.	f86v3.27|f107r.10|f112v.24	0	0	0	0	0
G782-M008	APOTHECARY_READER	Historische Apothekenpraxis: Stoff-, Qualitäts-, Stufen- und Mengenfelder als gemischtes Register; keine Voynich-Wortgleichsetzung.	chedor	REVISE	C3_EXTERNAL_REFINEMENT	getrockneter Arzneistoff	MEDIUM	Nach einem bereits ausgedrückten Portions-/Wertfeld ist ein Stoffpatient die sparsamere pharmazeutische Lesung.	Ein einzelner Kontext kann Arzneistoff gegen allgemeines Trockengut nicht unterscheiden.	f105v.26	0	0	0	0	0
G782-M009	APOTHECARY_READER	Historische Apothekenpraxis: Stoff-, Qualitäts-, Stufen- und Mengenfelder als gemischtes Register; keine Voynich-Wortgleichsetzung.	chockhar	REVISE	C3_EXTERNAL_REFINEMENT	erhitzter Ansatz	LOW_MEDIUM	HOT Grad II plus vorausgehende Portion begünstigen einen erhitzten Ansatz; Ansatzfraktion würde die Portion doppelt sprechen.	Ein Kontext und kein sauberer direkter Ansatz-Spender; Trockenzubereitung bleibt plausibel.	f104r.18	0	0	0	0	0
G782-M010	APOTHECARY_READER	Historische Apothekenpraxis: Stoff-, Qualitäts-, Stufen- und Mengenfelder als gemischtes Register; keine Voynich-Wortgleichsetzung.	keeor	REVISE	C3_EXTERNAL_REFINEMENT	getrockneter Arzneistoff	LOW_MEDIUM	Abgemessener Anteil, Trockenfeld und drei nachfolgende Material-/Trockenmaterialkarten bilden ein geschlossenes beschreibendes Stofffeld.	Nur eine Außenstelle; Trockenheit kann zum Feld statt zum Arzneistoff gehören, und die alte Formanalogie trägt HOT.	f17v.22	0	0	0	0	0
