practice_id	domain	form_id	fresh_prompt_de	role_template	role_template_support	selected_card_sequence	component_sequence	practice_surface_sequence	all_allowed_surface_families	exact_card_pair_seen_in_fixed_pages	literal_backreading_de	owner_insertion_de	new_card	new_surface
N01	HERBAL	F01	Vorgeschriebenes Mass; diesen Pflanzenteil ansetzen.	QUANTITY_STAGE>CURRENT_ITEM	29	PROC009|PROC008	AIIN | OK+Y	daiin qoky	aiin|chaiin|daiin|saiin|taiin || choky|oky|qoky	0	MASS ; ANSETZEN · DIES	abgebildete Pflanze/Pflanzenteil	NO	NO
N02	BIOLOGICAL	F01	Vorgeschriebenes Mass; diesen Badeposten laenger halten.	QUANTITY_STAGE>CURRENT_ITEM	29	PROC009|PROC031	AIIN | SH+EE+Y	daiin shey	aiin|chaiin|daiin|saiin|taiin || cheey|shey	0	MASS ; HALTEN · LANG · DIES	lokale Badestation/Koerperposten	NO	NO
N03	APPARATUS	F01	Eine Portion; diese durch die Anlage weiterleiten.	QUANTITY_STAGE>CURRENT_ITEM	29	PROC156|PROC095	AIN | L+Y	dain ly	dain || ly	0	PORTION ; WEITERLEITEN · DIES	lokale Leitung/Beckenstation	NO	NO
N04	HERBAL	F02	Diesen Pflanzenteil ansetzen; ihn kurz abnehmen.	CURRENT_ITEM>CURRENT_ITEM	28	PROC008|PROC001	OK+Y | CH+E+Y	qoky dchey	choky|oky|qoky || dchey	0	ANSETZEN · DIES ; ABNEHMEN · KURZ · DIES	abgebildete Pflanze/Pflanzenteil	NO	NO
N05	BIOLOGICAL	F02	Diesen Badeposten laenger halten; ihn durch den Durchlass fuehren.	CURRENT_ITEM>CURRENT_ITEM	28	PROC031|PROC075	SH+EE+Y | CKH+Y	shey chckhy	cheey|shey || chckhy|shckhy	0	HALTEN · LANG · DIES ; DURCHLASS · DIES	lokale Badestation/Koerperposten	NO	NO
N06	APPARATUS	F02	Diesen Posten weiterleiten; ihn durch den Durchlass fuehren.	CURRENT_ITEM>CURRENT_ITEM	28	PROC095|PROC075	L+Y | CKH+Y	ly chckhy	ly || chckhy|shckhy	0	WEITERLEITEN · DIES ; DURCHLASS · DIES	lokale Leitung/Beckenstation	NO	NO
N07	HERBAL	F03	Diesen Pflanzenteil auswringen; absetzen und den Schritt schliessen.	CURRENT_ITEM>CLOSE_STEP	25	PROC028|PROC078	CFH+Y | SHED+DY	cfhy shedy	cfhy || cheedy|shedy|tedy	0	AUSWRINGEN · DIES ; ABSETZEN · SCHLUSS	abgebildete Pflanze/Pflanzenteil	NO	NO
N08	BIOLOGICAL	F03	Diesen Badeposten kurz waermen; den Arbeitsgang schliessen.	CURRENT_ITEM>CLOSE_STEP	25	PROC083|PROC041	CHK+E+Y | O+DY	cheky ody	cheky || ody	0	WAERMEN · KURZ · DIES ; GANG · SCHLUSS	lokale Badestation/Koerperposten	NO	NO
N09	APPARATUS	F03	Diesen Posten durch den Durchlass fuehren; weiterleiten und schliessen.	CURRENT_ITEM>CLOSE_STEP	25	PROC075|PROC108	CKH+Y | L+DY	chckhy ldy	chckhy|shckhy || ldy	0	DURCHLASS · DIES ; WEITERLEITEN · SCHLUSS	lokale Leitung/Beckenstation	NO	NO
N10	HERBAL	F04	Diesen Pflanzenteil ansetzen; das vorgeschriebene Mass notieren.	CURRENT_ITEM>QUANTITY_STAGE	19	PROC008|PROC009	OK+Y | AIIN	qoky daiin	choky|oky|qoky || aiin|chaiin|daiin|saiin|taiin	2	ANSETZEN · DIES ; MASS	abgebildete Pflanze/Pflanzenteil	NO	NO
N11	BIOLOGICAL	F04	Diesen Badeposten laenger halten; das vorgeschriebene Mass notieren.	CURRENT_ITEM>QUANTITY_STAGE	19	PROC031|PROC009	SH+EE+Y | AIIN	shey daiin	cheey|shey || aiin|chaiin|daiin|saiin|taiin	0	HALTEN · LANG · DIES ; MASS	lokale Badestation/Koerperposten	NO	NO
N12	APPARATUS	F04	Diesen Posten weiterleiten; eine Portion notieren.	CURRENT_ITEM>QUANTITY_STAGE	19	PROC095|PROC156	L+Y | AIN	ly dain	ly || dain	0	WEITERLEITEN · DIES ; PORTION	lokale Leitung/Beckenstation	NO	NO
N13	HERBAL	F05	Diese Pflanzenzutat nehmen; mit dem vorigen Arbeitsschritt fortfahren.	CURRENT_ITEM>CONTINUE	13	PROC056|PROC013	HO+Y | OL	choy ol	choy || cheol|chol|ol|qol|sol|tol	0	ZUTAT · DIES ; FORTSETZEN	abgebildete Pflanze/Pflanzenteil	NO	NO
N14	BIOLOGICAL	F05	Diesen Badeposten ansetzen; fortfahren.	CURRENT_ITEM>CONTINUE	13	PROC008|PROC013	OK+Y | OL	qoky ol	choky|oky|qoky || cheol|chol|ol|qol|sol|tol	1	ANSETZEN · DIES ; FORTSETZEN	lokale Badestation/Koerperposten	NO	NO
N15	APPARATUS	F05	Diesen Posten durch den Durchlass fuehren; weiterleiten und fortfahren.	CURRENT_ITEM>CONTINUE	13	PROC075|PROC167	CKH+Y | L+OL	chckhy lol	chckhy|shckhy || lol	0	DURCHLASS · DIES ; WEITERLEITEN · FORTSETZEN	lokale Leitung/Beckenstation	NO	NO
