record	at	word	M_class	parts	target	M_reading	W_reading	row_status
f17r	f17r.4:1	tcho	OPEN			⟦tcho⟧	⟦tcho⟧	recorded
f17r	f17r.4:2	shol	OPEN			⟦shol⟧	⟦shol⟧	recorded
f17r	f17r.4:3	qokol	OPEN			⟦qokol⟧	⟦qokol⟧	recorded
f17r	f17r.4:4	qor	OPEN			⟦qor⟧	⟦qor⟧	recorded
f17r	f17r.4:5	olaiin	TRANSLITERATED_UNREAD	ol+aiin	ine	⟦Zielstring ine ungelesen⟧	⟦olaiin⟧	recorded
f17r	f17r.4:6	opydg	OPEN			⟦opydg⟧	⟦opydg⟧	recorded
f17r	f17r.4:7	som	OPEN			⟦som⟧	⟦som⟧	recorded
f17r	f17r.4:8	ypchy	OPEN			⟦ypchy⟧	⟦ypchy⟧	recorded
f17r	f17r.4:9	ypaim	OPEN			⟦ypaim⟧	⟦ypaim⟧	recorded
f17r	f17r.5:1	ychekchy	OPEN			⟦ychekchy⟧	⟦ychekchy⟧	recorded
f17r	f17r.5:2	cthy	TECH			Kraut	Kraut	recorded
f17r	f17r.5:3	chor	TECH			Blüte	Blüte	recorded
f17r	f17r.5:4	shor	TECH			Frucht	Frucht	recorded
f17r	f17r.5:5	cphor	OPEN			⟦cphor⟧	⟦cphor⟧	recorded
f17r	f17r.5:6	cphaldy	OPEN			⟦cphaldy⟧	⟦cphaldy⟧	recorded
f17r	f17r.5:7	dair	OPEN			⟦dair⟧	⟦dair⟧	recorded
f17r	f17r.5:8	cthey	OPEN			⟦cthey⟧	⟦cthey⟧	recorded
f17r	f17r.5:9	qody	OPEN			⟦qody⟧	⟦qody⟧	recorded
f17r	f17r.6:1	tsho	OPEN			⟦tsho⟧	⟦tsho⟧	recorded
f17r	f17r.6:2	qof	OPEN			⟦qof⟧	⟦qof⟧	recorded
f17r	f17r.6:3	cho	OPEN			⟦cho⟧	⟦cho⟧	recorded
f17r	f17r.6:4	qokcheor	OPEN			⟦qokcheor⟧	⟦qokcheor⟧	recorded
f17r	f17r.6:5	cheteg	OPEN			⟦cheteg⟧	⟦cheteg⟧	recorded
f21r	f21r.8:1	fcho	OPEN			⟦fcho⟧	⟦fcho⟧	recorded
f21r	f21r.8:2	kshy	OPEN			⟦kshy⟧	⟦kshy⟧	recorded
f21r	f21r.8:3	otor	OPEN			⟦otor⟧	⟦otor⟧	recorded
