record	at	word	meaning	left	left_word	right	right_word	left_gap	right_gap	missing	row_status
f21r	f21r.9:9	s	und	f21r.9:8	cthy	f21r.10:3	chy		f21r.10:1=totchy f21r.10:2=keor		recorded
f21r	f21r.12:7	daiin	von/aus	f21r.12:5	chor			f21r.12:6=chol	f21r.12:8=chkaiin	right	recorded
f32v	f32v.7:7	dain	gib						f32v.7:8=shckhy	right	recorded
f32v	f32v.7:9	s	und					f32v.7:8=shckhy	f32v.7:10=odan f32v.8:1=otchol	left,right	recorded
f32v	f32v.8:2	daiin	von/aus					f32v.7:10=odan f32v.8:1=otchol		left,right	recorded
f32v	f32v.8:3	daiin	von/aus			f32v.8:4	ctho			left	recorded
f32v	f32v.8:5	daiin	von/aus	f32v.8:4	ctho	f32v.8:6	qotaiin				recorded
f32v	f32v.9:5	daiin	von/aus	f32v.9:4	chocthy	f32v.9:6	cthaiin				recorded
f32v	f32v.9:7	daiin	von/aus	f32v.9:6	cthaiin	f32v.10:2	keol		f32v.10:1=sho		recorded
f32v	f32v.10:5	daiin	von/aus	f32v.10:3	chor			f32v.10:4=chol	f32v.10:6=cpho f32v.10:7=l f32v.10:8=cthol f32v.10:9=da	right	recorded
f32v	f32v.10:10	ar	zu					f32v.10:6=cpho f32v.10:7=l f32v.10:8=cthol f32v.10:9=da		left,right	recorded
f32v	f32v.11:1	ol	in			f32v.11:3	chy		f32v.11:2=sho	left	recorded
f29v	f29v.1:4	ol	in	f29v.1:2	shor	f29v.1:7	cthy	f29v.1:3=chetchy	f29v.1:5=ls f29v.1:6=shytchy		recorded
f29v	f29v.1:11	daiin	von/aus	f29v.1:7	cthy			f29v.1:8=shy f29v.1:9=cho f29v.1:10=shy	f29v.2:1=qotcheaiin	right	recorded
f29v	f29v.2:2	s	und			f29v.2:5	cthy	f29v.2:1=qotcheaiin	f29v.2:3=chol f29v.2:4=chol	left	recorded
f29v	f29v.3:8	s	und	f29v.2:5	cthy	f29v.4:3	okaiin	f29v.2:6=chey f29v.2:7=cthold f29v.2:8=ytchor f29v.2:9=dary f29v.3:1=chol f29v.3:2=chol f29v.3:3=kor f29v.3:4=shey f29v.3:5=odaiin f29v.3:6=qotchy f29v.3:7=taiin	f29v.3:9=she f29v.3:10=otey f29v.3:11=sy f29v.4:1=ysho f29v.4:2=otshy		recorded
f29v	f29v.4:6	s	und	f29v.4:4	cthy	f29v.4:9	okaiin	f29v.4:5=oltchy	f29v.4:7=shot f29v.4:8=sho		recorded
