at	word	part_index	unit	target	row_status
f17r.4:5	olaiin	1	ol	in	recorded
f17r.4:5	olaiin	2	aiin	e	recorded
f21r.9:9	s	1	s	et	recorded
f21r.12:7	daiin	1	d	d	recorded
f21r.12:7	daiin	2	aiin	e	recorded
f32v.7:7	dain	1	d	d	recorded
f32v.7:7	dain	2	ain	a	recorded
f32v.7:9	s	1	s	et	recorded
f32v.8:2	daiin	1	d	d	recorded
f32v.8:2	daiin	2	aiin	e	recorded
f32v.8:3	daiin	1	d	d	recorded
f32v.8:3	daiin	2	aiin	e	recorded
f32v.8:5	daiin	1	d	d	recorded
f32v.8:5	daiin	2	aiin	e	recorded
f32v.8:8	d	1	d	d	recorded
f32v.9:5	daiin	1	d	d	recorded
f32v.9:5	daiin	2	aiin	e	recorded
f32v.9:7	daiin	1	d	d	recorded
f32v.9:7	daiin	2	aiin	e	recorded
f32v.10:5	daiin	1	d	d	recorded
f32v.10:5	daiin	2	aiin	e	recorded
f32v.10:10	ar	1	ar	ad	recorded
f32v.11:1	ol	1	ol	in	recorded
f29v.1:4	ol	1	ol	in	recorded
f29v.1:11	daiin	1	d	d	recorded
f29v.1:11	daiin	2	aiin	e	recorded
f29v.2:2	s	1	s	et	recorded
f29v.3:8	s	1	s	et	recorded
f29v.4:6	s	1	s	et	recorded
