panel_id	base_dictation	card_count	contrast_cues	controlled_phrases	all_unique_after_contrast
P01	Abführung + ABFÜHREN	5	ABZIEHEN|ERGEBNIS|GUT|VORGANG|WEGFÜHREN	TRANSFER[abziehen]|TRANSFER[Abzug]|TRANSFER[Abführgut]|TRANSFER[Abführung]|TRANSFER[abführen]	YES
P02	Abführung + QUELLE+ABFÜHREN	2	ERGEBNIS|VORGANG	TRANSFER[Quellabzug]|TRANSFER[Quellabführung]	YES
P03	Absetzen + ABSETZEN	3	NACH_EINSATZ|SCHLIESSEN|ZEIT	TRANSFER[Einsatzabsetzen]|TRANSFER[Absetzschluss]|TRANSFER[Standzeit]	YES
P04	Ansatz + ANSATZ	2	AUSZUG|GRUNDANSATZ	BEZUG[Auszugsansatz]|BEZUG[Ansatz]	YES
P05	Ansatz + FOLGE+ANSATZ	2	GLEICHER_WEITER|NÄCHSTER	BEZUG[Fortsetzungsansatz]|BEZUG[Folgeansatz]	YES
P06	Durchgang + DURCHGANG	3	BECKEN|LEITEN|PASSIEREN_LASSEN	TRANSFER[Beckenlauf]|TRANSFER[durchleiten]|TRANSFER[durchlassen]	YES
P07	Durchgang + KURZ+DURCHGANG	2	ABSCHNITT|VORGANG	TRANSFER[Kurzpassage]|TRANSFER[Kurzdurchgang]	YES
P08	Einsetzen + OHNE_ZUSATZ	4	GRUNDHANDLUNG|LAUF|NEU|WIEDER	ZIEL[Einsetzen]|ZIEL[Laufeinsatz]|ZIEL[Neueinsatz]|ZIEL[Wiedereinsatz]	YES
P09	Festmachen + BINDEN	2	HANDLUNG|STUFE	SCHLUSS[befestigen]|SCHLUSS[Bindestufe]	YES
P10	Fortsetzung + FOLGE	6	AKTIV_FÜHREN|ANKNÜPFEN|GLEICHES_WEITER|LAUF|NÄCHSTES_WEITER|WEG	BEZUG[weiterführen]|BEZUG[Anschluss]|BEZUG[Fortsetzung]|BEZUG[Weiterlauf]|BEZUG[Folgefortsetzung]|BEZUG[Weiterweg]	YES
P11	Fortsetzung + FOLGE+LANG	3	GLEICHER_WEITER|NÄCHSTER|STUFE	BEZUG[Langfortsetzung]|BEZUG[Langfolge]|BEZUG[Langfolgestufe]	YES
P12	Fortsetzung + FOLGE+POSTEN	3	GLEICHER_POSTEN|NÄCHSTER_POSTEN|NÄCHSTES_WEITER	BEZUG[Weiterposten]|BEZUG[Folgeposten]|BEZUG[Folgefortsetzungsposten]	YES
P13	Klären + KLÄREN+ABFÜHREN	2	KLAR|TRENNEN	TRANSFER[Klarabzug]|TRANSFER[Trennabzug]	YES
P14	Material + PORTION+PFLANZENTEIL	2	ALLGEMEINER_TEIL|WURZEL	BEZUG[Pflanzenteil]|BEZUG[Wurzelteil]	YES
P15	Portion + POSTEN+PORTION	2	NORMALE_PORTION|ZWEITE_PORTION	MASS[Postenportion]|MASS[Postenzweitportion]	YES
P16	Sollmaß + MASS	2	EINSTELLUNG|MENGE	MASS[Sollstellung]|MASS[Sollmaß]	YES
P17	Transfer + OHNE_ZUSATZ	2	AUSZUG_NEHMEN|LAUF_BEENDEN	TRANSFER[Auszugnahme]|TRANSFER[Laufschluss]	YES
P18	Transfer + TRANSFER	4	NEUTRAL|UMSETZEN|UMSETZEN_SCHLIESSEN|ÜBERFÜHREN	TRANSFER[Transfer]|TRANSFER[Umsetzen]|TRANSFER[Umsetzschluss]|TRANSFER[überführen]	YES
P19	Waschgang + WASCHEN	2	WASCHEN|WASSER_ZU	TRANSFER[Waschgang]|TRANSFER[Wasserzulauf]	YES
P20	Wärmen + LANG	2	HANDLUNG|ZUSTAND	ZUSTAND[Langwärmen]|ZUSTAND[Langwärme]	YES
P21	Zielstelle + ZIEL	6	ALLGEMEIN|EINGABE|EINSATZ|MARKE|SCHLIESSEN|ZWISCHEN	ZIEL[Stelle]|ZIEL[Zieleingabe]|ZIEL[Zieleinsatz]|ZIEL[Zielmarke]|ZIEL[Zielschluss]|ZIEL[Zwischenziel]	YES
P22	Zugabe + ZUGABE	4	AUSZUG|EINLEGEN|ZUGEBEN|ZUSATZSTOFF	MASS[Auszugzugabe]|MASS[Einlage]|MASS[Zugabe]|MASS[Zusatz]	YES
