joint_tuple_id	surfaces	old_atomic_value_de	new_atomic_value_de	new_sentence_expansion_de	event_count
b5fcea1eaed06b2f2291	okaiin|qokaiin	bemessen	Sollstellung	Stelle das Sollmaß ein	8
308e8ea2d5d190c498e8	okal|qokal	Orteinsatz	Zieleinsatz	Setze an der Zielstelle ein	5
4d4559019a961b834aa1	char|dar|sar	davon	Quelle	Nimm aus der bezeichneten Quelle	3
dcda95c81a5460feb191	cheol|ol|qol|sol|tol	weiter	Fortsetzung	Führe den laufenden Gang fort	16
dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	dorthin	Stelle	Binde die bezeichnete Stelle	9
dec401773c1f0347793d	olor	Gleichansatz	Fortsetzungsansatz	Führe denselben Ansatz weiter	1
54e32e9c1414b20640e9	sshkchdy	übertragen	Umsetzschluss	Setze um und schließe den Schritt	1
6f7ff8287eddf4da9fdb	chdy|chedy	überführen	Umsetzen	Setze den laufenden Posten um	10
b921a237be883a820352	chey|dy|sy	dies	Diesposten	Halte diesen Posten aktiv	9
276a7c2d74d1143446f4	qoky	einsetzen	Einsetzen	Setze den Posten ein	7
cbb42a4fe68068325d6b	dshedy	Frischspülung	Vorabsetzschluss	Setze den vorigen Posten ab und schließe	1
b5df9126607030b95175	cheey|shey	Klarlauf	Klarauszug	Nimm den Klarauszug	3
7f68f60279efe6b28cd7	rshedy	Vollwaschung	Absetzschluss	Setze ab und schließe	1
e0b630cb1b5df5e7105b	checthy|shcthy	bereit	Bereit	Halte den Posten bereit	4
80ebbbbf238eee9f0aef	chety	Teil	Zerkleinern	Zerkleinere den Posten	1
2c1a5fd92b9e3c762242	cheeky	Langbearbeitung	Langwärme	Halte den Posten länger warm	1
1b1ffdd869fb1429ad03	oldy	fertig	Fortschluss	Führe fort und schließe	1
b958a512ca6a3559e86e	lkedy	Weiterabzug	Kurzabzugsschluss	Ziehe kurz ab und schließe	1
