statement_id	record_unit_id	page	event_ids	surface_sequence	atomic_sequence	owner_sequence	owner_segment_count	fluent_station_translation_de	global_flow_claim
B1-S001	B1	f81v	E101	qokedy	Kurzkontakt	B1_SHARED_TWO_ROW_POOL	1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Lass ihn kurz einwirken.	NONE
B1-S002	B1	f81v	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	Sollstellung → Beckenlauf → Zieleinsatz → Quelle → Fortsetzung → Portion → Folgeportion → Stelle → Fortsetzung → Anschluss → Zusatz → Fortsetzungsansatz → Fortsetzung → Zielkurzpassage → Sollmaß → Ziellanghalt → Sollmaß → durchleiten → überführen	B1_SHARED_TWO_ROW_POOL	1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Stelle das Sollmaß ein; dann führe durch den Beckenlauf; dann setze an der Zielstelle ein; dann nimm aus der bezeichneten Quelle; dann führe den laufenden Gang fort; dann nimm eine Portion; dann nimm einen weiteren Anteil; dann binde die bezeichnete Stelle; dann führe den laufenden Gang fort; dann schließe am nächsten Abschnitt an; dann gib den Zusatz zu; dann führe denselben Ansatz weiter; dann führe den laufenden Gang fort; dann führe ihn kurz durch die Zielpassage; dann arbeite nach dem vorgeschriebenen Maß; dann setze ihn lange am Ziel ein; dann arbeite nach dem vorgeschriebenen Maß; dann leite den Posten hindurch; dann führe den Posten über.	NONE
B1-S003	B1	f81v	E121|E122	qol sshkchdy	Fortsetzung → Umsetzschluss	B1_SHARED_TWO_ROW_POOL	1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Führe den laufenden Gang fort; dann setze um und schließe den Schritt.	NONE
B1-S004	B1	f81v	E123|E124|E125	chedy ol shedy	Umsetzen → Fortsetzung → Kurzabsetzung	B1_SHARED_TWO_ROW_POOL	1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Setze den laufenden Posten um; dann führe den laufenden Gang fort; dann lass ihn kurz absetzen.	NONE
B1-S005	B1	f81v	E126	qolchedy	weiterführen	B1_SHARED_TWO_ROW_POOL	1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Führe ihn weiter.	NONE
B1-S006	B1	f81v	E127|E128|E129|E130	qokain shckhy dl ral	Zugabe → durchleiten → Zusatz → Zielmarke	B1_SHARED_TWO_ROW_POOL	1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Gib einen Anteil zu; dann leite den Posten hindurch; dann gib den Zusatz zu; dann halte die Zielmarke ein.	NONE
B1-S007	B1	f81v	E131	qokchdy	Neueinsatz	B1_SHARED_TWO_ROW_POOL	1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Setze einen neuen Posten ein.	NONE
B1-S008	B1	f81v	E132|E133|E134|E135|E136	chey ol cheky ol shedy	Diesposten → Fortsetzung → Kurzwärme → Fortsetzung → Kurzabsetzung	B1_SHARED_TWO_ROW_POOL	1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Halte diesen Posten aktiv; dann führe den laufenden Gang fort; dann wärme ihn kurz; dann führe den laufenden Gang fort; dann lass ihn kurz absetzen.	NONE
B1-S009	B1	f81v	E137	qokedy	Kurzkontakt	B1_SHARED_TWO_ROW_POOL	1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Lass ihn kurz einwirken.	NONE
B1-S010	B1	f81v	E138	qokedy	Kurzkontakt	B1_SHARED_TWO_ROW_POOL	1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Lass ihn kurz einwirken.	NONE
B1-S011	B1	f81v	E139|E140	chckhy qoky	durchleiten → Einsetzen	B1_SHARED_TWO_ROW_POOL	1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Leite den Posten hindurch; dann setze den Posten ein.	NONE
