core_root	family	working_meaning_de	operational_definition_de	mention_count	event_count	page_count	register_count	only_count	first_count	medial_count	last_count	chain_end_count	statement_first_count	next_action_count	next_argument_count	with_close_count	attached_action_count	attached_action_breakdown	selector_breakdown	register_breakdown	strongest_rival_de	decision
Y	ARGUMENT	POSTEN	der aktive, weiterverwendbare Arbeitsposten	1611	1545	24	5	183	155	50	1223	1406	31	152	6	20	1611	CH:194|CHD:185|K:340|OK:286|OWNER:26|P:47|R:22|S:68|SH:234|T:209	INHERITED_ACTION_STACK:123|NEAREST_HEAD_LEFT_TIE:1203|ONE_CARD_FORWARD:33|OWNER_CONTEXT:26|PREVIOUS_CARD_STACK:212|Q_OT_PACKAGE_FORWARD:14	BIOLOGICAL:817|CELESTIAL:182|HERBAL:333|PHARMA:205|SOURCE_SECTION_T:74	WERT	KEEP_POSTEN
AIIN	ARGUMENT	WERT	ein vorgeschriebener oder eingetragener Wert	432	432	23	5	155	1	8	268	423	5	1	4	0	432	CH:54|CHD:26|K:63|OK:119|OWNER:8|P:5|R:15|S:77|SH:34|T:31	INHERITED_ACTION_STACK:72|NEAREST_HEAD_LEFT_TIE:188|ONE_CARD_FORWARD:17|OWNER_CONTEXT:8|PREVIOUS_CARD_STACK:141|Q_OT_PACKAGE_FORWARD:6	BIOLOGICAL:162|CELESTIAL:70|HERBAL:100|PHARMA:73|SOURCE_SECTION_T:27	MASS	KEEP_WERT
AIN	ARGUMENT	ANTEIL	ein abgegrenzter Anteil innerhalb des Besitzers	240	240	20	5	63	1	2	174	237	8	1	0	1	240	CH:15|CHD:12|K:42|OK:81|OWNER:9|P:7|R:12|S:35|SH:13|T:14	INHERITED_ACTION_STACK:25|NEAREST_HEAD_LEFT_TIE:139|ONE_CARD_FORWARD:10|OWNER_CONTEXT:9|PREVIOUS_CARD_STACK:51|Q_OT_PACKAGE_FORWARD:6	BIOLOGICAL:160|CELESTIAL:8|HERBAL:39|PHARMA:18|SOURCE_SECTION_T:15	PORTION	KEEP_ANTEIL
OR	ARGUMENT	EINHEIT	eine begrenzte Arbeits- oder Eintragseinheit	266	262	24	5	46	17	22	181	227	4	9	21	2	266	CH:76|CHD:11|K:31|OK:42|OWNER:5|P:7|R:5|S:25|SH:41|T:23	INHERITED_ACTION_STACK:38|NEAREST_HEAD_LEFT_TIE:161|ONE_CARD_FORWARD:7|OWNER_CONTEXT:5|PREVIOUS_CARD_STACK:54|Q_OT_PACKAGE_FORWARD:1	BIOLOGICAL:80|CELESTIAL:30|HERBAL:97|PHARMA:48|SOURCE_SECTION_T:11	ZUBEREITUNG	KEEP_EINHEIT
AL	RELATION	ZIELORT	die Adresse, an der der folgende Gang ankommt oder gilt	352	348	24	5	75	46	62	169	244	12	28	49	19	352	CH:49|CHD:19|K:45|OK:98|OWNER:18|P:8|R:8|S:39|SH:37|T:31	AL_AR_ORDERED_FALLBACK:352	BIOLOGICAL:178|CELESTIAL:72|HERBAL:50|PHARMA:45|SOURCE_SECTION_T:7	STELLE	KEEP_ZIELORT
AR	RELATION	AUSGANG	die Adresse, von der der aktuelle Gang ausgeht	323	318	23	5	39	11	33	240	279	0	7	11	4	323	CH:39|CHD:17|K:36|OK:92|OWNER:19|P:18|R:4|S:40|SH:26|T:32	AL_AR_ORDERED_FALLBACK:323	BIOLOGICAL:151|CELESTIAL:56|HERBAL:69|PHARMA:23|SOURCE_SECTION_T:24	QUELLE	KEEP_AUSGANG
L	RELATION	VERBINDUNG	eine Verbindung, die einen folgenden Gang oder Posten trägt	270	268	20	5	18	179	20	53	71	52	127	25	62	270	CH:74|CHD:50|K:38|OK:18|OWNER:10|P:2|R:3|S:10|SH:49|T:16	L_AIR_RIGHT_FALLBACK:270	BIOLOGICAL:220|CELESTIAL:11|HERBAL:10|PHARMA:27|SOURCE_SECTION_T:2	MIT	KEEP_VERBINDUNG
AIR	RELATION	BAHN	die Bahn, auf der ein Posten oder Gang geführt wird	43	43	16	5	5	1	7	30	35	0	1	2	2	43	CH:9|CHD:2|K:10|OK:9|OWNER:1|P:2|R:1|S:5|SH:2|T:2	L_AIR_RIGHT_FALLBACK:43	BIOLOGICAL:12|CELESTIAL:6|HERBAL:10|PHARMA:12|SOURCE_SECTION_T:3	WASSER	KEEP_BAHN
OL	ORDER	FORTSETZEN	den bereits aktiven Gang oder Bezug fortsetzen	688	677	24	5	175	193	75	245	420	60	120	77	73	0	NONE	NONE	BIOLOGICAL:372|CELESTIAL:62|HERBAL:109|PHARMA:119|SOURCE_SECTION_T:26	VORIGES	KEEP_FORTSETZEN
OT	ORDER	DANACH	einen nächsten gleichrangigen Gang danach eröffnen	363	363	24	5	2	338	23	0	2	77	33	88	78	0	NONE	NONE	BIOLOGICAL:175|CELESTIAL:84|HERBAL:72|PHARMA:23|SOURCE_SECTION_T:9	NÄCHSTES	KEEP_DANACH
