family	contrast_pair	frozen_frame	left_root	left_meaning_de	left_event_count	left_pages	left_registers	left_surfaces	right_root	right_meaning_de	right_event_count	right_pages	right_registers	right_surfaces	reading_rule_de
ARGUMENT	Y~AIIN	@CORE	Y	POSTEN	183	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	chey|chy|dy|shy|sshr|sy|y	AIIN	WERT	155	f10r|f11r|f13r|f18r|f1r|f55v|f56r|f67r2|f71v|f72r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	aiin|daiin	Gleicher Rahmen; Y liest POSTEN, AIIN liest WERT
ARGUMENT	Y~AIIN	@CORE+Y	Y	POSTEN	3	f18r|f88r|f89r	HERBAL|PHARMA	ycheeo|ychey|ychy	AIIN	WERT	1	f76r	BIOLOGICAL	aiiny	Gleicher Rahmen; Y liest POSTEN, AIIN liest WERT
ARGUMENT	Y~AIIN	AL+@CORE	Y	POSTEN	9	f71v|f72r|f75r|f76r|f77r|f81r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	aly|chealdy|chealy|daly|tealy	AIIN	WERT	6	f67r2|f72r|f76r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	alaiin|chalaiin|dalaiin|daldaiin	Gleicher Rahmen; Y liest POSTEN, AIIN liest WERT
ARGUMENT	Y~AIIN	AL+D_ADDR+@CORE	Y	POSTEN	2	f55v|f67r2	CELESTIAL|HERBAL	aldy	AIIN	WERT	1	f67r2	CELESTIAL	aldaiin	Gleicher Rahmen; Y liest POSTEN, AIIN liest WERT
ARGUMENT	Y~AIIN	AR+@CORE	Y	POSTEN	1	f83r	BIOLOGICAL	chary	AIIN	WERT	1	f82r	BIOLOGICAL	araiin	Gleicher Rahmen; Y liest POSTEN, AIIN liest WERT
ARGUMENT	Y~AIIN	CARRIER_Q+O+LOCAL_CHAR_F+CHD+@CORE	Y	POSTEN	1	f81v	BIOLOGICAL	qofchedy	AIIN	WERT	1	f95v	HERBAL	qofchdaiin	Gleicher Rahmen; Y liest POSTEN, AIIN liest WERT
ARGUMENT	Y~AIIN	CH+K+@CORE	Y	POSTEN	29	f10r|f13r|f18r|f55v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	chchky|chckhy|chky|ckhy|qckhsy	AIIN	WERT	3	f72r|f89r	CELESTIAL|PHARMA	chekaiin|chkaiin	Gleicher Rahmen; Y liest POSTEN, AIIN liest WERT
ARGUMENT	Y~AIIN	CH+LOCAL_CHAR_F+@CORE	Y	POSTEN	2	f10r|f11r	HERBAL	cfhy	AIIN	WERT	1	f1r	SOURCE_SECTION_T	cfhaiin	Gleicher Rahmen; Y liest POSTEN, AIIN liest WERT
ARGUMENT	Y~AIIN	CH+O+D_ADDR+@CORE	Y	POSTEN	8	f11r|f56r|f88r|f88v|f89r|f95v	HERBAL|PHARMA	chody	AIIN	WERT	5	f10r|f1r|f76r|f89r	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	chodaiin	Gleicher Rahmen; Y liest POSTEN, AIIN liest WERT
ARGUMENT	Y~AIIN	CH+T+@CORE	Y	POSTEN	19	f10r|f11r|f17r|f18r|f1r|f56r|f75r|f76r|f81r|f83r	BIOLOGICAL|HERBAL|SOURCE_SECTION_T	checthy|chty|cthy	AIIN	WERT	4	f10r|f18r|f1r	HERBAL|SOURCE_SECTION_T	chtaiin|cthaiin	Gleicher Rahmen; Y liest POSTEN, AIIN liest WERT
