family	contrast_pair	left_meaning_de	right_meaning_de	shared_exact_substitution_frame_count	shared_frame_event_count	decisive_distributional_contrast	workshop_interpretation_de	decision
ARGUMENT	Y~AIIN	POSTEN	WERT	37	967	Y führt zu einer weiteren Handlung 152×; AIIN 1×. AIIN endet 423/432 (97.9%).	POSTEN bleibt als aktives Objekt handlungsfähig; WERT füllt eine Einstellung aus.	DISTINCT_MEANINGS_RETAINED
ARGUMENT	Y~AIN	POSTEN	ANTEIL	23	743	Y führt zu einer weiteren Handlung 152×; AIN 1×. AIN endet 237/240 (98.8%).	POSTEN wird weiterbearbeitet; ANTEIL begrenzt den gemeinten Teil.	DISTINCT_MEANINGS_RETAINED
ARGUMENT	Y~OR	POSTEN	EINHEIT	38	934	Y wird an 1611 Handlungsköpfe gebunden; OR an 266. OR kann ein weiteres Argument tragen (21×).	POSTEN ist der laufende Referent; EINHEIT ist der Rahmen, der weiteren Inhalt tragen kann.	DISTINCT_MEANINGS_RETAINED
ARGUMENT	AIIN~AIN	WERT	ANTEIL	23	566	AIIN: CELESTIAL 70/432; AIN 8/240. AIN: BIOLOGICAL 160/240; AIIN 162/432.	WERT ist die portablere Einstellgröße; ANTEIL ist stärker besitzer- und Teilstruktur-gebunden.	DISTINCT_MEANINGS_RETAINED
ARGUMENT	AIIN~OR	WERT	EINHEIT	27	518	AIIN endet 423/432 (97.9%); OR 227/266 (85.3%) und trägt 21 nachfolgende Argumente.	WERT füllt eine Einheit aus; EINHEIT kann selbst weiteren Inhalt aufnehmen.	DISTINCT_MEANINGS_RETAINED
ARGUMENT	AIN~OR	ANTEIL	EINHEIT	16	308	AIN endet 237/240 (98.8%); OR 227/266 (85.3%) und trägt 21 nachfolgende Argumente.	ANTEIL teilt den Besitzer; EINHEIT bündelt einen selbständigen Arbeits- oder Eintragsblock.	DISTINCT_MEANINGS_RETAINED
RELATION	AL~AR	ZIELORT	AUSGANG	32	395	AL eröffnet/führt weiter 108× und steht 12× am Aussagestart; AR 44× und 0×.	ZIELORT kann den folgenden Zielgang eröffnen; AUSGANG schließt meist die Herkunftsangabe.	DISTINCT_MEANINGS_RETAINED
RELATION	AL~L	ZIELORT	VERBINDUNG	16	275	L steht 179× karteninitial und öffnet 127 weitere Handlungen; AL 46× und 28 Handlungen.	ZIELORT adressiert das Ankommen; VERBINDUNG hält einen folgenden Gang offen.	DISTINCT_MEANINGS_RETAINED
RELATION	AL~AIR	ZIELORT	BAHN	8	168	AIR endet 35/43 (81.4%); AL 244/352 (69.3%). Selektoren trennen BAHN von Adressrelation.	ZIELORT ist eine Adresse; BAHN ist der Wegwert, auf dem der Gang läuft.	DISTINCT_MEANINGS_RETAINED
RELATION	AR~L	AUSGANG	VERBINDUNG	9	151	L öffnet 127 weitere Handlungen; AR nur 7. AR endet 279/323 (86.4%).	AUSGANG nennt die Herkunft; VERBINDUNG trägt die Fortsetzung.	DISTINCT_MEANINGS_RETAINED
RELATION	AR~AIR	AUSGANG	BAHN	10	186	AR nutzt ausschließlich AL_AR_ORDERED_FALLBACK (323×); AIR ausschließlich L_AIR_RIGHT_FALLBACK (43×).	AUSGANG und BAHN sind verschiedene Relationstypen mit verschiedenen Binderegeln.	DISTINCT_MEANINGS_RETAINED
RELATION	L~AIR	VERBINDUNG	BAHN	3	29	L steht 179× karteninitial und öffnet 127 Handlungen; AIR endet 35/43 (81.4%).	VERBINDUNG eröffnet einen Anschluss; BAHN bezeichnet den Verlauf dieses Anschlusses.	DISTINCT_MEANINGS_RETAINED
ORDER	OL~OT	FORTSETZEN	DANACH	14	410	OT steht 338/363 (93.1%) karteninitial; OL nur 193/688 (28.1%). OL endet 420×, OT 2×.	FORTSETZEN bleibt im aktiven Gang; DANACH eröffnet fast immer den nächsten Gang.	DISTINCT_MEANINGS_RETAINED
