registered_form	expected_head_id	expected_body	semantic_family	selected_whole_field_de	selected_split_field_de	confidence	alternate_1_de	alternate_2_de	positive_evidence	counterevidence	source_mode	gdt759_exact_expression	scope_status
lkar	H4	kar	HEATED_PART	Binnenfeld: heißer Anteil I	NONE	C1	heiße Fraktion I	Wärmestufe I	GDT737 registriert die vollständige H4-Ganzform und den body als erhitzte Teil-/Fraktionsstufe I	Teil gegen Fraktion sowie Zustand gegen Prozess bleiben offen	GDT737_HELD	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY
lcho	H4	cho	DRY_PREPARATION	Binnenfeld: Trockenansatz	NONE	C1	trockene Zubereitung	Trockenheitszustand	GDT737 registriert die vollständige H4-Ganzform und den body als trockenen Ansatz oder Zubereitung	Ansatz gegen Zustand bleibt offen	GDT737_HELD	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY
rar	H3	ar	PART_VALUE_I	Bezugsfeld: Anteil I	NONE	C1	Fraktionsstufe I	Abschlusswert I	GDT736 registriert die vollständige H3-Ganzform mit Teil-/Fraktionsstufe I und später Bezugsrolle	Teil gegen Wertdimension bleibt offen	GDT736_TRAINING	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY
rain	H3	ain	VALUE_II	Bezugsfeld: Wert II	Bezugsfeld: Wert II	C1	Ordinalstufe II	interner Abschluss II	GDT737 registriert die vollständige H3-Ganzform und den body als Ordinal-/Wertstufe II	Wert gegen Ordinalstufe und Bezug gegen Abschluss bleiben offen	GDT737_HELD	NONE	EXACT_OL_PLUS_REGISTERED_FIELD_ONLY
lchey	H4	chey	DRY_FORM_I	Binnenfeld: trockene Form I	NONE	C2	Trockenheitsgrad I	Binnenzustand I	GDT736 registriert die vollständige H4-Ganzform mit trockener Form I	Formindex gegen Gradindex bleibt offen	GDT736_TRAINING	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY
lchedy	H4	chedy	DRY_RESULT_I	Binnenfeld: Trockenresultat I	NONE	C2	getrocknete Form I	Endstufe I	GDT736 registriert die vollständige H4-Ganzform mit getrocknetem Ergebnis Form I	Ergebnis gegen Zustand und Indexdimension bleiben offen	GDT736_TRAINING	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY
lcheor	H4	cheor	DRY_PART	Binnenfeld: Trockenportion	NONE	C1	trockener Teil	Trockenheits-Portion	GDT737 registriert die vollständige H4-Ganzform und den body als trockenen Teil-/Portionsträger	Teil gegen Portion bleibt offen	GDT737_HELD	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY
lor	H4	or	PART_CARRIER	Binnenfeld: Portion	NONE	C1	Teilträger	Binnenrelation	GDT736 registriert die vollständige H4-Ganzform mit Teil-/Portionsträger	Teil gegen Portion und Träger gegen Relation bleiben offen	GDT736_TRAINING	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY
raiin	H3	aiin	VALUE_III	Bezugsfeld: Wert III	Bezugsfeld: Wert III	C1	Ordinalstufe III	interner Abschluss III	GDT736 registriert die vollständige H3-Ganzform mit Ordinalstufe III und später Bezugsrolle	Wert gegen Ordinalstufe und Bezug gegen Abschluss bleiben offen	GDT736_TRAINING	NONE	EXACT_OL_PLUS_REGISTERED_FIELD_ONLY
lkain	H4	kain	HEATED_FORM_II	Binnenfeld: heiße Form II	NONE	C1	erhitzter Wert II	Wärmestufe II	GDT737 registriert die vollständige H4-Ganzform und den body als erhitzte Form Index II	Form gegen Wert sowie Zustand gegen Prozess bleiben offen	GDT737_HELD	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY
lom	H4	om	PREPARATION_MEASURE	Binnenfeld: Zubereitungsmaß	NONE	C0	Maßfeld	interne Zubereitung	GDT737 registriert die vollständige H4-Ganzform und den body als Zubereitungsmaß	Einheit und konkrete Maßdimension bleiben offen	GDT737_HELD	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY
pchedy	H1	chedy	DRY_RESULT_I	Eintragsfeld: Trockenresultat I	NONE	C1	Trockeneintrag Form I	getrocknete Zustandsstufe I	GDT736 registriert die vollständige H1-Ganzform mit getrocknetem Ergebnis Form I	Die H1-Openerrolle passt nicht automatisch auf diese mediale ol-Position	GDT736_TRAINING	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY
rol	H3	ol	MATERIAL_CARRIER	Bezugsfeld: Stoffträger	NONE	C1	Materialträger	später Feldanschluss	GDT736 registriert die vollständige H3-Ganzform mit Stoff-/Materialträger und später Bezugsrolle	Stoff gegen Material und Träger gegen Relation bleiben offen	GDT736_TRAINING	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY
rsheedy	H3	sheedy	MOIST_RESULT_II	Bezugsfeld: Feuchtresultat II	NONE	C1	eingeweichtes Ergebnis II	feuchte Form II	GDT737 registriert die vollständige H3-Ganzform und den body als angefeuchtetes oder eingeweichtes Ergebnis Form II	Feucht gegen eingeweicht und Ergebnis gegen Zustand bleiben offen	GDT737_HELD	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY
lcheol	H4	cheol	DRY_MATERIAL	Binnenfeld: Trockenmaterial	NONE	C1	Trockenzubereitung	trockenes Inhaltsfeld	GDT737 registriert die vollständige H4-Ganzform und den body als Trockenmaterial	Material gegen Zubereitung und konkreter Inhalt bleiben offen	GDT737_HELD	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY
schey	H2	chey	DRY_FORM_I	Unterposten: trockene Form I	Unterposten: trockene Form I	C1	Trockenheitsgrad I	trockene Form I ohne Unterpostenrolle	GDT736 registriert die vollständige H2-Ganzform mit trockener Form I; die Splitregel bindet s und chey nur gemeinsam	Fusion und Trennung sind hier nicht als Lesergrenze belegt	GDT736_TRAINING	NONE	EXACT_OL_PLUS_REGISTERED_SPLIT_ONLY
saiin	H2	aiin	QUANTITY_VALUE_III	Unterposten: Wert III	Menge: drei Drachmen	C1	drei gleiche Teile	drei Unzen	GDT736 registriert die vollständige H2-Ganzform; GDT759 belegt s aiin mit 89 fusionierten und 23 getrennten exakten Vorkommen sowie vier normalisierten Lesergrenzen	Die konkrete Einheit und Wert gegen Ordinalstufe bleiben offen	GDT736_TRAINING	s aiin	EXACT_OL_PLUS_REGISTERED_SPLIT_ONLY
