page_position	event_id	statement_id	surface	exact_card_id	component_recipe	card_meaning_de	semantic_atom_count	source_phrase	workshop_shorthand	has_quantity	has_heat	has_press_or_passage	has_water	is_close	same_card_meaning
1	E056	H4-S001	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	2	ad mensuram pone	ad mens. / pone	YES	NO	NO	NO	NO	YES
2	E057	H4-S001	chaiin	PROC009	AIIN	SOLLMASS	1	ad mensuram	ad mens.	YES	NO	NO	NO	NO	YES
3	E058	H4-S001	ykain	PROC039	Y+K+AIN	POSTEN · ZUGEBEN · PORTION	3	rem et portionem adde	rem / port. adde	YES	NO	NO	NO	NO	YES
4	E059	H4-S001	ykan	PROC040	Y+K+AN	POSTEN · ZUGEBEN · NACHGABE	3	rem et supplementum adde	rem / suppl. adde	YES	NO	NO	NO	NO	YES
5	E060	H4-S001	ody	PROC041	O+DY	ARBEITSGANG · SCHLUSS	2	opus fini	op. / f.	NO	NO	NO	NO	YES	YES
6	E061	H4-S002	daiin	PROC009	AIIN	SOLLMASS	1	ad mensuram	ad mens.	YES	NO	NO	NO	NO	YES
7	E062	H4-S002	chedy	PROC042	CHD+Y	UMSETZEN · POSTEN	2	rem transfer	rem / transf.	NO	NO	NO	NO	NO	YES
8	E063	H4-S002	talam	PROC043	TALAM	BEISEITESTELLEN	1	seponere	sepon.	NO	NO	NO	NO	NO	YES
9	E064	H4-S003	ykaiin	PROC044	Y+K+AIIN	POSTEN · ZUGEBEN · SOLLMASS	3	rem ad mensuram adde	rem / ad mens. / adde	YES	NO	NO	NO	NO	YES
10	E065	H4-S003	cheoar	PROC045	CH+E+O+AR	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	4	ex fonte in opere cito sume	ex fonte / in op. / cito sume	NO	NO	NO	NO	NO	YES
11	E066	H4-S003	cheeky	PROC046	CHK+EE+Y	WAERMEN · LANG · POSTEN	3	rem diu calefac	rem / calef. diu	NO	YES	NO	NO	NO	YES
12	E067	H4-S003	oldy	PROC047	OL+DY	WEITER · SCHLUSS	2	continua; fini	cont. / f.	NO	NO	NO	NO	YES	YES
13	E068	H4-S004	aiin	PROC009	AIIN	SOLLMASS	1	ad mensuram	ad mens.	YES	NO	NO	NO	NO	YES
14	E069	H4-S004	okal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	2	ad locum pone	ad loc. / pone	NO	NO	NO	NO	NO	YES
15	E070	H4-S004	oltchy	PROC049	OL+T+Y	WEITER · BEARBEITEN · POSTEN	3	rem opera et continua	rem / opera-cont.	NO	NO	NO	NO	NO	YES
16	E071	H4-S004	or	PROC016	OR	ANSATZ	1	preparatio	prep.	NO	NO	NO	NO	NO	YES
17	E072	H4-S004	y	PROC019	Y	POSTEN	1	res currens	rem	NO	NO	NO	NO	NO	YES
18	E073	H4-S004	orain	PROC050	OR+AIN	ANSATZ · PORTION	2	portio praeparationis	port. prep.	YES	NO	NO	NO	NO	YES
