variant	writer	all_cases	CONTRADICTED_COMPLETE_ROLE_FORM_PATTERN	CONTRADICTED_INJECTIVE_LENGTH	CONTRADICTED_NONEMPTY_LENGTH	CONTRADICTED_WORD_BOUNDARIES	PRIMARY_PATTERN_EXHAUSTION_UNCORROBORATED	UNKNOWN_PATTERN_LIMIT	UNKNOWN_SOURCE
VERSA_TOPIC__GLORY_TOPIC_FUTURE	POSTFIX_FORWARD	1349	0	153	313	4	62	22	795
VERSA_TOPIC__GLORY_TOPIC_FUTURE	POSTFIX_REVERSE	1349	0	153	313	4	69	15	795
VERSA_TOPIC__GLORY_TOPIC_FUTURE	PREFIX_FORWARD	1349	0	153	313	4	51	33	795
VERSA_TOPIC__GLORY_TOPIC_FUTURE	PREFIX_REVERSE	1349	19	153	313	4	40	25	795
VERSA_TOPIC__GLORY_TOPIC_PAST	POSTFIX_FORWARD	1349	0	153	313	4	59	25	795
VERSA_TOPIC__GLORY_TOPIC_PAST	POSTFIX_REVERSE	1349	0	153	313	4	69	15	795
VERSA_TOPIC__GLORY_TOPIC_PAST	PREFIX_FORWARD	1349	0	153	313	4	51	33	795
VERSA_TOPIC__GLORY_TOPIC_PAST	PREFIX_REVERSE	1349	19	153	313	4	40	25	795
VERSA_TOPIC__GLORY_YOU_FUTURE	POSTFIX_FORWARD	1349	0	153	313	4	62	22	795
VERSA_TOPIC__GLORY_YOU_FUTURE	POSTFIX_REVERSE	1349	0	153	313	4	68	16	795
VERSA_TOPIC__GLORY_YOU_FUTURE	PREFIX_FORWARD	1349	0	153	313	4	48	36	795
VERSA_TOPIC__GLORY_YOU_FUTURE	PREFIX_REVERSE	1349	17	153	313	4	43	24	795
VERSA_VIS__GLORY_TOPIC_FUTURE	POSTFIX_FORWARD	1349	0	155	314	4	58	23	795
VERSA_VIS__GLORY_TOPIC_FUTURE	POSTFIX_REVERSE	1349	0	155	314	4	66	15	795
VERSA_VIS__GLORY_TOPIC_FUTURE	PREFIX_FORWARD	1349	0	155	314	4	49	32	795
VERSA_VIS__GLORY_TOPIC_FUTURE	PREFIX_REVERSE	1349	18	155	314	4	40	23	795
VERSA_VIS__GLORY_TOPIC_PAST	POSTFIX_FORWARD	1349	0	155	314	4	58	23	795
VERSA_VIS__GLORY_TOPIC_PAST	POSTFIX_REVERSE	1349	0	155	314	4	66	15	795
VERSA_VIS__GLORY_TOPIC_PAST	PREFIX_FORWARD	1349	0	155	314	4	46	35	795
VERSA_VIS__GLORY_TOPIC_PAST	PREFIX_REVERSE	1349	16	155	314	4	41	24	795
VERSA_VIS__GLORY_YOU_FUTURE	POSTFIX_FORWARD	1349	0	155	314	4	58	23	795
VERSA_VIS__GLORY_YOU_FUTURE	POSTFIX_REVERSE	1349	0	155	314	4	66	15	795
VERSA_VIS__GLORY_YOU_FUTURE	PREFIX_FORWARD	1349	0	155	314	4	48	33	795
VERSA_VIS__GLORY_YOU_FUTURE	PREFIX_REVERSE	1349	19	155	314	4	41	21	795
