length_id	island_length	island_id	anchor_id	statement_id	state_bank_id	first_event_id	last_event_id	last_stream_ordinal	immediate_post_island_event_id	immediate_post_island_decision	untouched_stop_cascade_length	cascade_recovery_event_id	cascade_recovery_decision	state_recovery_event_id	unmutated_card_distance_to_parity_or_next_island	state_recovery_status
L01	1	G457-L01-G457-A001	G457-A001	G404-S001	f1r::F1R_TEXT_BLOCK_A	G407-E0006	G407-E0006	6	G407-E0007	READ	0	G407-E0007	READ	G407-E0007	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G457-L01-G457-A002	G457-A002	G404-S005	f1r::F1R_TEXT_BLOCK_C	G407-E0135	G407-E0135	135	G407-E0136	READ	0	G407-E0136	READ	G407-E0136	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G457-L01-G457-A003	G457-A003	G404-S006	f1r::F1R_TEXT_BLOCK_D	G407-E0160	G407-E0160	160	G407-E0161	READ	0	G407-E0161	READ	G407-E0161	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G457-L01-G457-A004	G457-A004	P1009-S001	f10r::zweiknolliges blauköpfiges Heilkraut	G407-E0237	G407-E0237	237	G407-E0238	READ	0	G407-E0238	READ	G407-E0238	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G457-L01-G457-A005	G457-A005	P1009-S002	f10r::zweiknolliges blauköpfiges Heilkraut	G407-E0283	G407-E0283	283	G407-E0284	READ	0	G407-E0284	READ	G407-E0285	2	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G457-L01-G457-A006	G457-A006	P1009-S004	f11r::blühender dreikroniger Sodenstock	G407-E0323	G407-E0323	323	G407-E0324	READ	0	G407-E0324	READ	G407-E0324	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G457-L01-G457-A007	G457-A007	P1009-S005	f13r::große Wurzelkrone mit Blatt und Blütenstand	G407-E0367	G407-E0367	367	G407-E0368	READ	0	G407-E0368	READ	G407-E0368	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G457-L01-G457-A008	G457-A008	P1009-S014	f17r::abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	G407-E0460	G407-E0460	460	G407-E0461	READ	0	G407-E0461	READ	G407-E0461	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G457-L01-G457-A009	G457-A009	P1009-S017	f17r::abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	G407-E0505	G407-E0505	505	G407-E0506	READ	0	G407-E0506	READ	G407-E0506	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G457-L01-G457-A010	G457-A010	P1009-S019	f18r::große abgebildete Blütenpflanze	G407-E0524	G407-E0524	524	G407-E0525	READ	0	G407-E0525	READ	G407-E0525	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G457-L01-G457-A011	G457-A011	P1009-S020	f18r::große abgebildete Blütenpflanze	G407-E0553	G407-E0553	553	G407-E0554	READ	0	G407-E0554	READ	G407-E0554	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G457-L01-G457-A012	G457-A012	P1009-S022	f18r::große abgebildete Blütenpflanze	G407-E0574	G407-E0574	574	G407-E0575	READ	0	G407-E0575	READ	G407-E0576	2	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G457-L01-G457-A013	G457-A013	G404-S009	f24v::F24V_WHOLE_PLANT	G407-E0620	G407-E0620	620	G407-E0621	READ	0	G407-E0621	READ	G407-E0626	6	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G457-L01-G457-A014	G457-A014	G404-S010	f24v::F24V_WHOLE_PLANT	G407-E0670	G407-E0670	670	G407-E0671	READ	0	G407-E0671	READ	G407-E0671	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G457-L01-G457-A015	G457-A015	P1009-S026	f55v::große aromatische Doldenpflanze	G407-E0763	G407-E0763	763	G407-E0764	READ	0	G407-E0764	READ	G407-E0764	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G457-L01-G457-A016	G457-A016	P1009-S029	f56r::stachelköpfiges Kraut in mehreren Reifestufen	G407-E0809	G407-E0809	809	G407-E0810	READ	0	G407-E0810	READ	G407-E0810	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G457-L01-G457-A017	G457-A017	P1009-S030	f56r::stachelköpfiges Kraut in mehreren Reifestufen	G407-E0874	G407-E0874	874	G407-E0875	READ	0	G407-E0875	READ	G407-E0875	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G457-L01-G457-A018	G457-A018	P1009-S032	f67r2::zwei getrennte Himmelsräder und Tabelle	G407-E0910	G407-E0910	910	G407-E0911	READ	0	G407-E0911	READ	G407-E0911	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G457-L01-G457-A019	G457-A019	P1009-S041	f67r2::zwei getrennte Himmelsräder und Tabelle	G407-E1008	G407-E1008	1008	G407-E1009	READ	0	G407-E1009	READ	G407-E1009	1	STATE_PARITY_BEFORE_NEXT_ISLAND
L01	1	G457-L01-G457-A020	G457-A020	P1009-S044	f68r1::mehrteilige Sternstellentafel	G407-E1043	G407-E1043	1043	G407-E1044	READ	0	G407-E1044	READ	G407-E1044	1	STATE_PARITY_BEFORE_NEXT_ISLAND
