anchor_id	statement_id	physical_page	register	owner_de	state_bank_id	statement_event_count	eligible_window_count	selected_window_offset	window_start_position	first_event_id	last_event_id	window_event_ids	window_source_recipes
G457-A001	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	f1r::F1R_TEXT_BLOCK_A	46	31	5	6	G407-E0006	G407-E0021	G407-E0006|G407-E0007|G407-E0008|G407-E0009|G407-E0010|G407-E0011|G407-E0012|G407-E0013|G407-E0014|G407-E0015|G407-E0016|G407-E0017|G407-E0018|G407-E0019|G407-E0020|G407-E0021	SH+OR+Y|CH+T+R+E+S|Y|K+OR|SH+OL+D_ADDR+Y|S+OR+Y|CH+K+AR|OR|Y|K+AIR|CH+T+AIIN|SH+AR|A_ADDR+S+E|CH+T+AR|CH+T+AR|AIN
G457-A002	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	f1r::F1R_TEXT_BLOCK_C	88	41	31	64	G407-E0135	G407-E0150	G407-E0135|G407-E0136|G407-E0137|G407-E0138|G407-E0139|G407-E0140|G407-E0141|G407-E0142|G407-E0143|G407-E0144|G407-E0145|G407-E0146|G407-E0147|G407-E0148|G407-E0149|G407-E0150	D_ADDR+A_ADDR+LOCAL_CHAR_I+Y|Y+T+O|SH+OL|SH+E|K+O+D_ADDR+SH+E+Y|CH+P+E+AL+Y|D_ADDR+AR|AIN|AIN|CH+K+Y+D_ADDR+S|D_ADDR+CH+AR|SH+CH+T+AIIN|OK+IIN+R|Y|Y|T+OL
G457-A003	G404-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	f1r::F1R_TEXT_BLOCK_D	41	9	0	1	G407-E0160	G407-E0175	G407-E0160|G407-E0161|G407-E0162|G407-E0163|G407-E0164|G407-E0165|G407-E0166|G407-E0167|G407-E0168|G407-E0169|G407-E0170|G407-E0171|G407-E0172|G407-E0173|G407-E0174|G407-E0175	CH+P+O|SH+AIIN|SH+OK+CH+EE+Y|OL|T+SH+O+D_ADDR+EE+S+Y|SH+E+Y|P+Y+D_ADDR+EE+Y|CH+A_ADDR|R+O|D_ADDR+AR|Y+D_ADDR+O+IIN|OL|AIN|CH+T+AL|D_ADDR+AR|SH+E+AR
G457-A004	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r::zweiknolliges blauköpfiges Heilkraut	39	4	2	23	G407-E0237	G407-E0252	G407-E0237|G407-E0238|G407-E0239|G407-E0240|G407-E0241|G407-E0242|G407-E0243|G407-E0244|G407-E0245|G407-E0246|G407-E0247|G407-E0248|G407-E0249|G407-E0250|G407-E0251|G407-E0252	CH+O+CH+T+Y|OT+Y|OL|OR|Y+T+Y|Y|Y|S+OR|CH+AIIN|CH+CH+T+Y|CH+T+O|CH+K+Y|OR|AIIN|CH+T+CH+OR|D_ADDR+O+IIN+R
G457-A005	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r::zweiknolliges blauköpfiges Heilkraut	53	22	13	30	G407-E0283	G407-E0298	G407-E0283|G407-E0284|G407-E0285|G407-E0286|G407-E0287|G407-E0288|G407-E0289|G407-E0290|G407-E0291|G407-E0292|G407-E0293|G407-E0294|G407-E0295|G407-E0296|G407-E0297|G407-E0298	AIIN|D_ADDR+AR|O+Y+K+CH+OR|SH+OR|CH+OR|Y|K+A_ADDR+LOCAL_CHAR_I+IIN|Y|CH+O+D_ADDR+AIIN|O+OT+OR|OT+OR|CH+LOCAL_CHAR_F+Y|CH+T+OR|O+S+AIN|Y+T+O+IIN|OT+CH+O+SH+OR
G457-A006	P1009-S004	f11r	HERBAL	blühender dreikroniger Sodenstock	f11r::blühender dreikroniger Sodenstock	52	17	9	10	G407-E0323	G407-E0338	G407-E0323|G407-E0324|G407-E0325|G407-E0326|G407-E0327|G407-E0328|G407-E0329|G407-E0330|G407-E0331|G407-E0332|G407-E0333|G407-E0334|G407-E0335|G407-E0336|G407-E0337|G407-E0338	AIIN|OT+Y|OL|CH+T+Y|D_ADDR+OR|Y+K+Y+CH+Y|CH+OT+Y|AIN|CH+AIIN|AIIN|D_ADDR+O+D_ADDR|D_ADDR+OL|Y|K+Y|Y|AIIN
G457-A007	P1009-S005	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	f13r::große Wurzelkrone mit Blatt und Blütenstand	42	27	1	2	G407-E0367	G407-E0382	G407-E0367|G407-E0368|G407-E0369|G407-E0370|G407-E0371|G407-E0372|G407-E0373|G407-E0374|G407-E0375|G407-E0376|G407-E0377|G407-E0378|G407-E0379|G407-E0380|G407-E0381|G407-E0382	O+P+Y|SH+OL|Y|O+P+Y|SH+OL|O+P+CH+OR|D_ADDR+Y+P+Y|D_ADDR+CH+LOCAL_CHAR_G|D_ADDR+OL|OL|D_ADDR+OL|SH+K+Y|Y+AL|Y|Y+K+Y|OT+Y
G457-A008	P1009-S014	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	f17r::abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	26	11	2	3	G407-E0460	G407-E0475	G407-E0460|G407-E0461|G407-E0462|G407-E0463|G407-E0464|G407-E0465|G407-E0466|G407-E0467|G407-E0468|G407-E0469|G407-E0470|G407-E0471|G407-E0472|G407-E0473|G407-E0474|G407-E0475	O+D_ADDR+CH+T+Y|O+D_ADDR+S|OL|OR|Y|O+D_ADDR+AM_ADDR|OK+OR|CH+OR|OK+CH+O+AM_ADDR|T+CH+O|SH+OL|OK+OL|OR|OL+AIIN|O+P+Y+D_ADDR+LOCAL_CHAR_G|S+O+M_LOCAL
G457-A009	P1009-S017	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	f17r::abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	23	1	0	8	G407-E0505	G407-E0520	G407-E0505|G407-E0506|G407-E0507|G407-E0508|G407-E0509|G407-E0510|G407-E0511|G407-E0512|G407-E0513|G407-E0514|G407-E0515|G407-E0516|G407-E0517|G407-E0518|G407-E0519|G407-E0520	DA+S|CH+Y+P+CH+AM_ADDR|D_ADDR+AR|CH+E+AR|D_ADDR+CH+E+O+R|S+AIN|Y|M_LOCAL+OL|OT+CH+OL|CH+T+AR|OK+AIIN|OL|DA+IIN|Y+CH+O+D_ADDR|Y|CH+OT+O+M_LOCAL
G457-A010	P1009-S019	f18r	HERBAL	große abgebildete Blütenpflanze	f18r::große abgebildete Blütenpflanze	29	14	2	3	G407-E0524	G407-E0539	G407-E0524|G407-E0525|G407-E0526|G407-E0527|G407-E0528|G407-E0529|G407-E0530|G407-E0531|G407-E0532|G407-E0533|G407-E0534|G407-E0535|G407-E0536|G407-E0537|G407-E0538|G407-E0539	Y+K+OL|D_ADDR+AR|O+AM_ADDR|CH+K+Y|O+CH+T+OR|AL|OT+SH+OL|OK+OL|Y+K+CH+Y|OK+CH+AL|AIIN|Y|OL|AIN|OK+CH+OR|CH+OR
