length_id	island_length	matched_anchor_count	replacement_count	replacement_density	green_count	amber_count	stop_count	mutated_stop_count	unmutated_stop_count	immediate_post_island_readable_count	immediate_post_island_stop_count	no_same_statement_post_card_count	max_untouched_stop_cascade	parity_before_next_island_count	next_island_before_parity_count	bank_end_isolation_count	stop_state_failure_count	owner_bank_exact_count	owner_bank_event_exact_count
L01	1	55	55	0.012019	4560	11	5	5	0	55	0	0	0	55	0	0	0	57	4576
L02	2	55	110	0.024038	4558	11	7	7	0	55	0	0	0	55	0	0	0	57	4576
L03	3	55	165	0.036058	4557	12	7	7	0	55	0	0	0	55	0	0	0	57	4576
L04	4	55	220	0.048077	4555	12	9	9	0	55	0	0	0	55	0	0	0	57	4576
L05	5	55	275	0.060096	4551	12	13	13	0	55	0	0	0	55	0	0	0	57	4576
L06	6	55	330	0.072115	4550	13	13	13	0	55	0	0	0	55	0	0	0	57	4576
L07	7	55	385	0.084135	4547	13	16	16	0	55	0	0	0	55	0	0	0	57	4576
L08	8	55	440	0.096154	4546	13	17	17	0	55	0	0	0	55	0	0	0	57	4576
L09	9	55	495	0.108173	4544	13	19	19	0	55	0	0	0	55	0	0	0	57	4576
L10	10	55	550	0.120192	4543	14	19	19	0	55	0	0	0	55	0	0	0	57	4576
L11	11	55	605	0.132212	4543	14	19	19	0	55	0	0	0	55	0	0	0	57	4576
L12	12	55	660	0.144231	4542	14	20	20	0	55	0	0	0	55	0	0	0	57	4576
L13	13	55	715	0.156250	4539	14	23	23	0	55	0	0	0	55	0	0	0	57	4576
L14	14	55	770	0.168269	4536	14	26	26	0	55	0	0	0	54	1	0	0	57	4576
L15	15	55	825	0.180288	4532	13	31	31	0	55	0	0	0	51	2	2	0	57	4576
L16	16	55	880	0.192308	4531	13	32	32	0	49	0	6	0	49	2	4	0	57	4576
