length_id	island_length	island_id	anchor_id	island_position	event_id	stream_ordinal	statement_id	physical_page	owner_de	source_recipe	replacement_recipe	neighbor_id	mutation_family	variant_selection_rule	nested_anchor_rule
L01	1	G457-L01-G457-A001	G457-A001	1	G407-E0006	6	G404-S001	f1r	F1R_TEXT_BLOCK_A	SH+OR+Y	OR+SH+Y	G447-N26925	ADJACENT_SWAP	SOURCE_BOUND_SHA256_MIN__NO_OUTCOME_FIELD	PREFIX_OF_FIXED_16_CARD_WINDOW
L01	1	G457-L01-G457-A002	G457-A002	1	G407-E0135	135	G404-S005	f1r	F1R_TEXT_BLOCK_C	D_ADDR+A_ADDR+LOCAL_CHAR_I+Y	A_ADDR+LOCAL_CHAR_I+Y	G447-N08095	ATOM_DELETION	SOURCE_BOUND_SHA256_MIN__NO_OUTCOME_FIELD	PREFIX_OF_FIXED_16_CARD_WINDOW
L01	1	G457-L01-G457-A003	G457-A003	1	G407-E0160	160	G404-S006	f1r	F1R_TEXT_BLOCK_D	CH+P+O	CH+CHD+O	G447-N06352	SAME_CLASS_SUBSTITUTION	SOURCE_BOUND_SHA256_MIN__NO_OUTCOME_FIELD	PREFIX_OF_FIXED_16_CARD_WINDOW
L01	1	G457-L01-G457-A004	G457-A004	1	G407-E0237	237	P1009-S001	f10r	zweiknolliges blauköpfiges Heilkraut	CH+O+CH+T+Y	CH+O+CH+CHD+Y	G447-N05110	SAME_CLASS_SUBSTITUTION	SOURCE_BOUND_SHA256_MIN__NO_OUTCOME_FIELD	PREFIX_OF_FIXED_16_CARD_WINDOW
L01	1	G457-L01-G457-A005	G457-A005	1	G407-E0283	283	P1009-S002	f10r	zweiknolliges blauköpfiges Heilkraut	AIIN	AIN	G447-N00002	SAME_CLASS_SUBSTITUTION	SOURCE_BOUND_SHA256_MIN__NO_OUTCOME_FIELD	PREFIX_OF_FIXED_16_CARD_WINDOW
L01	1	G457-L01-G457-A006	G457-A006	1	G407-E0323	323	P1009-S004	f11r	blühender dreikroniger Sodenstock	AIIN	AIN	G447-N00002	SAME_CLASS_SUBSTITUTION	SOURCE_BOUND_SHA256_MIN__NO_OUTCOME_FIELD	PREFIX_OF_FIXED_16_CARD_WINDOW
L01	1	G457-L01-G457-A007	G457-A007	1	G407-E0367	367	P1009-S005	f13r	große Wurzelkrone mit Blatt und Blütenstand	O+P+Y	O+CH+Y	G447-N14594	SAME_CLASS_SUBSTITUTION	SOURCE_BOUND_SHA256_MIN__NO_OUTCOME_FIELD	PREFIX_OF_FIXED_16_CARD_WINDOW
L01	1	G457-L01-G457-A008	G457-A008	1	G407-E0460	460	P1009-S014	f17r	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	O+D_ADDR+CH+T+Y	O+D_ADDR+CH+CH+Y	G447-N13533	SAME_CLASS_SUBSTITUTION	SOURCE_BOUND_SHA256_MIN__NO_OUTCOME_FIELD	PREFIX_OF_FIXED_16_CARD_WINDOW
L01	1	G457-L01-G457-A009	G457-A009	1	G407-E0505	505	P1009-S017	f17r	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	DA+S	DA	G447-N07860	ATOM_DELETION	SOURCE_BOUND_SHA256_MIN__NO_OUTCOME_FIELD	PREFIX_OF_FIXED_16_CARD_WINDOW
L01	1	G457-L01-G457-A010	G457-A010	1	G407-E0524	524	P1009-S019	f18r	große abgebildete Blütenpflanze	Y+K+OL	K+Y+OL	G447-N29555	ADJACENT_SWAP	SOURCE_BOUND_SHA256_MIN__NO_OUTCOME_FIELD	PREFIX_OF_FIXED_16_CARD_WINDOW
