visible_surface	relation_suffix	prefix_surface	component_parse	composed_short_value_de	group_count	pages	loci
opodchol	OL	opodch	LOCAL_OPODCH+OL	lokalen OPODCH-Posten im selben Lauf weiterfuehren	1	f67r2	f67r2.13
yteoor	OR	yteo	LOCAL_YTEO+OR	Bedingungsansatz des lokalen YTEO-Postens	1	f67r2	f67r2.26
ykor	OR	yk	LOCAL_YK+OR	Bedingungsansatz des lokalen YK-Postens	2	f67r2|f68r1	f67r2.26|f68r1.3
ochol	OL	och	LOCAL_OCH+OL	lokalen OCH-Posten im selben Lauf weiterfuehren	1	f67r2	f67r2.30
olol	OL	ol	OL+OL	im selben Lauf nochmals weiter	1	f67r2	f67r2.30
okol	OL	ok	OK+OL	den Posten einsetzen und im selben Lauf weiter	2	f67r2	f67r2.35|f67r2.73
ytor	OR	yt	LOCAL_YT+OR	Bedingungsansatz des lokalen YT-Postens	1	f67r2	f67r2.36
otolor	OR	otol	OT+OL+OR	naechster Posten; gleiche Reihe; neuer Bedingungsansatz	1	f67r2	f67r2.62
cphol	OL	cph	LOCAL_CPH+OL	lokalen CPH-Posten im selben Lauf weiterfuehren	1	f68r1	f68r1.1
cheor	OR	che	LOCAL_CHE+OR	Bedingungsansatz des lokalen CHE-Postens	2	f68r1|f69v	f68r1.1|f69v.3
opcheeol	OL	opchee	LOCAL_OPCH+EE+OL	lokalen Posten laenger im selben Lauf weiterfuehren	1	f68r1	f68r1.1
otor	OR	ot	OT+OR	naechster Bedingungsansatz	2	f68r1	f68r1.1|f68r1.26
chpor	OR	chp	LOCAL_CHP+OR	Bedingungsansatz des lokalen CHP-Postens	1	f68r1	f68r1.2
ror	OR	r	LOCAL_R+OR	Bedingungsansatz des lokalen R-Postens	1	f68r1	f68r1.3
dchor	OR	dch	LOCAL_DCH+OR	Bedingungsansatz des lokalen DCH-Postens	2	f68r1|f69v	f68r1.4|f69v.1
ofcheor	OR	ofche	LOCAL_OFCHE+OR	Bedingungsansatz des lokalen OFCHE-Postens	1	f68r1	f68r1.22
okshor	OR	oksh	OK+SH+OR	ruhenden Bedingungsansatz einsetzen	1	f68r1	f68r1.33
iokeeor	OR	iokee	LOCAL_I+OK+EE+OR	lokalen Bedingungsansatz laenger aktiv halten	1	f69v	f69v.2
qoteor	OR	qote	Q_FRAME+OT+E+OR	danach einen kurzen Bedingungsansatz setzen	1	f69v	f69v.3
oteol	OL	ote	OT+E+OL	danach kurz im selben Lauf weiter	1	f69v	f69v.16
