group_serial	page	locus	visible_owner	namespace_id	visible_surface	prefix_surface	relation_suffix	relation_contribution_de	component_parse	composed_short_value_de	composition_status	existing_diagram_reading_de
29	f67r2	f67r2.13	A1_RIGHT_RING_BAND_01	F67_RIGHT_WHEEL_NS	opodchol	opodch	OL	IM_SELBEN_LAUF_WEITER	LOCAL_OPODCH+OL	lokalen OPODCH-Posten im selben Lauf weiterfuehren	LOCAL_PREFIX_PLUS_RELATION_SUFFIX	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest opodch.
63	f67r2	f67r2.26	A1_LEFT_LOCAL_FIELD_26	F67_LEFT_WHEEL_NS	yteoor	yteo	OR	BEDINGUNGSANSATZ	LOCAL_YTEO+OR	Bedingungsansatz des lokalen YTEO-Postens	LOCAL_PREFIX_PLUS_RELATION_SUFFIX	Sternplatz A1_LEFT_LOCAL_FIELD_26: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest yteo.
65	f67r2	f67r2.26	A1_LEFT_LOCAL_FIELD_26	F67_LEFT_WHEEL_NS	ykor	yk	OR	BEDINGUNGSANSATZ	LOCAL_YK+OR	Bedingungsansatz des lokalen YK-Postens	LOCAL_PREFIX_PLUS_RELATION_SUFFIX	Sternplatz A1_LEFT_LOCAL_FIELD_26: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest yk.
74	f67r2	f67r2.30	A1_LEFT_LOCAL_FIELD_30	F67_LEFT_WHEEL_NS	ochol	och	OL	IM_SELBEN_LAUF_WEITER	LOCAL_OCH+OL	lokalen OCH-Posten im selben Lauf weiterfuehren	LOCAL_PREFIX_PLUS_RELATION_SUFFIX	Sternplatz A1_LEFT_LOCAL_FIELD_30: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest och.
75	f67r2	f67r2.30	A1_LEFT_LOCAL_FIELD_30	F67_LEFT_WHEEL_NS	olol	ol	OL	IM_SELBEN_LAUF_WEITER	OL+OL	im selben Lauf nochmals weiter	FULL_OR_PARTIAL_RELATION_COMPOSITION	Sternplatz A1_LEFT_LOCAL_FIELD_30: im selben Ring, Band oder Satz fortsetzen + im selben Ring, Band oder Satz fortsetzen.
88	f67r2	f67r2.35	A1_LEFT_LOCAL_FIELD_35	F67_LEFT_WHEEL_NS	okol	ok	OL	IM_SELBEN_LAUF_WEITER	OK+OL	den Posten einsetzen und im selben Lauf weiter	FULL_OR_PARTIAL_RELATION_COMPOSITION	Sternplatz A1_LEFT_LOCAL_FIELD_35: Diagrammposten setzen oder aktivieren + im selben Ring, Band oder Satz fortsetzen.
89	f67r2	f67r2.36	A1_LEFT_LOCAL_FIELD_36	F67_LEFT_WHEEL_NS	ytor	yt	OR	BEDINGUNGSANSATZ	LOCAL_YT+OR	Bedingungsansatz des lokalen YT-Postens	LOCAL_PREFIX_PLUS_RELATION_SUFFIX	Sternplatz A1_LEFT_LOCAL_FIELD_36: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest yt.
143	f67r2	f67r2.62	A1_LEFT_OUTER_STAR_STATION_11	F67_LEFT_WHEEL_NS	otolor	otol	OR	BEDINGUNGSANSATZ	OT+OL+OR	naechster Posten; gleiche Reihe; neuer Bedingungsansatz	FULL_OR_PARTIAL_RELATION_COMPOSITION	Sternplatz A1_LEFT_OUTER_STAR_STATION_11: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen + Bedingungs-, Tabellen- oder Wahlansatz.
175	f67r2	f67r2.73	A1_RIGHT_OUTER_RING_TEXT	F67_RIGHT_WHEEL_NS	okol	ok	OL	IM_SELBEN_LAUF_WEITER	OK+OL	den Posten einsetzen und im selben Lauf weiter	FULL_OR_PARTIAL_RELATION_COMPOSITION	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: Diagrammposten setzen oder aktivieren + im selben Ring, Band oder Satz fortsetzen.
194	f68r1	f68r1.1	A2_LEFT_PANEL_HEADER	F68_LEFT_PANEL_HEADER_NS	cphol	cph	OL	IM_SELBEN_LAUF_WEITER	LOCAL_CPH+OL	lokalen CPH-Posten im selben Lauf weiterfuehren	LOCAL_PREFIX_PLUS_RELATION_SUFFIX	Sternplatz A2_LEFT_PANEL_HEADER: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest cph.
195	f68r1	f68r1.1	A2_LEFT_PANEL_HEADER	F68_LEFT_PANEL_HEADER_NS	cheor	che	OR	BEDINGUNGSANSATZ	LOCAL_CHE+OR	Bedingungsansatz des lokalen CHE-Postens	LOCAL_PREFIX_PLUS_RELATION_SUFFIX	Sternplatz A2_LEFT_PANEL_HEADER: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest che.
196	f68r1	f68r1.1	A2_LEFT_PANEL_HEADER	F68_LEFT_PANEL_HEADER_NS	opcheeol	opchee	OL	IM_SELBEN_LAUF_WEITER	LOCAL_OPCH+EE+OL	lokalen Posten laenger im selben Lauf weiterfuehren	FULL_OR_PARTIAL_RELATION_COMPOSITION	Sternplatz A2_LEFT_PANEL_HEADER: lange oder volle Diagrammstufe + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest opch.
197	f68r1	f68r1.1	A2_LEFT_PANEL_HEADER	F68_LEFT_PANEL_HEADER_NS	otor	ot	OR	BEDINGUNGSANSATZ	OT+OR	naechster Bedingungsansatz	FULL_OR_PARTIAL_RELATION_COMPOSITION	Sternplatz A2_LEFT_PANEL_HEADER: naechster Platz oder folgende Bedingung + Bedingungs-, Tabellen- oder Wahlansatz.
