event_serial	statement_id	record_unit_id	assigned_renderer	master_card_id	profile_preferred_surface	actual_visible_surface	actual_renderer_gesture	statement_position	secondary_gesture_for_hand	resolved_by_secondary_repertoire
3	H1-S001	H1	R-D	MC055	dar	char	CH_ENTRY	MIDDLE	CH_ENTRY	YES
9	H1-S001	H1	R-D	MC039	aiin	daiin	D_ENTRY	MIDDLE	CH_ENTRY	NO
11	H1-S002	H1	R-D	MC103	okchy	qokchy	Q_ENTRY	FIRST	CH_ENTRY	NO
13	H1-S002	H1	R-D	MC153	ol	chol	CH_ENTRY	MIDDLE	CH_ENTRY	YES
16	H2-S001	H2	R-B	MC161	checthy	cthy	ZERO	MIDDLE	D_ENTRY	NO
20	H2-S001	H2	R-B	MC123	chey	dy	D_ENTRY	MIDDLE	D_ENTRY	YES
21	H2-S001	H2	R-B	MC123	chey	chy	CH_ENTRY	MIDDLE	D_ENTRY	NO
22	H2-S001	H2	R-B	MC039	aiin	taiin	T_ENTRY	MIDDLE	D_ENTRY	NO
23	H2-S001	H2	R-B	MC123	chey	shy	SH_ENTRY	LAST	D_ENTRY	NO
27	H2-S002	H2	R-B	MC153	qol	chol	CH_ENTRY	MIDDLE	D_ENTRY	NO
29	H2-S002	H2	R-B	MC153	qol	chol	CH_ENTRY	MIDDLE	D_ENTRY	NO
30	H2-S002	H2	R-B	MC039	aiin	daiin	D_ENTRY	MIDDLE	D_ENTRY	YES
31	H2-S002	H2	R-B	MC055	char	dar	D_ENTRY	LAST	D_ENTRY	YES
33	H2-S003	H2	R-B	MC080	chor	shor	SH_ENTRY	MIDDLE	D_ENTRY	NO
35	H2-S003	H2	R-B	MC123	chey	chy	CH_ENTRY	MIDDLE	D_ENTRY	NO
37	H2-S003	H2	R-B	MC123	chey	dy	D_ENTRY	MIDDLE	D_ENTRY	YES
48	H3-S003	H3	R-D	MC123	y	chy	CH_ENTRY	MIDDLE	CH_ENTRY	YES
50	H3-S003	H3	R-D	MC123	y	dy	D_ENTRY	MIDDLE	CH_ENTRY	NO
51	H3-S003	H3	R-D	MC039	aiin	daiin	D_ENTRY	LAST	CH_ENTRY	NO
55	H3-S004	H3	R-D	MC123	y	dy	D_ENTRY	LAST	CH_ENTRY	NO
56	H4-S001	H4	R-D	MC120	okaiin	qokaiin	Q_ENTRY	FIRST	CH_ENTRY	NO
57	H4-S001	H4	R-D	MC039	aiin	chaiin	CH_ENTRY	MIDDLE	CH_ENTRY	YES
61	H4-S002	H4	R-D	MC039	aiin	daiin	D_ENTRY	FIRST	CH_ENTRY	NO
62	H4-S002	H4	R-D	MC074	chdy	chedy	CH_ENTRY	MIDDLE	CH_ENTRY	YES
75	H5-S001	H5	R-C	MC034	sho	cho	OTHER_ENTRY	MIDDLE	Q_ENTRY	NO
77	H5-S001	H5	R-C	MC039	saiin	daiin	D_ENTRY	MIDDLE	Q_ENTRY	NO
82	H5-S001	H5	R-C	MC154	sal	dal	D_ENTRY	LAST	Q_ENTRY	NO
88	H5-S003	H5	R-C	MC034	sho	cho	OTHER_ENTRY	MIDDLE	Q_ENTRY	NO
91	H5-S004	H5	R-C	MC103	chokchy	okchy	ZERO	FIRST	Q_ENTRY	NO
100	H5-S006	H5	R-C	MC039	saiin	daiin	D_ENTRY	LAST	Q_ENTRY	NO
105	B1-S002	B1	R-D	MC055	dar	sar	S_ENTRY	MIDDLE	CH_ENTRY	NO
116	B1-S002	B1	R-D	MC039	aiin	daiin	D_ENTRY	MIDDLE	CH_ENTRY	NO
118	B1-S002	B1	R-D	MC039	aiin	daiin	D_ENTRY	MIDDLE	CH_ENTRY	NO
120	B1-S002	B1	R-D	MC025	dchedy	schedy	S_ENTRY	LAST	CH_ENTRY	NO
121	B1-S003	B1	R-D	MC153	ol	qol	Q_ENTRY	FIRST	CH_ENTRY	NO
123	B1-S004	B1	R-D	MC074	chdy	chedy	CH_ENTRY	FIRST	CH_ENTRY	YES
125	B1-S004	B1	R-D	MC128	tedy	shedy	SH_ENTRY	LAST	CH_ENTRY	NO
126	B1-S005	B1	R-D	MC028	olchedy	qolchedy	Q_ENTRY	ONLY	CH_ENTRY	NO
127	B1-S006	B1	R-D	MC017	okain	qokain	Q_ENTRY	FIRST	CH_ENTRY	NO
128	B1-S006	B1	R-D	MC035	chckhy	shckhy	S_ENTRY	MIDDLE	CH_ENTRY	NO
132	B1-S008	B1	R-D	MC123	y	chey	CH_ENTRY	FIRST	CH_ENTRY	YES
136	B1-S008	B1	R-D	MC128	tedy	shedy	SH_ENTRY	LAST	CH_ENTRY	NO
140	B1-S011	B1	R-D	MC026	oky	qoky	Q_ENTRY	LAST	CH_ENTRY	NO
142	B1-S012	B1	R-D	MC007	okey	qokey	Q_ENTRY	MIDDLE	CH_ENTRY	NO
145	B1-S014	B1	R-D	MC074	chdy	chedy	CH_ENTRY	FIRST	CH_ENTRY	YES
148	B1-S014	B1	R-D	MC153	ol	qol	Q_ENTRY	MIDDLE	CH_ENTRY	NO
152	B1-S016	B1	R-D	MC040	okal	qokal	Q_ENTRY	FIRST	CH_ENTRY	NO
154	B1-S016	B1	R-D	MC153	ol	qol	Q_ENTRY	MIDDLE	CH_ENTRY	NO
155	B1-S016	B1	R-D	MC128	tedy	cheedy	CH_ENTRY	LAST	CH_ENTRY	YES
156	B1-S017	B1	R-D	MC154	al	sal	S_ENTRY	FIRST	CH_ENTRY	NO
166	B1-S021	B1	R-D	MC154	al	chal	CH_ENTRY	ONLY	CH_ENTRY	YES
170	B2-S003	B2	R-B	MC123	chey	dy	D_ENTRY	MIDDLE	D_ENTRY	YES
190	B2-S008	B2	R-B	MC060	otaiin	sotaiin	S_ENTRY	FIRST	D_ENTRY	NO
192	B2-S008	B2	R-B	MC128	cheedy	shedy	SH_ENTRY	LAST	D_ENTRY	NO
198	B2-S011	B2	R-B	MC017	qokain	okain	ZERO	FIRST	D_ENTRY	NO
200	B2-S011	B2	R-B	MC017	qokain	okain	ZERO	MIDDLE	D_ENTRY	NO
207	B2-S012	B2	R-B	MC039	aiin	daiin	D_ENTRY	MIDDLE	D_ENTRY	YES
214	B2-S016	B2	R-B	MC154	al	cheal	CH_ENTRY	FIRST	D_ENTRY	NO
220	B2-S016	B2	R-B	MC007	qokey	okey	ZERO	MIDDLE	D_ENTRY	NO
233	B3-S003	B3	R-B	MC039	aiin	daiin	D_ENTRY	MIDDLE	D_ENTRY	YES
238	B3-S004	B3	R-B	MC055	char	dar	D_ENTRY	LAST	D_ENTRY	YES
239	B3-S005	B3	R-B	MC025	dchedy	schedy	S_ENTRY	ONLY	D_ENTRY	NO
242	B3-S006	B3	R-B	MC028	qolchedy	olchedy	ZERO	LAST	D_ENTRY	NO
244	B3-S007	B3	R-B	MC074	chdy	chedy	CH_ENTRY	MIDDLE	D_ENTRY	NO
252	B3-S011	B3	R-B	MC074	chdy	chedy	CH_ENTRY	MIDDLE	D_ENTRY	NO
254	B3-S012	B3	R-B	MC080	chor	sor	S_ENTRY	FIRST	D_ENTRY	NO
255	B3-S012	B3	R-B	MC128	cheedy	shedy	SH_ENTRY	LAST	D_ENTRY	NO
258	B3-S013	B3	R-B	MC073	qcthey	shcthey	SH_ENTRY	MIDDLE	D_ENTRY	NO
266	B3-S018	B3	R-B	MC128	cheedy	shedy	SH_ENTRY	ONLY	D_ENTRY	NO
268	B3-S020	B3	R-B	MC154	al	dal	D_ENTRY	FIRST	D_ENTRY	YES
271	B3-S021	B3	R-B	MC161	checthy	shcthy	SH_ENTRY	MIDDLE	D_ENTRY	NO
272	B3-S021	B3	R-B	MC154	al	dal	D_ENTRY	MIDDLE	D_ENTRY	YES
273	B3-S021	B3	R-B	MC123	chey	sy	S_ENTRY	MIDDLE	D_ENTRY	NO
274	B3-S021	B3	R-B	MC039	aiin	saiin	S_ENTRY	MIDDLE	D_ENTRY	NO
278	B3-S021	B3	R-B	MC154	al	tal	T_ENTRY	MIDDLE	D_ENTRY	NO
279	B3-S021	B3	R-B	MC161	checthy	shcthy	SH_ENTRY	MIDDLE	D_ENTRY	NO
283	B3-S024	B3	R-B	MC025	dchedy	tchedy	T_ENTRY	ONLY	D_ENTRY	NO
287	B3-S026	B3	R-B	MC074	chdy	chedy	CH_ENTRY	MIDDLE	D_ENTRY	NO
291	B3-S026	B3	R-B	MC045	olkeedy	solkeedy	S_ENTRY	LAST	D_ENTRY	NO
295	B3-S029	B3	R-B	MC153	qol	sol	S_ENTRY	FIRST	D_ENTRY	NO
299	B3-S030	B3	R-B	MC039	aiin	saiin	S_ENTRY	MIDDLE	D_ENTRY	NO
301	B3-S030	B3	R-B	MC057	qotchedy	otchedy	ZERO	LAST	D_ENTRY	NO
304	B3-S032	B3	R-B	MC074	chdy	chedy	CH_ENTRY	MIDDLE	D_ENTRY	NO
309	B3-S034	B3	R-B	MC033	oiiin	soiiin	S_ENTRY	FIRST	D_ENTRY	NO
314	B3-S034	B3	R-B	MC128	cheedy	shedy	SH_ENTRY	LAST	D_ENTRY	NO
317	B4-S002	B4	R-C	MC002	okeey	qokeey	Q_ENTRY	MIDDLE	Q_ENTRY	YES
319	B4-S003	B4	R-C	MC074	chdy	chedy	CH_ENTRY	FIRST	Q_ENTRY	NO
322	B4-S003	B4	R-C	MC002	okeey	qokeey	Q_ENTRY	MIDDLE	Q_ENTRY	YES
323	B4-S003	B4	R-C	MC026	choky	qoky	Q_ENTRY	MIDDLE	Q_ENTRY	YES
324	B4-S003	B4	R-C	MC153	sol	tol	T_ENTRY	MIDDLE	Q_ENTRY	NO
328	B4-S005	B4	R-C	MC074	chdy	chedy	CH_ENTRY	MIDDLE	Q_ENTRY	NO
348	B4-S014	B4	R-C	MC080	shor	or	ZERO	FIRST	Q_ENTRY	NO
349	B4-S014	B4	R-C	MC123	shy	chey	CH_ENTRY	MIDDLE	Q_ENTRY	NO
352	B4-S015	B4	R-C	MC017	okain	qokain	Q_ENTRY	FIRST	Q_ENTRY	YES
354	B4-S015	B4	R-C	MC105	chkain	kain	ZERO	MIDDLE	Q_ENTRY	NO
358	B4-S016	B4	R-C	MC097	olkain	qolkain	Q_ENTRY	FIRST	Q_ENTRY	YES
359	B4-S016	B4	R-C	MC154	sal	dal	D_ENTRY	MIDDLE	Q_ENTRY	NO
365	B5-S003	B5	R-A	MC154	al	dal	D_ENTRY	MIDDLE	D_ENTRY	YES
370	B5-S003	B5	R-A	MC153	cheol	sol	S_ENTRY	MIDDLE	D_ENTRY	NO
372	B5-S003	B5	R-A	MC074	chdy	chedy	CH_ENTRY	LAST	D_ENTRY	NO
377	B6-S001	B6	R-D	MC039	aiin	daiin	D_ENTRY	MIDDLE	CH_ENTRY	NO
380	B6-S001	B6	R-D	MC123	y	chey	CH_ENTRY	MIDDLE	CH_ENTRY	YES
