event_serial	statement_id	record_unit_id	page	assigned_renderer	workshop_hand	master_card_id	semantic_atoms	actual_visible_surface	profile_preferred_surface	surface_match	learning_mode	revised_renderer_status
1	H1-S001	H1	f10r	R-D	KURZHAND	MC071	DCHE+Y	dchey	dchey	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
2	H1-S001	H1	f10r	R-D	KURZHAND	MC158	CTH+OR	cthoor	cthoor	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
3	H1-S001	H1	f10r	R-D	KURZHAND	MC055	AR	char	dar	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17	SECONDARY_REPERTOIRE_MATCH
4	H1-S001	H1	f10r	R-D	KURZHAND	MC086	PARTITION+TY	chty	chty	YES	MEMORIZE_SHARED_17	PRIMARY_HABIT_MATCH
5	H1-S001	H1	f10r	R-D	KURZHAND	MC159	OS	os	os	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
6	H1-S001	H1	f10r	R-D	KURZHAND	MC014	AIR	chair	chair	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
7	H1-S001	H1	f10r	R-D	KURZHAND	MC069	OT+TY+OL	otytchol	otytchol	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
8	H1-S001	H1	f10r	R-D	KURZHAND	MC026	OK+Y	oky	oky	YES	MEMORIZE_SHARED_17	PRIMARY_HABIT_MATCH
9	H1-S001	H1	f10r	R-D	KURZHAND	MC039	AIIN	daiin	aiin	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17	COPY_MASTER_EXEMPLAR_OVERRIDE
10	H1-S001	H1	f10r	R-D	KURZHAND	MC108	E+TY	etyd	etyd	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
11	H1-S002	H1	f10r	R-D	KURZHAND	MC103	OK+Y	qokchy	okchy	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	COPY_SINGLETON_FROM_MASTER	COPY_MASTER_EXEMPLAR_OVERRIDE
12	H1-S002	H1	f10r	R-D	KURZHAND	MC163	OT+OL	qotchol	qotchol	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
13	H1-S002	H1	f10r	R-D	KURZHAND	MC153	OL	chol	ol	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17	SECONDARY_REPERTOIRE_MATCH
14	H1-S002	H1	f10r	R-D	KURZHAND	MC161	CTH+Y	cthy	cthy	YES	MEMORIZE_SHARED_17	PRIMARY_HABIT_MATCH
15	H2-S001	H2	f10r	R-B	Q-EINTRITTSHAND	MC075	Y+CHEO+OR	ycheor	ycheor	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
16	H2-S001	H2	f10r	R-B	Q-EINTRITTSHAND	MC161	CTH+Y	cthy	checthy	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17	COPY_MASTER_EXEMPLAR_OVERRIDE
17	H2-S001	H2	f10r	R-B	Q-EINTRITTSHAND	MC080	OR	chor	chor	YES	MEMORIZE_SHARED_17	PRIMARY_HABIT_MATCH
18	H2-S001	H2	f10r	R-B	Q-EINTRITTSHAND	MC169	CTH+AIIN	cthaiin	cthaiin	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
19	H2-S001	H2	f10r	R-B	Q-EINTRITTSHAND	MC115	CTH+OL+Y	qoctholy	qoctholy	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
20	H2-S001	H2	f10r	R-B	Q-EINTRITTSHAND	MC123	Y	dy	chey	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17	SECONDARY_REPERTOIRE_MATCH
21	H2-S001	H2	f10r	R-B	Q-EINTRITTSHAND	MC123	Y	chy	chey	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17	COPY_MASTER_EXEMPLAR_OVERRIDE
22	H2-S001	H2	f10r	R-B	Q-EINTRITTSHAND	MC039	AIIN	taiin	aiin	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17	COPY_MASTER_EXEMPLAR_OVERRIDE
23	H2-S001	H2	f10r	R-B	Q-EINTRITTSHAND	MC123	Y	shy	chey	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17	COPY_MASTER_EXEMPLAR_OVERRIDE
24	H2-S002	H2	f10r	R-B	Q-EINTRITTSHAND	MC013	OT+OR	qotchor	qotchor	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
25	H2-S002	H2	f10r	R-B	Q-EINTRITTSHAND	MC080	OR	chor	chor	YES	MEMORIZE_SHARED_17	PRIMARY_HABIT_MATCH
26	H2-S002	H2	f10r	R-B	Q-EINTRITTSHAND	MC053	OT+OL	otol	otol	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
27	H2-S002	H2	f10r	R-B	Q-EINTRITTSHAND	MC153	OL	chol	qol	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17	COPY_MASTER_EXEMPLAR_OVERRIDE
28	H2-S002	H2	f10r	R-B	Q-EINTRITTSHAND	MC157	OL+OR	cholor	cholor	YES	MEMORIZE_SHARED_17	PRIMARY_HABIT_MATCH
29	H2-S002	H2	f10r	R-B	Q-EINTRITTSHAND	MC153	OL	chol	qol	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17	COPY_MASTER_EXEMPLAR_OVERRIDE
30	H2-S002	H2	f10r	R-B	Q-EINTRITTSHAND	MC039	AIIN	daiin	aiin	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17	SECONDARY_REPERTOIRE_MATCH
31	H2-S002	H2	f10r	R-B	Q-EINTRITTSHAND	MC055	AR	dar	char	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17	SECONDARY_REPERTOIRE_MATCH
32	H2-S003	H2	f10r	R-B	Q-EINTRITTSHAND	MC027	Y+KCH+OR	oykchor	oykchor	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
33	H2-S003	H2	f10r	R-B	Q-EINTRITTSHAND	MC080	OR	shor	chor	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17	COPY_MASTER_EXEMPLAR_OVERRIDE
34	H2-S003	H2	f10r	R-B	Q-EINTRITTSHAND	MC080	OR	chor	chor	YES	MEMORIZE_SHARED_17	PRIMARY_HABIT_MATCH
35	H2-S003	H2	f10r	R-B	Q-EINTRITTSHAND	MC123	Y	chy	chey	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17	COPY_MASTER_EXEMPLAR_OVERRIDE
36	H2-S003	H2	f10r	R-B	Q-EINTRITTSHAND	MC048	IIN	kaiiin	kaiiin	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
37	H2-S003	H2	f10r	R-B	Q-EINTRITTSHAND	MC123	Y	dy	chey	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17	SECONDARY_REPERTOIRE_MATCH
38	H2-S003	H2	f10r	R-B	Q-EINTRITTSHAND	MC087	HO+AIIN	chodaiin	chodaiin	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
39	H3-S001	H3	f11r	R-D	KURZHAND	MC098	HO+L	tshol	tshol	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
40	H3-S001	H3	f11r	R-D	KURZHAND	MC049	HO+AL	schoal	schoal	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
41	H3-S001	H3	f11r	R-D	KURZHAND	MC129	CFH+Y	cfhy	cfhy	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
42	H3-S001	H3	f11r	R-D	KURZHAND	MC111	SH+AIIN	shfydaiin	shfydaiin	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
43	H3-S001	H3	f11r	R-D	KURZHAND	MC156	CPH+Y	cphy	cphy	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
44	H3-S001	H3	f11r	R-D	KURZHAND	MC119	CHEEY	shey	shey	YES	MEMORIZE_SHARED_17	PRIMARY_HABIT_MATCH
45	H3-S001	H3	f11r	R-D	KURZHAND	MC037	HO+CLOSE	tchody	tchody	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
46	H3-S002	H3	f11r	R-D	KURZHAND	MC062	HO+Y+TY	shoyty	shoyty	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
47	H3-S003	H3	f11r	R-D	KURZHAND	MC142	DCHOL	dchol	dchol	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
48	H3-S003	H3	f11r	R-D	KURZHAND	MC123	Y	chy	y	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17	SECONDARY_REPERTOIRE_MATCH
49	H3-S003	H3	f11r	R-D	KURZHAND	MC117	KCH+Y	kchy	kchy	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
50	H3-S003	H3	f11r	R-D	KURZHAND	MC123	Y	dy	y	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17	COPY_MASTER_EXEMPLAR_OVERRIDE
51	H3-S003	H3	f11r	R-D	KURZHAND	MC039	AIIN	daiin	aiin	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17	COPY_MASTER_EXEMPLAR_OVERRIDE
52	H3-S004	H3	f11r	R-D	KURZHAND	MC107	OT+Y	qotchy	qotchy	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
53	H3-S004	H3	f11r	R-D	KURZHAND	MC041	OK+OL	okchol	okchol	YES	COPY_SINGLETON_FROM_MASTER	PRIMARY_HABIT_MATCH
54	H3-S004	H3	f11r	R-D	KURZHAND	MC161	CTH+Y	cthy	cthy	YES	MEMORIZE_SHARED_17	PRIMARY_HABIT_MATCH
55	H3-S004	H3	f11r	R-D	KURZHAND	MC123	Y	dy	y	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17	COPY_MASTER_EXEMPLAR_OVERRIDE
56	H4-S001	H4	f55v	R-D	KURZHAND	MC120	OK+AIIN	qokaiin	okaiin	NO__COPY_PAGE_EXEMPLAR_OVERRIDE	MEMORIZE_SHARED_17	COPY_MASTER_EXEMPLAR_OVERRIDE
