override_id	locus	ordinal	surface	practical_default_de	reason_de	score_credit	default_is_translation	confirmed_lexeme	component_export_credit
G772-R001	f112r.36	1	sain	Wert-/Mengenform II	Retired Samen/Saatgut literal removed after the exact amount-span correction.	0	0	0	0
G772-R002	f112r.36	3	checkhy	trockene Zubereitungsform, Anfangsstufe	Keep the admitted preparation/stage reading without importing a mixture identity.	0	0	0	0
G772-R003	f112r.36	4	olchain	trockener Zubereitungsposten, Stufe II; Stoff offen	Retired Holz compound prose removed; exact whole remains a display default.	0	0	0	0
G772-R004	f112r.36	6	olam	Maßposten I; Stoff offen	Retired Holz identity removed while retaining the broad measure display.	0	0	0	0
G772-R005	f30v.2	1	qotchor	kalt-trockener Inhaltsposten	Avoid a free Drogen or chor component identity in an exact-whole display.	0	0	0	0
G772-R006	f30v.2	4	kchor	heiß-trockener Inhaltsposten	Avoid a free Drogen or chor component identity in an exact-whole display.	0	0	0	0
G772-R007	f30v.2	6	keor	heißer Mengen-/Inhaltsposten	Expose the audited amount/value role without claiming a historical unit.	0	0	0	0
G772-R008	f81r.15	1	sain	Wert-/Mengenform II	Retired Samen/Saatgut literal removed after the exact amount-span correction.	0	0	0	0
G772-R009	f81r.22	3	qol	Zugabe-/Inhaltsfeld; genaue Funktion offen	Old source-composed Drogenstoff command is not used as target-independent prose.	0	0	0	0
G772-R010	f82r.33	1	sain	Wert-/Mengenform II	Retired Samen/Saatgut literal removed after the exact amount-span correction.	0	0	0	0
G772-R011	f82r.33	3	cheol	Trockenmaterial	Remove the generic Drogenstoff head while retaining the whole-form dry-material display.	0	0	0	0
G772-R012	f82r.33	5	cheor	Trockenportion	Remove the generic Drogenteil head while retaining the whole-form dry/portion display.	0	0	0	0
G772-R013	f30v.2	10	ctholdy	Blatt-/Krautgut fertigstellen	Remove the generic Drogenstoff head while retaining the exact-whole completion display.	0	0	0	0
G772-R014	f85r1.21	6	cheocthey	trockene Zubereitungsform I	Remove the generic Drogenzubereitung head without exporting a component meaning.	0	0	0	0
