edge_role_id	locus	ordinal	surface	structural_roles	score_use	source_artifact	source_row	rationale	default_is_translation	confirmed_lexeme	component_export_credit
G772-E001	f112r.36	1	sain	AMOUNT|VALUE	LEFT_OF_FULL_OL	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/QUANTITY_281_EXPRESSION_ATLAS.tsv	G760-E0075	Exact fused amount expression immediately left of ol; unit and identity remain open.	0	0	0
G772-E002	f112r.36	3	checkhy	PREPARATION	RIGHT_OF_FULL_OL	experiments/yolo/gdt771_complete_cache_discriminator_sufficiency/artifacts/OL_LEFT_BRANCH_ATLAS.tsv	G771-O004	Carry only the admitted CONTENT_PREPARATION to PREPARATION crosswalk.	0	0	0
G772-E003	f30v.2	6	keor	AMOUNT|VALUE	LEFT_OF_FULL_OL	experiments/yolo/gdt771_complete_cache_discriminator_sufficiency/src/OL_LEFT_ROLE_TRANSFERS.tsv	G771-LT01	Carry only the audited amount/value edge.	0	0	0
G772-E004	f30v.2	8	chy	FIELD	RIGHT_OF_FULL_OL	experiments/yolo/gdt771_complete_cache_discriminator_sufficiency/src/OL_RIGHT_ROLE_TRANSFERS.tsv	G771-RT03	Carry the twice frozen exact-whole FIELD role.	0	0	0
G772-E005	f75r.26	1	dain	VALUE	LEFT_OF_FULL_OL	experiments/yolo/gdt771_complete_cache_discriminator_sufficiency/src/OL_BARE_VALUE_FORMS.tsv	dain	Licensed bare value whole; exact axis remains open.	0	0	0
G772-E006	f75r.26	3	sheol	PREPARATION	RIGHT_OF_FULL_OL	experiments/yolo/gdt771_complete_cache_discriminator_sufficiency/artifacts/OL_LEFT_BRANCH_ATLAS.tsv	G771-O008	Carry only the admitted CONTENT_PREPARATION to PREPARATION crosswalk.	0	0	0
G772-E007	f75r.26	4	dain	VALUE	LEFT_OF_COLLATERAL_OL	experiments/yolo/gdt771_complete_cache_discriminator_sufficiency/src/OL_BARE_VALUE_FORMS.tsv	dain	Licensed bare value; the following qoly has no admitted right role.	0	0	0
G772-E008	f81r.15	1	sain	AMOUNT|VALUE	LEFT_OF_FULL_OL	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/QUANTITY_281_EXPRESSION_ATLAS.tsv	G760-E0217	Exact fused amount expression immediately left of ol.	0	0	0
G772-E009	f81r.15	3	cheedy	PREPARATION	RIGHT_OF_FULL_OL	experiments/yolo/gdt771_complete_cache_discriminator_sufficiency/src/OL_RIGHT_ROLE_TRANSFERS.tsv	G771-RT01	Carry only the independently inherited preparation role.	0	0	0
G772-E010	f81r.22	5	daiin	VALUE	RIGHT_OF_COLLATERAL_AND_LEFT_OF_COLLATERAL_OL	experiments/yolo/gdt771_complete_cache_discriminator_sufficiency/src/OL_BARE_VALUE_FORMS.tsv	daiin	Licensed bare value whole; exact amount, grade, or class identity remains open.	0	0	0
G772-E011	f81r.22	7	chedar	AMOUNT|VALUE	RIGHT_OF_COLLATERAL_AND_LEFT_OF_FULL_OL	experiments/yolo/gdt771_complete_cache_discriminator_sufficiency/src/OL_LEFT_ROLE_TRANSFERS.tsv	G771-LT02	Carry only the audited amount/value edge; QUALITY_STAGE is not renamed FIELD.	0	0	0
G772-E012	f81r.22	9	oly	FIELD|PROCESS	RIGHT_OF_FULL_OL	experiments/yolo/gdt771_complete_cache_discriminator_sufficiency/src/OL_RIGHT_ROLE_TRANSFERS.tsv	G771-RT04	Carry the independently repeated exact-whole process/field role.	0	0	0
G772-E013	f82r.33	1	sain	AMOUNT|VALUE	LEFT_OF_FULL_OL	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/QUANTITY_281_EXPRESSION_ATLAS.tsv	G760-E0220	Exact fused amount expression immediately left of ol.	0	0	0
G772-E014	f82r.33	3	cheol	PREPARATION	RIGHT_OF_FULL_OL	experiments/yolo/gdt771_complete_cache_discriminator_sufficiency/artifacts/OL_LEFT_BRANCH_ATLAS.tsv	G771-O022	Carry only the admitted CONTENT_PREPARATION to PREPARATION crosswalk.	0	0	0
G772-E015	f85r1.21	3	oraiin	AMOUNT|VALUE	LEFT_OF_FULL_OL	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/QUANTITY_281_EXPRESSION_ATLAS.tsv	G760-E0233	Exact fused amount expression immediately left of ol.	0	0	0
G772-E016	f85r1.21	5	okaiin	FIELD|PREPARATION	RIGHT_OF_FULL_OL	experiments/yolo/gdt771_complete_cache_discriminator_sufficiency/src/OL_RIGHT_ROLE_TRANSFERS.tsv	G771-RT02	Transfer the already used exact-whole field/preparation role, not its renderer.	0	0	0
