case	edition	page	leaf	bundle	writer	paragraphs	observed_heads	source_ids	status	reason	candidate_codes	cuts	rejected_cuts	duplicate_positions
1	ZL3b	f103r	103	1	STAGE_PREFIX	f103r|f103r.1-f103r.4;f103r|f103r.5-f103r.7;f103r|f103r.8-f103r.12;f103r|f103r.13-f103r.15;f103r|f103r.16-f103r.17;f103r|f103r.18-f103r.20;f103r|f103r.21-f103r.23;f103r|f103r.24-f103r.26;f103r|f103r.27-f103r.29	pchedal pocharal daroal podar dshol polchedy pcheam tchoky qokechy	ZL3b|f103r.1|G001;ZL3b|f103r.5|G001;ZL3b|f103r.8|G001;ZL3b|f103r.13|G001;ZL3b|f103r.16|G001;ZL3b|f103r.18|G001;ZL3b|f103r.21|G001;ZL3b|f103r.24|G001;ZL3b|f103r.27|G001	UNKNOWN_HEADER	INELIGIBLE_FIRST_GROUP_OR_SEAM	[]	0	{}	[]
2	ZL3b	f103r	103	1	STAGE_SUFFIX	f103r|f103r.1-f103r.4;f103r|f103r.5-f103r.7;f103r|f103r.8-f103r.12;f103r|f103r.13-f103r.15;f103r|f103r.16-f103r.17;f103r|f103r.18-f103r.20;f103r|f103r.21-f103r.23;f103r|f103r.24-f103r.26;f103r|f103r.27-f103r.29	pchedal pocharal daroal podar dshol polchedy pcheam tchoky qokechy	ZL3b|f103r.1|G001;ZL3b|f103r.5|G001;ZL3b|f103r.8|G001;ZL3b|f103r.13|G001;ZL3b|f103r.16|G001;ZL3b|f103r.18|G001;ZL3b|f103r.21|G001;ZL3b|f103r.24|G001;ZL3b|f103r.27|G001	UNKNOWN_HEADER	INELIGIBLE_FIRST_GROUP_OR_SEAM	[]	0	{}	[]
3	ZL3b	f103r	103	2	STAGE_PREFIX	f103r|f103r.5-f103r.7;f103r|f103r.8-f103r.12;f103r|f103r.13-f103r.15;f103r|f103r.16-f103r.17;f103r|f103r.18-f103r.20;f103r|f103r.21-f103r.23;f103r|f103r.24-f103r.26;f103r|f103r.27-f103r.29;f103r|f103r.30-f103r.32	pocharal daroal podar dshol polchedy pcheam tchoky qokechy pcholkchdy	ZL3b|f103r.5|G001;ZL3b|f103r.8|G001;ZL3b|f103r.13|G001;ZL3b|f103r.16|G001;ZL3b|f103r.18|G001;ZL3b|f103r.21|G001;ZL3b|f103r.24|G001;ZL3b|f103r.27|G001;ZL3b|f103r.30|G001	UNKNOWN_HEADER	INELIGIBLE_FIRST_GROUP_OR_SEAM	[]	0	{}	[]
4	ZL3b	f103r	103	2	STAGE_SUFFIX	f103r|f103r.5-f103r.7;f103r|f103r.8-f103r.12;f103r|f103r.13-f103r.15;f103r|f103r.16-f103r.17;f103r|f103r.18-f103r.20;f103r|f103r.21-f103r.23;f103r|f103r.24-f103r.26;f103r|f103r.27-f103r.29;f103r|f103r.30-f103r.32	pocharal daroal podar dshol polchedy pcheam tchoky qokechy pcholkchdy	ZL3b|f103r.5|G001;ZL3b|f103r.8|G001;ZL3b|f103r.13|G001;ZL3b|f103r.16|G001;ZL3b|f103r.18|G001;ZL3b|f103r.21|G001;ZL3b|f103r.24|G001;ZL3b|f103r.27|G001;ZL3b|f103r.30|G001	UNKNOWN_HEADER	INELIGIBLE_FIRST_GROUP_OR_SEAM	[]	0	{}	[]
5	ZL3b	f103r	103	3	STAGE_PREFIX	f103r|f103r.8-f103r.12;f103r|f103r.13-f103r.15;f103r|f103r.16-f103r.17;f103r|f103r.18-f103r.20;f103r|f103r.21-f103r.23;f103r|f103r.24-f103r.26;f103r|f103r.27-f103r.29;f103r|f103r.30-f103r.32;f103r|f103r.33-f103r.34	daroal podar dshol polchedy pcheam tchoky qokechy pcholkchdy qokeey	ZL3b|f103r.8|G001;ZL3b|f103r.13|G001;ZL3b|f103r.16|G001;ZL3b|f103r.18|G001;ZL3b|f103r.21|G001;ZL3b|f103r.24|G001;ZL3b|f103r.27|G001;ZL3b|f103r.30|G001;ZL3b|f103r.33|G001	UNKNOWN_HEADER	INELIGIBLE_FIRST_GROUP_OR_SEAM	[]	0	{}	[]
6	ZL3b	f103r	103	3	STAGE_SUFFIX	f103r|f103r.8-f103r.12;f103r|f103r.13-f103r.15;f103r|f103r.16-f103r.17;f103r|f103r.18-f103r.20;f103r|f103r.21-f103r.23;f103r|f103r.24-f103r.26;f103r|f103r.27-f103r.29;f103r|f103r.30-f103r.32;f103r|f103r.33-f103r.34	daroal podar dshol polchedy pcheam tchoky qokechy pcholkchdy qokeey	ZL3b|f103r.8|G001;ZL3b|f103r.13|G001;ZL3b|f103r.16|G001;ZL3b|f103r.18|G001;ZL3b|f103r.21|G001;ZL3b|f103r.24|G001;ZL3b|f103r.27|G001;ZL3b|f103r.30|G001;ZL3b|f103r.33|G001	UNKNOWN_HEADER	INELIGIBLE_FIRST_GROUP_OR_SEAM	[]	0	{}	[]
7	ZL3b	f103r	103	4	STAGE_PREFIX	f103r|f103r.13-f103r.15;f103r|f103r.16-f103r.17;f103r|f103r.18-f103r.20;f103r|f103r.21-f103r.23;f103r|f103r.24-f103r.26;f103r|f103r.27-f103r.29;f103r|f103r.30-f103r.32;f103r|f103r.33-f103r.34;f103r|f103r.35-f103r.36	podar dshol polchedy pcheam tchoky qokechy pcholkchdy qokeey qoke{ca}r	ZL3b|f103r.13|G001;ZL3b|f103r.16|G001;ZL3b|f103r.18|G001;ZL3b|f103r.21|G001;ZL3b|f103r.24|G001;ZL3b|f103r.27|G001;ZL3b|f103r.30|G001;ZL3b|f103r.33|G001;ZL3b|f103r.35|G001	UNKNOWN_HEADER	INELIGIBLE_FIRST_GROUP_OR_SEAM	[]	0	{}	[]
8	ZL3b	f103r	103	4	STAGE_SUFFIX	f103r|f103r.13-f103r.15;f103r|f103r.16-f103r.17;f103r|f103r.18-f103r.20;f103r|f103r.21-f103r.23;f103r|f103r.24-f103r.26;f103r|f103r.27-f103r.29;f103r|f103r.30-f103r.32;f103r|f103r.33-f103r.34;f103r|f103r.35-f103r.36	podar dshol polchedy pcheam tchoky qokechy pcholkchdy qokeey qoke{ca}r	ZL3b|f103r.13|G001;ZL3b|f103r.16|G001;ZL3b|f103r.18|G001;ZL3b|f103r.21|G001;ZL3b|f103r.24|G001;ZL3b|f103r.27|G001;ZL3b|f103r.30|G001;ZL3b|f103r.33|G001;ZL3b|f103r.35|G001	UNKNOWN_HEADER	INELIGIBLE_FIRST_GROUP_OR_SEAM	[]	0	{}	[]
9	ZL3b	f103r	103	5	STAGE_PREFIX	f103r|f103r.16-f103r.17;f103r|f103r.18-f103r.20;f103r|f103r.21-f103r.23;f103r|f103r.24-f103r.26;f103r|f103r.27-f103r.29;f103r|f103r.30-f103r.32;f103r|f103r.33-f103r.34;f103r|f103r.35-f103r.36;f103r|f103r.37-f103r.39	dshol polchedy pcheam tchoky qokechy pcholkchdy qokeey qoke{ca}r pchedy	ZL3b|f103r.16|G001;ZL3b|f103r.18|G001;ZL3b|f103r.21|G001;ZL3b|f103r.24|G001;ZL3b|f103r.27|G001;ZL3b|f103r.30|G001;ZL3b|f103r.33|G001;ZL3b|f103r.35|G001;ZL3b|f103r.37|G001	UNKNOWN_HEADER	INELIGIBLE_FIRST_GROUP_OR_SEAM	[]	0	{}	[]
10	ZL3b	f103r	103	5	STAGE_SUFFIX	f103r|f103r.16-f103r.17;f103r|f103r.18-f103r.20;f103r|f103r.21-f103r.23;f103r|f103r.24-f103r.26;f103r|f103r.27-f103r.29;f103r|f103r.30-f103r.32;f103r|f103r.33-f103r.34;f103r|f103r.35-f103r.36;f103r|f103r.37-f103r.39	dshol polchedy pcheam tchoky qokechy pcholkchdy qokeey qoke{ca}r pchedy	ZL3b|f103r.16|G001;ZL3b|f103r.18|G001;ZL3b|f103r.21|G001;ZL3b|f103r.24|G001;ZL3b|f103r.27|G001;ZL3b|f103r.30|G001;ZL3b|f103r.33|G001;ZL3b|f103r.35|G001;ZL3b|f103r.37|G001	UNKNOWN_HEADER	INELIGIBLE_FIRST_GROUP_OR_SEAM	[]	0	{}	[]
