statement_id	record_unit_id	page	loci	event_count	fusion_unit_count	surface_sequence	corrected_atom_chain	attachment_skeleton_de	continuous_workshop_reading_de	equal_distance_attachments	elliptic_owner_supplied_head	crosses_physical_line	dch_correction_present
H1-S001	H1	f10r	f10r.2	10	4	dchey cthoor char chty os chair otytchol oky daiin etyd	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	Vorgabe Wurzel als aktueller Posten: Halte den Ansatz bereit; dazu aus dem Ansatz / Trenne einen Teil ab; dazu Mischgefäß / Vorgabe Wasserzulauf: Führe den nächsten Teil fort / Setze den aktuellen Posten; dazu Sollmaß; kleiner Restteil	Nimm die Wurzel als aktuellen Posten, halte den Ansatz bereit, nimm vom Ausgang, trenne einen Teil, gib ihn in den Träger, öffne den Wasserlauf, führe den nächsten Teil weiter und stelle auf den Vorgabewert ein.	1	NO	NO	NO
H1-S002	H1	f10r	f10r.5	4	4	qokchy qotchol chol cthy	OK+Y | OT+OL | OL | CTH+Y	Setze den aktuellen Posten / Danach führe fort / Führe fort / Halte den Posten bereit	Setze den Posten an, führe ihn danach weiter und halte ihn bereit.	0	NO	NO	NO
H2-S001	H2	f10r	f10r.6	9	3	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Y+CHEO+OR | CTH+Y | OR | CTH+AIIN | CTH+OL+Y | Y | Y | AIIN | Y	Vorgabe Auszugsansatz: Halte den Posten bereit; dazu Ansatz / Stelle den Bereitwert ein / Führe den bereiten Posten fort; dazu dieser Posten; dieser Posten; Sollmaß; dieser Posten	Nimm den bereiten Auszugsansatz, bringe den Ansatz auf Bereitwert, führe den bereiten Posten weiter und stelle seinen Vorgabewert ein.	1	NO	NO	NO
H2-S002	H2	f10r	f10r.8	8	4	qotchor chor otol chol cholor chol daiin dar	OT+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	Vorgabe Folgeansatz; Ansatz: Danach führe fort / Führe fort / Führe den Ansatz weiter / Führe fort; dazu Sollmaß; aus dem Ansatz	Nimm den Folgeansatz, führe Ansatz und Fortsetzungsansatz weiter, stelle den Vorgabewert ein und entnimm ihn vom Ausgang.	0	NO	NO	NO
H2-S003	H2	f10r	f10r.9	7	1	oykchor shor chor chy kaiiin dy chodaiin	Y+KCH+OR | OR | OR | Y | IIN | Y | HO+AIIN	Bearbeite den aktuellen Ansatz; dazu Ansatz; Ansatz; dieser Posten; Weichstufe; dieser Posten; Zutatenmaß	Bearbeite den aktuellen Ansatz, führe den Ansatz weiter, halte den laufenden Posten auf der gewählten Stufe und stelle den Eingangswert ein.	0	NO	NO	NO
H3-S001	H3	f11r	f11r.1	7	4	tshol schoal cfhy shfydaiin cphy shey tchody	HO+L | HO+AL | CFH+Y | SH+AIIN | CPH+Y | CHEEY | HO+CLOSE	Entnimm den Eingangsposten; dazu Zutat an die Arbeitsstelle geben / Wringe den aktuellen Posten aus / Halte bis zum Vorgabewert / Seihe den aktuellen Posten nach; dazu klarer Auszug; Eingangsposten beiseitestellen; Schluss	Entnimm den Eingangsposten, führe ihn zum Ziel, wringe ihn aus, halte bis zum Vorgabewert, seihe den aktuellen Posten nach, lies den freigegebenen Wert, stelle ihn beiseite und schließe.	1	NO	NO	NO
H3-S002	H3	f11r	f11r.1	1	1	shoyty	HO+Y+TY	Nimm einen Teil des Eingangspostens	Lege einen Zutatenteil zurück.	0	YES	NO	NO
H3-S003	H3	f11r	f11r.4	5	1	dchol chy kchy dy daiin	DCHOL | Y | KCH+Y | Y | AIIN	Vorgabe vorigen Posten fortsetzen; dieser Posten: Bearbeite den aktuellen Posten; dazu dieser Posten; Sollmaß	Nimm den vorigen Posten wieder auf, bearbeite den aktuellen Posten und stelle den Vorgabewert ein.	0	NO	NO	YES
H3-S004	H3	f11r	f11r.7	4	2	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	Vorgabe anschließender Arbeitsposten: Setze die Fortsetzung / Halte den Posten bereit; dazu dieser Posten	Nimm die restliche Blütenreserve als Folgeposten, setze die Fortsetzung an und halte sie bereit.	0	NO	NO	NO
H4-S001	H4	f55v	f55v.5	5	2	qokaiin chaiin ykain ykan ody	OK+AIIN | AIIN | Y+AIN | Y+AIN | ODY	Stelle auf den Vorgabewert ein; dazu Sollmaß; Postenportion / Vorgabe dieser Anteil: Nimm zurück	Stelle den Vorgabewert ein, nimm einen Postenanteil und kühle diesen Anteil ab.	1	NO	NO	NO
