event_serial	event_id	record_unit_id	page	locus	field_id	statement_id	master_card_id	surface_display	corrected_semantic_atoms	short_default_de	imperative_de	syntactic_role	action_head	attachment_host_event_id	attachment_direction	attachment_ambiguity	is_statement_terminal_event	is_exact_close_card	surface_parse_class
1	E001	H1	f10r	f10r.2	F001	H1-S001	MC071	dchey	DCHE+Y	Wurzel als aktueller Posten	Nimm die Wurzel als aktuellen Posten	CONTENT_OR_STATE	DCHE	E002	FORWARD	NONE	NO	NO	PRODUCTIVE_FRAME_PLUS_MEMORIZED_BODY
2	E002	H1	f10r	f10r.2	F001	H1-S001	MC158	cthoor	CTH+OR	Ansatz bereit	Halte den Ansatz bereit	ACTION_HEAD	CTH	E002	SELF	NONE	NO	NO	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX
3	E003	H1	f10r	f10r.2	F001	H1-S001	MC055	char	AR	aus dem Ansatz	Nimm vom Ausgang	ARGUMENT_OR_MODIFIER	AR	E002	BACKWARD	EQUAL_DISTANCE	NO	NO	LITERAL_PRODUCTIVE_PARSE
4	E004	H1	f10r	f10r.2	F001	H1-S001	MC086	chty	PARTITION+TY	Teil abtrennen	Trenne einen Teil ab	ACTION_HEAD	PARTITION	E004	SELF	NONE	NO	NO	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX
5	E005	H1	f10r	f10r.2	F001	H1-S001	MC159	os	OS	Mischgefäß	Gib in den umschließenden Träger	CONTENT_OR_STATE	OS	E004	BACKWARD	NONE	NO	NO	MEMORIZED_WHOLE
6	E006	H1	f10r	f10r.2	F001	H1-S001	MC014	chair	AIR	Wasserzulauf	Nutze den Wasserlauf	ARGUMENT_OR_MODIFIER	AIR	E007	FORWARD	NONE	NO	NO	LITERAL_PRODUCTIVE_PARSE
7	E007	H1	f10r	f10r.2	F001	H1-S001	MC069	otytchol	OT+TY+OL	naechsten Teilposten weiterfuehren	Führe den nächsten Teil fort	ACTION_HEAD	OL	E007	SELF	NONE	NO	NO	LITERAL_PRODUCTIVE_PARSE
8	E008	H1	f10r	f10r.2	F001	H1-S001	MC026	oky	OK+Y	aktuellen Posten ansetzen	Setze den aktuellen Posten	ACTION_HEAD	OK	E008	SELF	NONE	NO	NO	LITERAL_PRODUCTIVE_PARSE
9	E009	H1	f10r	f10r.2	F001	H1-S001	MC039	daiin	AIIN	Sollmaß	Stelle den Vorgabewert ein	ARGUMENT_OR_MODIFIER	AIIN	E008	BACKWARD	NONE	NO	NO	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE
10	E010	H1	f10r	f10r.2	F001	H1-S001	MC108	etyd	E+TY	kleiner Restteil	Nimm einen kurzen Teil	ARGUMENT_OR_MODIFIER	E	E008	BACKWARD	NONE	YES	NO	LITERAL_PRODUCTIVE_PARSE
