fusion_unit_id	statement_id	record_unit_id	page	host_event_id	host_surface	action_head	pre_attached_event_ids	post_attached_event_ids	member_event_count	surface_sequence	atom_sequence	fused_clause_de
H1-S001-U01	H1-S001	H1	f10r	E002	cthoor	CTH	E001	E003	3	dchey cthoor char	DCHE+Y | CTH+OR | AR	Vorgabe Wurzel als aktueller Posten: Halte den Ansatz bereit; dazu aus dem Ansatz
H1-S001-U02	H1-S001	H1	f10r	E004	chty	PARTITION	NONE	E005	2	chty os	PARTITION+TY | OS	Trenne einen Teil ab; dazu Mischgefäß
H1-S001-U03	H1-S001	H1	f10r	E007	otytchol	OL	E006	NONE	2	chair otytchol	AIR | OT+TY+OL	Vorgabe Wasserzulauf: Führe den nächsten Teil fort
H1-S001-U04	H1-S001	H1	f10r	E008	oky	OK	NONE	E009|E010	3	oky daiin etyd	OK+Y | AIIN | E+TY	Setze den aktuellen Posten; dazu Sollmaß; kleiner Restteil
H1-S002-U01	H1-S002	H1	f10r	E011	qokchy	OK	NONE	NONE	1	qokchy	OK+Y	Setze den aktuellen Posten
H1-S002-U02	H1-S002	H1	f10r	E012	qotchol	OL	NONE	NONE	1	qotchol	OT+OL	Danach führe fort
H1-S002-U03	H1-S002	H1	f10r	E013	chol	OL	NONE	NONE	1	chol	OL	Führe fort
H1-S002-U04	H1-S002	H1	f10r	E014	cthy	CTH	NONE	NONE	1	cthy	CTH+Y	Halte den Posten bereit
H2-S001-U01	H2-S001	H2	f10r	E016	cthy	CTH	E015	E017	3	ycheor cthy chor	Y+CHEO+OR | CTH+Y | OR	Vorgabe Auszugsansatz: Halte den Posten bereit; dazu Ansatz
H2-S001-U02	H2-S001	H2	f10r	E018	cthaiin	CTH	NONE	NONE	1	cthaiin	CTH+AIIN	Stelle den Bereitwert ein
H2-S001-U03	H2-S001	H2	f10r	E019	qoctholy	CTH	NONE	E020|E021|E022|E023	5	qoctholy dy chy taiin shy	CTH+OL+Y | Y | Y | AIIN | Y	Führe den bereiten Posten fort; dazu dieser Posten; dieser Posten; Sollmaß; dieser Posten
H2-S002-U01	H2-S002	H2	f10r	E026	otol	OL	E024|E025	NONE	3	qotchor chor otol	OT+OR | OR | OT+OL	Vorgabe Folgeansatz; Ansatz: Danach führe fort
H2-S002-U02	H2-S002	H2	f10r	E027	chol	OL	NONE	NONE	1	chol	OL	Führe fort
H2-S002-U03	H2-S002	H2	f10r	E028	cholor	OL	NONE	NONE	1	cholor	OL+OR	Führe den Ansatz weiter
H2-S002-U04	H2-S002	H2	f10r	E029	chol	OL	NONE	E030|E031	3	chol daiin dar	OL | AIIN | AR	Führe fort; dazu Sollmaß; aus dem Ansatz
H2-S003-U01	H2-S003	H2	f10r	E032	oykchor	KCH	NONE	E033|E034|E035|E036|E037|E038	7	oykchor shor chor chy kaiiin dy chodaiin	Y+KCH+OR | OR | OR | Y | IIN | Y | HO+AIIN	Bearbeite den aktuellen Ansatz; dazu Ansatz; Ansatz; dieser Posten; Weichstufe; dieser Posten; Zutatenmaß
H3-S001-U01	H3-S001	H3	f11r	E039	tshol	L	NONE	E040	2	tshol schoal	HO+L | HO+AL	Entnimm den Eingangsposten; dazu Zutat an die Arbeitsstelle geben
H3-S001-U02	H3-S001	H3	f11r	E041	cfhy	CFH	NONE	NONE	1	cfhy	CFH+Y	Wringe den aktuellen Posten aus
H3-S001-U03	H3-S001	H3	f11r	E042	shfydaiin	SH	NONE	NONE	1	shfydaiin	SH+AIIN	Halte bis zum Vorgabewert
H3-S001-U04	H3-S001	H3	f11r	E043	cphy	CPH	NONE	E044|E045	3	cphy shey tchody	CPH+Y | CHEEY | HO+CLOSE	Seihe den aktuellen Posten nach; dazu klarer Auszug; Eingangsposten beiseitestellen; Schluss
H3-S002-U01	H3-S002	H3	f11r	E046	shoyty	OWNER_SUPPLIED_ACTION	NONE	NONE	1	shoyty	HO+Y+TY	Nimm einen Teil des Eingangspostens
H3-S003-U01	H3-S003	H3	f11r	E049	kchy	KCH	E047|E048	E050|E051	5	dchol chy kchy dy daiin	DCHOL | Y | KCH+Y | Y | AIIN	Vorgabe vorigen Posten fortsetzen; dieser Posten: Bearbeite den aktuellen Posten; dazu dieser Posten; Sollmaß
H3-S004-U01	H3-S004	H3	f11r	E053	okchol	OK	E052	NONE	2	qotchy okchol	OT+Y | OK+OL	Vorgabe anschließender Arbeitsposten: Setze die Fortsetzung
H3-S004-U02	H3-S004	H3	f11r	E054	cthy	CTH	NONE	E055	2	cthy dy	CTH+Y | Y	Halte den Posten bereit; dazu dieser Posten
H4-S001-U01	H4-S001	H4	f55v	E056	qokaiin	OK	NONE	E057|E058	3	qokaiin chaiin ykain	OK+AIIN | AIIN | Y+AIN	Stelle auf den Vorgabewert ein; dazu Sollmaß; Postenportion
H4-S001-U02	H4-S001	H4	f55v	E060	ody	ODY	E059	NONE	2	ykan ody	Y+AIN | ODY	Vorgabe dieser Anteil: Nimm zurück
