master_card_id	master_head_form	corrected_semantic_atoms	short_default_de	prose_events	records	syntactic_roles	attachment_directions	action_heads	role_stability	event_ids	context_decision
MC001	chdal	CHD+AL	dort umsetzen	1	B5	ACTION_HEAD:1	SELF:1	CHD:1	STABLE	E368	KEEP_SHORT_VALUE
MC002	okeey	OK+EE+Y	länger ansetzen	7	B1|B2|B3|B4	ACTION_HEAD:7	SELF:7	OK:7	STABLE	E153|E175|E194|E205|E293|E317|E322	KEEP_SHORT_VALUE
MC003	sheedy	SHED+EE+CLOSE	länger absetzen; Schluss	1	B3	ACTION_HEAD:1	SELF:1	SHED:1	STABLE	E261	KEEP_SHORT_VALUE
MC004	ldy	L+CLOSE	abziehen; Ende	2	B2|B3	ACTION_HEAD:2	SELF:2	L:2	STABLE	E184|E308	KEEP_SHORT_VALUE
MC005	okchedy	OK+CHD+CLOSE	angesetzten Inhalt überführen; Schluss	2	B1|B3	ACTION_HEAD:2	SELF:2	OK:2	STABLE	E151|E264	KEEP_SHORT_VALUE
MC006	chokcheo	OK+CHEO	Auszug zugeben	1	H5	ACTION_HEAD:1	SELF:1	OK:1	STABLE	E092	KEEP_SHORT_VALUE
MC007	okey	OK+E+Y	kurz ansetzen	2	B1|B2	ACTION_HEAD:2	SELF:2	OK:2	STABLE	E142|E220	KEEP_SHORT_VALUE
MC008	lchy	L+Y	abziehen	1	B2	ACTION_HEAD:1	SELF:1	L:1	STABLE	E202	KEEP_SHORT_VALUE
MC009	chary	AR+Y	aus diesem Posten	1	B3	ARGUMENT_OR_MODIFIER:1	BACKWARD:1	AR:1	STABLE	E253	KEEP_SHORT_VALUE
MC010	chodaly	HO+AL+Y	diese Zutat zur Stelle bringen	1	H5	CONTENT_OR_STATE:1	FORWARD:1	HO:1	STABLE	E076	KEEP_SHORT_VALUE
MC011	lchedar	L+CHD+AR	von dort abführen	1	B2	ACTION_HEAD:1	SELF:1	L:1	STABLE	E215	KEEP_SHORT_VALUE
MC012	dl	LOCAL_WHOLE	Zusatz	2	B1	CONTENT_OR_STATE:2	BACKWARD:2	LOCAL_WHOLE:2	STABLE	E112|E129	KEEP_SHORT_VALUE
MC013	otchor	OT+OR	Folgeansatz	2	H2|H5	ORDER_MARKER:2	FORWARD:2	OT:2	STABLE	E024|E080	KEEP_SHORT_VALUE
MC014	chair	AIR	Wasserzulauf	1	H1	ARGUMENT_OR_MODIFIER:1	FORWARD:1	AIR:1	STABLE	E006	KEEP_SHORT_VALUE
MC015	qokokchy	OK+OK+Y	erneut ansetzen	1	H5	ACTION_HEAD:1	SELF:1	OK:1	STABLE	E090	KEEP_SHORT_VALUE
MC016	rol	OL	vom vorigen Gang weiterführen	1	B1	ACTION_HEAD:1	SELF:1	OL:1	STABLE	E111	KEEP_SHORT_VALUE
MC017	okain	OK+AIN	eine Portion zugeben	7	B1|B2|B3|B4	ACTION_HEAD:7	SELF:7	OK:7	STABLE	E127|E169|E198|E200|E288|E341|E352	KEEP_SHORT_VALUE
MC018	qotedaiin	OT+E+AIIN	kurzes Folgemass	1	B3	ORDER_MARKER:1	BACKWARD:1	OT:1	STABLE	E305	KEEP_SHORT_VALUE
MC019	oldy	OL+CLOSE	Fortsetzung abschließen	2	B4|H4	ACTION_HEAD:2	SELF:2	OL:2	STABLE	E067|E337	KEEP_SHORT_VALUE
MC020	solkeey	SOLK+EE+Y	länger sammeln	1	B6	ACTION_HEAD:1	SELF:1	SOLK:1	STABLE	E373	KEEP_SHORT_VALUE
MC021	oltchy	OL+CTH+Y	bereiten Posten weiterführen	1	H4	ACTION_HEAD:1	SELF:1	OL:1	STABLE	E070	KEEP_SHORT_VALUE
MC022	chckhal	CKH+AL	zur Zielstelle durchleiten	1	B4	ACTION_HEAD:1	SELF:1	CKH:1	STABLE	E355	KEEP_SHORT_VALUE
MC023	kair	AIR	Beckenwasser	1	B1	ARGUMENT_OR_MODIFIER:1	BACKWARD:1	AIR:1	STABLE	E103	KEEP_SHORT_VALUE
MC024	qokol	OK+OL	Fortsetzung ansetzen	1	B4	ACTION_HEAD:1	SELF:1	OK:1	STABLE	E346	KEEP_SHORT_VALUE
MC025	dchedy	CHD+CLOSE	Posten überführen; Schluss	4	B1|B2|B3	ACTION_HEAD:4	SELF:4	CHD:4	STABLE	E120|E167|E239|E283	KEEP_SHORT_VALUE
MC026	choky	OK+Y	aktuellen Posten ansetzen	10	B1|B2|B3|B4|H1|H5	ACTION_HEAD:10	SELF:10	OK:10	STABLE	E008|E081|E085|E140|E188|E195|E247|E251|E298|E323	KEEP_SHORT_VALUE
MC027	oykchor	Y+KCH+OR	aktuellen Ansatz bearbeiten	1	H2	ACTION_HEAD:1	SELF:1	KCH:1	STABLE	E032	KEEP_SHORT_VALUE
MC028	olchedy	OL+CHD+CLOSE	weiterüberführen; Schluss	3	B1|B2|B3	ACTION_HEAD:3	SELF:3	OL:3	STABLE	E126|E168|E242	KEEP_SHORT_VALUE
MC029	lar	L+AR	von dort abfuehren	1	B2	ACTION_HEAD:1	SELF:1	L:1	STABLE	E211	KEEP_SHORT_VALUE
MC030	lo	L	abfuehren	1	B3	ACTION_HEAD:1	SELF:1	L:1	STABLE	E263	KEEP_SHORT_VALUE
MC031	dalchdy	AL+CHD+CLOSE	dorthin umsetzen; Schluss	1	B3	ACTION_HEAD:1	SELF:1	CHD:1	STABLE	E280	KEEP_SHORT_VALUE
