locus	ordinal	surface	resolution_class	applied_render_de	reader_preference	review_note
f99r.29	7	ckhol	ONE_READER_EXACT_RETAIN	Arzneikompositumstoff	ZL3b+IT2a	RF1b richtet diese Stelle als l aus; sechzehn weitere doppelt exakte ckhol-Stellen kontrollieren den produktiven ckh+ol-Kern
f113v.17	6	cthororaiin	BILATERAL_SPLIT_COMPOSE	drei Portionen Blatt- oder Krautdroge	IT2a+RF1b cthor oraiin	beide Leser bewahren alle Buchstaben und dieselbe Stoff-plus-Mengen-Komposition
f8r.15	9	daiiiry	BILATERAL_READER_REPAIR	vierte abgemessene Trockenfraktion, leicht getrocknet	IT2a+RF1b daiiirchy	beide Leser fügen denselben Trockenblock chy ein; die bloße y-Abschlussanalyse verliert
f24v.15	3	dchal	ONE_READER_EXACT_RETAIN	eine Dosis angetrocknete Rohdroge I	ZL3b+RF1b	IT2a dchol bietet ein Maß trockenen Materials, bewahrt aber Dosis und Trockengut als Kern
f8r.15	5	kc	BILATERAL_READER_REPAIR	Charge heißgetrockneter Droge	IT2a+RF1b kchs	beide Leser lösen die kurze ZL3b-Form als k+ch+s auf
f88v.9	2	keeod	RIGHT_BOUNDARY_CORE_HOLD	vollständig erhitzter Ansatz, abgezogen	ZL3b	IT2a verbindet das folgende y zu keeody und RF1b liest keeo y; vollständige Erhitzung plus Ansatz bleibt gemeinsam
f86v3.13	2	orsheey	READER_SPLIT_COMPOSE	Portion vollständig eingeweichte Droge	IT2a or sheey	RF1b orshee verliert nur den finalen Schlussmarker; IT2a bestätigt Portion plus vollständige Einweichung
f114r.33	2	oteed	RIGHT_BOUNDARY_CORE_HOLD	vollständig abgekühlter Ansatz, abgezogen	ZL3b+IT2a	RF1b verbindet das folgende aiin zu oteedaiin; Kaltendzustand und Dreiermenge bleiben getrennt im Praxisregister
f48v.4	9	oteed	ONE_READER_EXACT_RETAIN	vollständig abgekühlter Ansatz, abgezogen	ZL3b+IT2a	RF1b ytee ist ein echter Leser-Rivale; fünf weitere Vorkommen halten den Kaltendkern
f116r.30	1	saraiin	READER_SPLIT_COMPOSE	drei Teile der ersten Samenfraktion	ZL3b+IT2a; RF1b sar aiin	RF1b bestätigt dieselben Komponenten mit anderer Wortgrenze
f87r.9	5	saraiin	READER_MATERIAL_RIVAL	drei Teile der ersten Samenfraktion	ZL3b	IT2a soraiin bleibt Samenportion III, RF1b raiin bietet dagegen Wurzeldroge Klasse III
f27r.9	3	shotchey	READER_SPLIT_COMPOSE	kalt bis Mittelstufe nachgetrockneter Feuchtansatz	ZL3b+RF1b; IT2a sho tchey	IT2a macht Feuchtansatz plus kalt-trockene Mittelstufe explizit
f27r.9	7	tolg	UNIT_RIVAL	ein Gran kalten Drogenmaterials	ZL3b+RF1b terminal g	IT2a tolm liest eine Handvoll und RF1b bindet chotolg; die Mengenfunktion hält, die Einheit bleibt niedrig
