card_rank	family	surface	card_type	composition	working_meaning_de	working_render_de	strongest_rival_de	confidence	action_license	expected_occurrences	expected_pages	decision_reason
1	COLD_CHARGE_COMMAND	qoteos	PRODUCTIVE_COMPOUND	QO_COMMAND+OTEOS_COLD_MIDDLE_CHARGE	eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen	gekühlte Ansatzcharge der Mittelstufe nehmen	nominal: gekühlte Ansatzcharge der Mittelstufe	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	1	qoteeos bezeichnet die vollständig gekühlte Charge und oteos die Mittelstufencharge; fehlendes e senkt nur die Stufe
2	COLD_END_RESULT	oteed	PRODUCTIVE_RESULT	O_PREP+T_COLD+EE_END+D_CLOSE	vollständig abgekühlter und abgezogener Ansatz	vollständig abgekühlter Ansatz, abgezogen	kalter Ansatz am Gradende, nur abgeschlossen	STRONG_FAMILY_COMPOSITION	0	6	5	oteey und oteedy liefern den Endzustand; terminales d trägt Abschluss oder Abzug ohne ein zusätzliches y
3	FINAL_PROCESS_COMMAND	qeeey	ANAPHORIC_PROCESS_COMMAND	Q_COMMAND+EEE_FINAL+Y_CLOSE	die vorstehende Behandlung bis zur letzten Stufe führen und abschließen	vorstehenden Prozess bis zur letzten Stufe abschließen	die Schlussportion des folgenden Materials zugeben	MEDIUM_CONTEXT_PATTERN	1	3	3	alle drei doppelt exakten Vorkommen folgen unmittelbar auf einen Feucht-, Kalt- oder Trockenprozess; dieser wiederkehrende Linksbezug schlägt die formnahe Portionslesung
4	SEED_FRACTION_AMOUNT	saraiin	PRODUCTIVE_AMOUNT	SAR_SEED_FRACTION_I+AIIN_III	drei Teile der ersten Samenfraktion	drei Teile der ersten Samenfraktion	drei Teile Wurzelfraktion an f87r.9	MEDIUM_READER_CONDITIONED	0	3	3	sar ist die erste Samenfraktion und aiin die Dreiermenge; zwei Kontexte bewahren diese Zerlegung unmittelbar
5	HERB_PORTION_AMOUNT	cthororaiin	READER_BOUNDARY_COMPOUND	CTHOR_HERB_PORTION+ORAIIN_PORTION_III	drei Portionen Blatt- oder Krautdroge	drei Portionen Blatt- oder Krautdroge	drei Portionen eines unspezifizierten Pflanzenteils	STRONG_READER_COMPOSITION	0	1	1	beide Alternativleser trennen exakt cthor oraiin und bestätigen Stoffkopf plus Dreierportion
6	COLD_FINAL_PORTION_COMMAND	yteeeor	PRODUCTIVE_REFERENCE_COMMAND	Y_REFERENCE+T_COLD+EEE_FINAL+OR_PORTION	hiervon eine Portion bis zur letzten Stufe abkühlen	hiervon eine Portion bis zur letzten Stufe abkühlen	eine bereits vollständig gekühlte Portion hiervon	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	1	yteeedy und yteeo sichern Referenz, vollständige Kühlung und Prozessrichtung; or bindet eine Portion
7	DRY_PREPARATION_DOSE_COMMAND	ycheeodaiin	PRODUCTIVE_REFERENCE_AMOUNT	Y_REFERENCE+CHEEO_SECOND_DRY_PREP+DAIIN_THREE_DOSES	hiervon drei Dosen des zweiten Trockenansatzes abmessen	drei Dosen des zweiten Trockenansatzes abmessen	drei Dosen vollständig getrockneten Ansatzes	STRONG_FAMILY_COMPOSITION	1	1	1	ycheeo ist der zweite Trockenansatz und ycheodain bereits die Zweidosis-Schwester; aiin hebt auf drei
8	HOT_WOOD_FRACTION_III	olkaiir	PRODUCTIVE_AMOUNT	O_PREP+L_WOOD+K_HOT+AIIR_FRACTION_III	dritte erhitzte Holzdrogenfraktion im Ansatz	dritte erhitzte Holzdrogenfraktion im Ansatz	heiße Drogenbasis auf Stufe III	STRONG_FAMILY_COMPOSITION	0	1	1	olkair ist die zweite erhitzte Holzdrogenfraktion; aiir statt air setzt die dritte Fraktion voraus
9	FRACTION_II_PREP_BASE	airoy	PRODUCTIVE_COMPOUND	AIR_FRACTION_II+OY_PREP_BASE	zweite Drogenfraktion als Grundansatz	zweite Drogenfraktion als Grundansatz	abgeschlossene zweite Drogenfraktion	MEDIUM_COMPOSITIONAL	0	1	1	air ist die zweite Fraktion und oy der bereits gelernte Ansatz in Grundform
10	HOT_DRY_CLOSED_RESULT	kchod	PRODUCTIVE_RESULT	KCHO_HOT_DRY_PREP+D_CLOSE	heiß-trockener Ansatz, abgezogen und abgeschlossen	heiß-trockener Ansatz, abgeschlossen	heiß-trockenen Ansatz abschließen	STRONG_FAMILY_COMPOSITION	0	3	3	kcho ist die heiß-trockene Zubereitung und terminales d schließt das Ergebnis ab
11	MEASURED_DRY_RAW_I	dchal	PRODUCTIVE_AMOUNT	D_MEASURE+CH_DRY+AL_RAW_I	eine Dosis angetrocknete Rohdroge I	eine Dosis angetrocknete Rohdroge I	ein Maß trockenen Drogenmaterials	MEDIUM_READER_CONDITIONED	0	2	2	d plus ch plus al ergibt Messung, Trocknung und Rohstoffklasse I; IT2a dchol bleibt der stärkste Mengenrivale
12	DRY_PREPARATION_FINISHED	ochdy	PRODUCTIVE_RESULT	O_PREP+CH_DRY+DY_FINISHED	fertiggestellter Trockenansatz	fertiggestellter Trockenansatz	Trockenansatz am Gradanfang, abgeschlossen	STRONG_FAMILY_COMPOSITION	0	1	1	ochedy liefert die Mittelstufenschwester und chody denselben fertigen Trockenansatz ohne initialen Ansatzrahmen
13	HOT_END_DRAWN_RESULT	keeod	PRODUCTIVE_RESULT	K_HOT+EE_END+O_PREP+D_CLOSE	vollständig erhitzter und abgezogener Ansatz	vollständig erhitzter Ansatz, abgezogen	vollständig ausgekochter Ansatz ohne Abzug	STRONG_FAMILY_COMPOSITION	0	2	2	keeo plus terminales d entspricht der abgeschlossenen Schwester von keeody; beide Kontexte bewahren den heißen Ansatzkern
14	MOIST_COLD_DRY_MIDDLE	shotchey	PRODUCTIVE_RESULT	SH_MOIST+O_PREP+T_COLD+CH_DRY+E_MIDDLE+Y_CLOSE	Feuchtansatz aus kalt bis Mittelstufe getrockneter Droge	kalt bis Mittelstufe nachgetrockneter Feuchtansatz	Feuchtansatz kalt bis Mittelstufe nachtrocknen	STRONG_PRACTICAL_OR_COMPOSITIONAL	0	2	2	IT2a sho tchey legt dieselben Prozessblöcke offen; RF1b und der zweite Kontext bewahren die Ganzform
