formula_id	formula_role	atom_pattern	short_formula_de	statement_id	record_unit_id	page	card_positions	visible_surface_span	full_visible_statement	current_statement_reading_de
WF08	NEXT_CONTINUATION	OT+OL+OL	danach weiterführen	H1-S002	H1	f10r	2-3	qotchol chol	qokchy qotchol chol cthy	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.
WF01	PAIRED_SAME_MEASURE_FRAME	Y+AIIN+Y	zwei Posten unter dasselbe Sollmaß stellen	H2-S001	H2	f10r	7-9	chy taiin shy	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
WF08	NEXT_CONTINUATION	OT+OL+OL	danach weiterführen	H2-S002	H2	f10r	3-4	otol chol	qotchor chor otol chol cholor chol daiin dar	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
WF10	PREVIOUS_PREPARATION_CONTINUES	OL+OR+OL	den vorigen Ansatz weiterführen	H2-S002	H2	f10r	5-6	cholor chol	qotchor chor otol chol cholor chol daiin dar	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
WF05	CURRENT_PREPARATION	OR+Y	den aktuellen Ansatz	H2-S003	H2	f10r	3-4	chor chy	oykchor shor chor chy kaiiin dy chodaiin	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
WF02	ITEM_THEN_MEASURE	Y+AIIN	diesen Posten nach Sollmaß führen	H3-S003	H3	f11r	4-5	dy daiin	dchol chy kchy dy daiin	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
WF05	CURRENT_PREPARATION	OR+Y	den aktuellen Ansatz	H4-S004	H4	f55v	4-5	or y	aiin okal oltchy or y orain	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.
WF09	ADDITIONAL_PORTION_TO_TARGET	OL+AIN+AL	eine weitere Portion zum Ziel geben	B1-S002	B1	f81v	7-8	olkain al	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
WF10	PREVIOUS_PREPARATION_CONTINUES	OL+OR+OL	den vorigen Ansatz weiterführen	B1-S002	B1	f81v	12-13	olor ol	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
WF04	CONTINUE_SETTLE_CLOSE	OL+SHED+E+CLOSE	weiterführen, kurz absetzen lassen und schließen	B1-S004	B1	f81v	2-3	ol shedy	chedy ol shedy	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, lass absetzen und schließe
