formula_id	formula_role	atom_pattern	short_formula_de	occurrence_count	record_count	records	statement_ids	teaching_status
WF01	PAIRED_SAME_MEASURE_FRAME	Y+AIIN+Y	zwei Posten unter dasselbe Sollmaß stellen	2	2	B3|H2	H2-S001|B3-S003	LEARN_AS_RECURRENT_FORMULA
WF02	ITEM_THEN_MEASURE	Y+AIIN	diesen Posten nach Sollmaß führen	2	2	B3|H3	H3-S003|B3-S021	LEARN_AS_RECURRENT_FORMULA
WF03	MEASURE_THEN_ITEM	AIIN+Y	das Sollmaß auf den folgenden Posten legen	1	1	B2	B2-S012	LEARN_AS_ORDER_RULE_WITH_ONE_STANDALONE_AFTER_LONGEST_MATCH
WF04	CONTINUE_SETTLE_CLOSE	OL+SHED+E+CLOSE	weiterführen, kurz absetzen lassen und schließen	4	2	B1|B4	B1-S004|B1-S008|B1-S016|B4-S003	LEARN_AS_RECURRENT_FORMULA
WF05	CURRENT_PREPARATION	OR+Y	den aktuellen Ansatz	3	3	B4|H2|H4	H2-S003|H4-S004|B4-S014	LEARN_AS_RECURRENT_FORMULA
WF06	TRANSFERRED_ITEM_CONTINUES	CHD+Y+OL	den umgesetzten Posten weiterführen	2	2	B1|B4	B1-S014|B4-S011	LEARN_AS_RECURRENT_FORMULA
WF07	LONG_THEN_SHORT_CLOSE	OK+EE+Y+OK+E+CLOSE	länger ansetzen, kurz nachführen und schließen	2	2	B3|B4	B3-S028|B4-S002	LEARN_AS_RECURRENT_FORMULA
WF08	NEXT_CONTINUATION	OT+OL+OL	danach weiterführen	2	2	H1|H2	H1-S002|H2-S002	LEARN_AS_RECURRENT_FORMULA
WF09	ADDITIONAL_PORTION_TO_TARGET	OL+AIN+AL	eine weitere Portion zum Ziel geben	2	2	B1|B4	B1-S002|B4-S016	LEARN_AS_RECURRENT_FORMULA
WF10	PREVIOUS_PREPARATION_CONTINUES	OL+OR+OL	den vorigen Ansatz weiterführen	2	2	B1|H2	H2-S002|B1-S002	LEARN_AS_RECURRENT_FORMULA
