mode	record	line	locus	word	element_id	start	end	piece	bound	known	rendering	row_status
W	f17r	f17r.4	f17r.4:1	tcho	f17r.4:1/1	0	4	tcho	NO	False	⟦tcho⟧	recorded
W	f17r	f17r.4	f17r.4:2	shol	f17r.4:2/1	0	4	shol	NO	True	feucht[NP=NA]	recorded
W	f17r	f17r.4	f17r.4:3	qokol	f17r.4:3/1	0	5	qokol	NO	False	⟦qokol⟧	recorded
W	f17r	f17r.4	f17r.4:4	qor	f17r.4:4/1	0	3	qor	NO	False	⟦qor⟧	recorded
W	f17r	f17r.4	f17r.4:5	olaiin	f17r.4:5/1	0	6	olaiin	NO	False	⟦olaiin⟧	recorded
W	f17r	f17r.4	f17r.4:6	opydg	f17r.4:6/1	0	5	opydg	NO	False	⟦opydg⟧	recorded
W	f17r	f17r.4	f17r.4:7	som	f17r.4:7/1	0	3	som	NO	False	⟦som⟧	recorded
W	f17r	f17r.4	f17r.4:8	ypchy	f17r.4:8/1	0	5	ypchy	NO	False	⟦ypchy⟧	recorded
W	f17r	f17r.4	f17r.4:9	ypaim	f17r.4:9/1	0	5	ypaim	NO	False	⟦ypaim⟧	recorded
W	f17r	f17r.5	f17r.5:1	ychekchy	f17r.5:1/1	0	8	ychekchy	NO	False	⟦ychekchy⟧	recorded
W	f17r	f17r.5	f17r.5:2	cthy	f17r.5:2/1	0	4	cthy	NO	True	Kraut[f17r.5:2/1]	recorded
W	f17r	f17r.5	f17r.5:3	chor	f17r.5:3/1	0	4	chor	NO	True	Blüten[f17r.5:3/1]	recorded
W	f17r	f17r.5	f17r.5:4	shor	f17r.5:4/1	0	4	shor	NO	True	Früchte[f17r.5:4/1]	recorded
W	f17r	f17r.5	f17r.5:5	cphor	f17r.5:5/1	0	5	cphor	NO	False	⟦cphor⟧	recorded
W	f17r	f17r.5	f17r.5:6	cphaldy	f17r.5:6/1	0	7	cphaldy	NO	False	⟦cphaldy⟧	recorded
W	f17r	f17r.5	f17r.5:7	dair	f17r.5:7/1	0	4	dair	NO	False	⟦dair⟧	recorded
W	f17r	f17r.5	f17r.5:8	cthey	f17r.5:8/1	0	5	cthey	NO	False	⟦cthey⟧	recorded
W	f17r	f17r.5	f17r.5:9	qody	f17r.5:9/1	0	4	qody	NO	False	⟦qody⟧	recorded
W	f17r	f17r.6	f17r.6:1	tsho	f17r.6:1/1	0	4	tsho	NO	False	⟦tsho⟧	recorded
W	f17r	f17r.6	f17r.6:2	qof	f17r.6:2/1	0	3	qof	NO	False	⟦qof⟧	recorded
