mode	record	line	locus	word	pieces	coverage	rendering	row_status
M	f17r	f17r.4	f17r.4:1	tcho	tcho	OPEN	⟦tcho⟧	recorded
M	f17r	f17r.4	f17r.4:2	shol	shol	FULL_HYPOTHESIS	feucht[NP=NA]	recorded
M	f17r	f17r.4	f17r.4:3	qokol	qokol	OPEN	⟦qokol⟧	recorded
M	f17r	f17r.4	f17r.4:4	qor	qor	OPEN	⟦qor⟧	recorded
M	f17r	f17r.4	f17r.4:5	olaiin	olaiin	OPEN	⟦olaiin⟧	recorded
M	f17r	f17r.4	f17r.4:6	opydg	opydg	OPEN	⟦opydg⟧	recorded
M	f17r	f17r.4	f17r.4:7	som	som	OPEN	⟦som⟧	recorded
M	f17r	f17r.4	f17r.4:8	ypchy	ypchy	OPEN	⟦ypchy⟧	recorded
M	f17r	f17r.4	f17r.4:9	ypaim	ypaim	OPEN	⟦ypaim⟧	recorded
M	f17r	f17r.5	f17r.5:1	ychekchy	ychekchy	OPEN	⟦ychekchy⟧	recorded
M	f17r	f17r.5	f17r.5:2	cthy	cthy	FULL_HYPOTHESIS	Kraut[f17r.5:2/1]	recorded
M	f17r	f17r.5	f17r.5:3	chor	chor	FULL_HYPOTHESIS	Blüten[f17r.5:3/1]	recorded
M	f17r	f17r.5	f17r.5:4	shor	shor	FULL_HYPOTHESIS	Früchte[f17r.5:4/1]	recorded
M	f17r	f17r.5	f17r.5:5	cphor	cphor	OPEN	⟦cphor⟧	recorded
M	f17r	f17r.5	f17r.5:6	cphaldy	cphaldy	OPEN	⟦cphaldy⟧	recorded
M	f17r	f17r.5	f17r.5:7	dair	dair	OPEN	⟦dair⟧	recorded
M	f17r	f17r.5	f17r.5:8	cthey	cthey	OPEN	⟦cthey⟧	recorded
M	f17r	f17r.5	f17r.5:9	qody	qody	OPEN	⟦qody⟧	recorded
M	f17r	f17r.6	f17r.6:1	tsho	tsho	OPEN	⟦tsho⟧	recorded
M	f17r	f17r.6	f17r.6:2	qof	qof	OPEN	⟦qof⟧	recorded
M	f17r	f17r.6	f17r.6:3	cho	cho	OPEN	⟦cho⟧	recorded
M	f17r	f17r.6	f17r.6:4	qokcheor	qokcheor	OPEN	⟦qokcheor⟧	recorded
M	f17r	f17r.6	f17r.6:5	cheteg	cheteg	OPEN	⟦cheteg⟧	recorded
M	f21r	f21r.8	f21r.8:1	fcho	fcho	OPEN	⟦fcho⟧	recorded
M	f21r	f21r.8	f21r.8:2	kshy	kshy	OPEN	⟦kshy⟧	recorded
M	f21r	f21r.8	f21r.8:3	otor	otor	OPEN	⟦otor⟧	recorded
M	f21r	f21r.8	f21r.8:4	sheol	sheol	OPEN	⟦sheol⟧	recorded
M	f21r	f21r.8	f21r.8:5	ocphal	ocphal	OPEN	⟦ocphal⟧	recorded
M	f21r	f21r.8	f21r.8:6	opsheas	opsheas	OPEN	⟦opsheas⟧	recorded
M	f21r	f21r.8	f21r.8:7	cthodaiin	ctho+daiin	FULL_HYPOTHESIS	Pulver[f21r.8:7/1] + OBJ[MARKED_OBJECT;NP=f21r.8:7/1]	recorded
M	f21r	f21r.8	f21r.8:8	oty	oty	OPEN	⟦oty⟧	recorded
M	f21r	f21r.9	f21r.9:1	okaiin	okaiin	FULL_HYPOTHESIS	Ansatz[f21r.9:1/1]	recorded
M	f21r	f21r.9	f21r.9:2	sho	sho	FULL_HYPOTHESIS	vermische(cthy;UNMARKED_ARGUMENT;NP=f21r.9:8/1)	recorded
M	f21r	f21r.9	f21r.9:3	tshaiin	tshaiin	OPEN	⟦tshaiin⟧	recorded
M	f21r	f21r.9	f21r.9:4	chkaiin	chkaiin	OPEN	⟦chkaiin⟧	recorded
M	f21r	f21r.9	f21r.9:5	sh	sh	OPEN	⟦sh⟧	recorded
M	f21r	f21r.9	f21r.9:6	cthey	cthey	OPEN	⟦cthey⟧	recorded
M	f21r	f21r.9	f21r.9:7	cthody	cthody	OPEN	⟦cthody⟧	recorded
M	f21r	f21r.9	f21r.9:8	cthy	cthy	FULL_HYPOTHESIS	Kraut[f21r.9:8/1]	recorded
M	f21r	f21r.9	f21r.9:9	s	s	OPEN	⟦s⟧	recorded
M	f21r	f21r.10	f21r.10:1	totchy	totchy	OPEN	⟦totchy⟧	recorded
M	f21r	f21r.10	f21r.10:2	keor	keor	OPEN	⟦keor⟧	recorded
M	f21r	f21r.10	f21r.10:3	chy	chy	FULL_HYPOTHESIS	Wasser[f21r.10:3/1]	recorded
M	f21r	f21r.10	f21r.10:4	ky	ky	OPEN	⟦ky⟧	recorded
M	f21r	f21r.10	f21r.10:5	qotaiin	qotaiin	OPEN	⟦qotaiin⟧	recorded
M	f21r	f21r.10	f21r.10:6	qotchol	qotchol	OPEN	⟦qotchol⟧	recorded
M	f21r	f21r.10	f21r.10:7	ty	ty	OPEN	⟦ty⟧	recorded
M	f21r	f21r.10	f21r.10:8	ctheey	ctheey	OPEN	⟦ctheey⟧	recorded
M	f21r	f21r.10	f21r.10:9	otaiin	otaiin	OPEN	⟦otaiin⟧	recorded
M	f21r	f21r.11	f21r.11:1	shol	shol	FULL_HYPOTHESIS	feucht[NP=f21r.10:3/1]	recorded
M	f21r	f21r.11	f21r.11:2	chol	chol	FULL_HYPOTHESIS	trocken[NP=f21r.10:3/1]	recorded
M	f21r	f21r.11	f21r.11:3	shol	shol	FULL_HYPOTHESIS	feucht[NP=f21r.10:3/1]	recorded
M	f21r	f21r.11	f21r.11:4	tchol	tchol	OPEN	⟦tchol⟧	recorded
M	f21r	f21r.11	f21r.11:5	chcthy	chcthy	OPEN	⟦chcthy⟧	recorded
M	f21r	f21r.11	f21r.11:6	otyky	otyky	OPEN	⟦otyky⟧	recorded
M	f21r	f21r.11	f21r.11:7	shey	shey	OPEN	⟦shey⟧	recorded
