mode	record	line	locus	word	np_id	head	case	status	open_intervening	row_status
W	f21r	f21r.9	f21r.9:2	sho	f21r.9:8/1	cthy	UNMARKED	UNMARKED_ARGUMENT	f21r.9:3/1:tshaiin,f21r.9:4/1:chkaiin,f21r.9:5/1:sh,f21r.9:6/1:cthey,f21r.9:7/1:cthody	recorded
W	f32v	f32v.9	f32v.9:1	qotchy	f32v.9:4/1	chocthy	OBJECT	MATCH_OBJECT	f32v.9:2/1:cfhy,f32v.9:3/1:skey	recorded
W	f32v	f32v.10	f32v.10:1	sho	f32v.10:2/1	keol	UNMARKED	UNMARKED_ARGUMENT	NONE	recorded
W	f32v	f32v.11	f32v.11:2	sho	f32v.11:3/1	chy	UNMARKED	UNMARKED_ARGUMENT	NONE	recorded
W	f29v	f29v.3	f29v.3:6	qotchy	NA	NA	NA	MISSING_ARGUMENT	f29v.3:7/1:taiin,f29v.3:8/1:s,f29v.3:9/1:she,f29v.3:10/1:otey,f29v.3:11/1:sy	recorded
W	f29v	f29v.4	f29v.4:8	sho	f29v.4:9/1	okaiin	UNMARKED	UNMARKED_ARGUMENT	NONE	recorded
M	f21r	f21r.9	f21r.9:2	sho	f21r.9:8/1	cthy	UNMARKED	UNMARKED_ARGUMENT	f21r.9:3/1:tshaiin,f21r.9:4/1:chkaiin,f21r.9:5/1:sh,f21r.9:6/1:cthey,f21r.9:7/1:cthody	recorded
M	f32v	f32v.9	f32v.9:1	qotchy	f32v.9:4/1	chocthy	OBJECT	MATCH_OBJECT	f32v.9:2/1:cfhy,f32v.9:3/1:skey	recorded
M	f32v	f32v.10	f32v.10:1	sho	f32v.10:2/1	keol	UNMARKED	UNMARKED_ARGUMENT	NONE	recorded
M	f32v	f32v.11	f32v.11:2	sho	f32v.11:3/1	chy	UNMARKED	UNMARKED_ARGUMENT	NONE	recorded
M	f29v	f29v.3	f29v.3:6	qotchy	NA	NA	NA	MISSING_ARGUMENT	f29v.3:7/1:taiin,f29v.3:8/1:s,f29v.3:9/1:she,f29v.3:10/1:otey,f29v.3:11/1:sy	recorded
M	f29v	f29v.4	f29v.4:8	sho	f29v.4:9/1	okaiin	UNMARKED	UNMARKED_ARGUMENT	NONE	recorded
