mode	record	line	locus	element_id	bound	head	np_id	status	row_status
W	f21r	f21r.12	f21r.12:7	f21r.12:7/1	NO	chor	f21r.12:5/1	MARKED_OBJECT	recorded
W	f32v	f32v.8	f32v.8:2	f32v.8:2/1	NO	otchol	f32v.8:1/1	MARKED_OBJECT	recorded
W	f32v	f32v.8	f32v.8:3	f32v.8:3/1	NO	otchol	f32v.8:1/1	DUPLICATE_CASE	recorded
W	f32v	f32v.8	f32v.8:5	f32v.8:5/1	NO	ctho	f32v.8:4/1	MARKED_OBJECT	recorded
W	f32v	f32v.9	f32v.9:5	f32v.9:5/1	NO	chocthy	f32v.9:4/1	MARKED_OBJECT	recorded
W	f32v	f32v.9	f32v.9:7	f32v.9:7/1	NO	cthaiin	f32v.9:6/1	MARKED_OBJECT	recorded
W	f32v	f32v.10	f32v.10:5	f32v.10:5/1	NO	chor	f32v.10:3/1	MARKED_OBJECT	recorded
W	f29v	f29v.1	f29v.1:11	f29v.1:11/1	NO	cthy	f29v.1:7/1	MARKED_OBJECT	recorded
M	f21r	f21r.8	f21r.8:7	f21r.8:7/2	YES	ctho	f21r.8:7/1	MARKED_OBJECT	recorded
M	f21r	f21r.12	f21r.12:7	f21r.12:7/1	NO	chor	f21r.12:5/1	MARKED_OBJECT	recorded
M	f32v	f32v.8	f32v.8:2	f32v.8:2/1	NO	otchol	f32v.8:1/1	MARKED_OBJECT	recorded
M	f32v	f32v.8	f32v.8:3	f32v.8:3/1	NO	otchol	f32v.8:1/1	DUPLICATE_CASE	recorded
M	f32v	f32v.8	f32v.8:5	f32v.8:5/1	NO	ctho	f32v.8:4/1	MARKED_OBJECT	recorded
M	f32v	f32v.9	f32v.9:5	f32v.9:5/1	NO	chocthy	f32v.9:4/1	MARKED_OBJECT	recorded
M	f32v	f32v.9	f32v.9:7	f32v.9:7/1	NO	cthaiin	f32v.9:6/1	MARKED_OBJECT	recorded
M	f32v	f32v.10	f32v.10:5	f32v.10:5/1	NO	chor	f32v.10:3/1	MARKED_OBJECT	recorded
M	f29v	f29v.1	f29v.1:11	f29v.1:11/1	NO	cthy	f29v.1:7/1	MARKED_OBJECT	recorded
M	f29v	f29v.3	f29v.3:5	f29v.3:5/2	YES	o	f29v.3:5/1	UNKNOWN_STEM	recorded
